ID,UK_HS,UK_casecontrol,UK_FCI,Sex,Birth_Year,Birth_Month,HD_Year,HD_Age,PC1,PC2,Group
418,57,2,5,1,2012,3,2013,1.64,0.0754349,0.0231463,1
419,11,2,2,2,2010,2,2011,1.53,0.0680247,0.0242869,1
420,12,2,2,2,2011,2,2012,1.11,6.28E-05,0.0305675,1
421,14,2,2,1,2010,12,2012,1.89,0.0644894,0.040272,1
422,29,2,3,1,2012,11,2014,1.18,-0.024744,-0.100036,1
423,9,1,1,1,2007,3,2008,1.32,0.0622733,0.0190546,1
424,-9,-9,-9,2,-9,-9,-9,-9,-0.0557856,0.0203704,1
425,10,1,1,1,2004,11,2006,1.73,-0.0255118,-0.0302703,1
426,22,2,2,2,2008,9,2009,1.17,-0.0943163,0.0645723,1
427,10,1,1,2,2004,5,2005,1.26,-0.0111588,-0.061285,1
428,10,1,1,2,2007,10,2009,1.71,0.0529988,0.00465317,1
429,58,2,5,2,2009,1,2010,1.36,0.0508422,0.0176418,1
430,6,1,1,2,2011,4,2012,1.26,-0.0532777,-0.0147259,1
431,6,1,1,2,2005,11,2007,1.12,-0.0212414,-0.110697,1
432,8,1,1,2,2006,8,2008,1.7,0.0390947,-0.0273712,1
433,10,1,1,2,2006,7,2009,2.85,0.0694097,0.0174981,1
434,-9,-9,-9,2,-9,-9,-9,-9,-0.00891045,0.0192345,1
435,-9,-9,-9,1,-9,-9,-9,-9,0.0813815,0.040388,1
436,17,2,2,2,2010,2,2011,1.56,-0.0495574,0.0438308,1
437,11,2,2,2,2009,12,2011,1.76,0.0765779,0.0089305,1
438,-9,-9,-9,2,-9,-9,-9,-9,0.0494751,0.0155285,1
439,-9,-9,-9,1,-9,-9,-9,-9,0.070475,0.0162873,1
440,7,1,1,2,2008,5,2009,1.4,0.0580896,0.00970935,1
441,9,1,1,1,2013,3,2014,1.37,0.013674,0.00700503,1
442,-9,-9,-9,2,-9,-9,-9,-9,-0.00342682,0.0366534,1
443,-9,-9,-9,2,-9,-9,-9,-9,-0.128526,0.093096,1
444,-9,-9,-9,2,-9,-9,-9,-9,-0.0206012,-0.0539329,1
445,-9,-9,-9,1,-9,-9,-9,-9,-0.054739,0.0543237,1
446,-9,-9,-9,2,-9,-9,-9,-9,0.00979118,-0.00879311,1
447,12,2,2,2,2011,5,2012,1.44,0.0454268,0.000360215,1
448,15,2,2,1,2009,11,2010,1.04,0.0805209,0.0266445,1
449,12,2,2,1,2008,9,2009,1.1,0.0800854,0.0236346,1
450,-9,-9,-9,2,-9,-9,-9,-9,-0.0605946,0.0275636,1
451,6,1,1,1,2005,8,2007,1.41,-0.0532201,0.024606,1
452,10,1,1,1,2005,1,2006,1.58,-0.0403823,0.0232948,1
453,-9,-9,-9,1,-9,-9,-9,-9,0.0220684,-0.0503918,1
454,13,2,2,1,2005,1,2006,1.84,0.0289175,0.0257429,1
455,-9,-9,-9,2,-9,-9,-9,-9,0.0704338,0.0241154,1
456,0,1,1,2,2009,9,2010,1.09,-0.0089902,-0.0652043,1
457,5,1,1,2,2011,4,2012,1.25,-0.0606845,-0.0115828,1
458,-9,-9,-9,1,-9,-9,-9,-9,-0.0414553,0.0486388,1
459,18,2,2,1,2005,3,2006,1.4,0.0708928,0.012364,1
460,-9,-9,-9,2,-9,-9,-9,-9,-0.0319031,-0.105907,1
461,6,1,1,1,2014,2,2015,1.55,-0.0952301,0.114103,1
462,17,2,2,1,2013,8,2014,1.05,-0.046818,0.0143505,1
463,15,2,2,1,2011,2,2014,3.36,-0.0335471,0.0213733,1
464,11,2,2,2,2006,9,2008,1.45,0.0247077,0.0103438,1
465,9,1,1,2,2005,5,2007,1.65,0.0779428,0.028553,1
466,10,1,1,1,2008,12,2010,1.28,0.0379745,0.0113242,1
467,8,1,1,2,2005,12,2007,1.2,0.0592799,0.0196268,1
468,13,2,2,1,2009,8,2011,1.69,-0.0691638,0.0694321,1
469,-9,-9,-9,1,-9,-9,-9,-9,-0.0462268,0.0369157,1
470,11,2,2,1,2010,7,2011,1.18,-0.0283655,-0.132373,1
471,-9,-9,-9,2,-9,-9,-9,-9,0.031866,0.0126309,1
472,10,1,1,1,2009,4,2013,4.09,0.041759,0.0203168,1
