Sel.coeff,Length_Mb,Length_lower_CI,Length_Upper_CI,ROH_freq,ROH_freq_lower_CI,ROH_freq_upper_CI,Min_freq,Max_freq,variant_subwindow_freq,variant_subwindow_freq_lower_CI,variant_subwindow_freq_upper_CI,Avg_H_e,H_e_lower_CI,H_e_upper_CI
s=0.075,1.04,0.92,1.16,77.1,72.7,81.5,30.9,100,79.3,75,83.6,0.039,0.03,0.048
s=0.1,1.11,0.96,1.26,77.8,73.1,82.4,27.6,100,79.2,74.7,83.7,0.038,0.026,0.05
s=0.125,1.11,0.96,1.26,82.2,77.2,87.3,24.8,100,83.9,78.9,88.8,0.028,0.018,0.038
s=0.15,1.26,1.1,1.42,87,83.4,90.5,50.6,100,88.6,85.1,92.1,0.023,0.015,0.03
s=0.2,1.41,1.17,1.64,87.3,83.8,90.7,49.1,100,88.9,85.6,92.3,0.021,0.014,0.027
s=0.3,1.58,1.34,1.82,93.4,91.3,95.5,68.8,100,94.6,92.6,96.7,0.011,0.008,0.014
s=0.4,1.96,1.67,2.25,93.5,90.7,96.2,34.2,100,94.8,92.1,97.5,0.013,0.006,0.019
s=0.5,2.22,1.9,2.54,97.2,96.1,98.2,80.6,100,98.4,97.4,99.5,0.008,0.005,0.01
s=0.6,2.06,1.79,2.33,96.2,94.4,98,67.9,100,97.5,95.8,99.2,0.011,0.005,0.017
s=0.7,2.39,2.05,2.74,97.7,96.7,98.6,75.5,100,98.8,97.9,99.7,0.006,0.003,0.009
s=0.8,2.58,2.19,2.96,96.1,93.3,98.9,29.4,100,97.1,94.3,99.8,0.009,0.003,0.016
