Model,Lengths_Mb,Length_CI,ROH_Freq,ROH_Freq_CI,H_e,H_e_CI
s=0.8,2.58,(2.19\, 2.96),96.1,(93.3\, 98.9),0.009,(0.003\, 0.016)
s=0.7,2.39,(2.05\, 2.74),97.7,(96.7\, 98.6),0.006,(0.003\, 0.009)
s=0.6,2.06,(1.79\, 2.33),96.2,(94.4\, 98),0.011,(0.005\, 0.017)
s=0.5,2.22,(1.9\, 2.54),97.2,(96.1\, 98.2),0.008,(0.005\, 0.01)
s=0.4,1.96,(1.67\, 2.25),93.5,(90.7\, 96.2),0.013,(0.006\, 0.019)
s=0.3,1.58,(1.34\, 1.82),93.4,(91.3\, 95.5),0.011,(0.008\, 0.014)
s=0.2,1.41,(1.17\, 1.64),87.3,(83.8\, 90.7),0.021,(0.014\, 0.027)
s=0.15,1.26,(1.1\, 1.42),87,(83.4\, 90.5),0.023,(0.015\, 0.03)
s=0.125,1.11,(0.96\, 1.26),82.2,(77.2\, 87.3),0.028,(0.018\, 0.038)
s=0.1,1.11,(0.96\, 1.26),77.8,(73.1\, 82.4),0.038,(0.026\, 0.05)
s=0.075,1.04,(0.92\, 1.16),77.1,(72.7\, 81.5),0.039,(0.03\, 0.048)
Hotspot\_chr28\_window\_1,1.4,NA,75,NA,0.072,NA
