#IID	F_ROH	ROH_length_kB	KBAVG
8101	0.25849	23899.3	2655.48
8102	0.26173	24199.2	4033.2
8103	0.43469	40191.1	6698.51
8104	0.22738	21023.4	5255.85
8105	0.73520	67975.6	11329.3
8106	0.13432	12418.6	2069.77
8107	0.12616	11664.6	2332.92
8108	0.15895	14696.7	2449.45
8109	0.19390	17927.9	2987.98
8110	0.27322	25261.7	3157.71
8111	0.13150	12157.9	4052.65
8112	0.20219	18694.6	3738.92
8113	0.08626	7975.89	1595.18
8114	0.08075	7465.79	2488.6
8115	0.22217	20541.4	2567.68
8116	0.08299	7673.29	2557.76
8117	0.12697	11739.1	3913.05
8118	0.09671	8941.91	2235.48
8119	0.14330	13249	2649.81
8120	0.18532	17134.1	4283.53
8121	0.20438	18896.5	3149.42
8122	0.21485	19865.1	2207.23
8123	0.21024	19438.3	2429.79
8124	0.13137	12146.2	3036.55
8125	0.12343	11412.6	2853.16
8126	0.20036	18525	2646.43
8127	0.20171	18649.6	3729.93
8128	0.21445	19827.4	2478.43
8129	0.12580	11631	1938.5
8130	0.25090	23197.8	3313.97
8131	0.11738	10852.7	2170.54
8132	0.22119	20450.7	2921.53
8133	0.09712	8979.25	2244.81
8134	0.30346	28057.4	4676.23
8135	0.16847	15576.5	3115.3
8136	0.08916	8243.67	2060.92
8137	0.09443	8731.16	1455.19
8138	0.18961	17531.4	2191.42
8139	0.18655	17248.5	2874.75
8140	0.20720	19157.7	3192.94
8141	0.13052	12067.5	3016.88
8142	0.17248	15947.4	2278.19
8143	0.13567	12543.7	2090.62
8144	0.07734	7150.37	2383.46
8145	0.10109	9346.48	1869.3
8146	0.06584	6087.42	3043.71
8147	0.03936	3639.52	1213.17
8148	0.07345	6791.08	1697.77
8149	0.06275	5801.56	1933.85
8150	0.16713	15452.6	2207.51
8151	0.36443	33695.1	6739.02
8152	0.15047	13912.5	1545.83
8153	0.13209	12212.4	2442.48
8154	0.14071	13010.1	2168.36
8155	0.11815	10923.7	2730.94
8156	0.20966	19384.7	2769.24
8157	0.17810	16467.2	4116.79
8158	0.14778	13663.7	1707.97
8159	0.10814	9998.06	2499.52
8160	0.23350	21589.3	5397.33
8161	0.15934	14732.4	2455.41
8162	0.15677	14494.6	2415.77
8163	0.40505	37450.3	9362.56
8164	0.18597	17194.6	2456.38
8165	0.10255	9482.01	1580.33
8166	0.05689	5259.74	2629.87
8167	0.15647	14467.1	3616.77
8168	0.23237	21485	21485
8169	0.14199	13128.1	1875.45
8170	0.11950	11048.9	2209.77
8171	0.22651	20943	2991.86
8172	0.27655	25569.1	3196.14
8173	0.33316	30803.6	7700.9
8174	0.18018	16659.3	2776.55
8175	0.10130	9366.21	3122.07
8176	0.21246	19643.7	4910.93
8177	0.27324	25263.8	2526.38
8178	0.03185	2944.71	1472.35
8179	0.15526	14355.3	2871.06
8180	0.30112	27840.9	5568.18
8181	0.23858	22059.1	2757.38
8182	0.26809	24787.2	2754.13
8183	0.32179	29752.2	2704.74
8184	0.09595	8871.43	1774.29
8185	0.08571	7925.03	1981.26
8186	0.15630	14451.3	2408.55
8187	0.24135	22314.4	3719.06
8188	0.17773	16433	3286.6
8189	0.21602	19973.1	2496.64
8190	0.33022	30531.3	4361.62
8191	0.31186	28834	2883.4
8192	0.12188	11268.4	2253.69
8193	0.20277	18747.6	2343.45
8194	0.20291	18761.2	2680.17
8195	0.08428	7792.37	2597.46
8196	0.09568	8846.54	1769.31
8197	0.20689	19128.9	3188.15
8198	0.14192	13121.6	2186.94
8199	0.15448	14283.2	3570.79
8200	0.09271	8571.44	1714.29
8201	0.14340	13258.6	3314.64
8202	0.15282	14129.8	2018.54
8203	0.13684	12652.2	3163.04
8204	0.06792	6279.49	1569.87
8205	0.17925	16573.5	2762.26
8206	0.09028	8347.14	1669.43
8207	0.08519	7876.82	3938.41
8208	0.38209	35327.9	3532.79
8209	0.14478	13386.4	2231.06
8210	0.22052	20388.8	2548.59
8211	0.11218	10371.7	2592.94
8212	0.07048	6516.1	1629.02
8213	0.16245	15020.3	3004.07
8214	0.45718	42270.2	21135.1
8215	0.12398	11462.9	2865.72
8216	0.23326	21566.8	3594.47
8217	0.20811	19241.4	3206.91
8218	0.35910	33202	4743.14
8219	0.19577	18100.9	3016.82
8220	0.15821	14628	1625.34
8221	0.17833	16488.3	2061.04
8222	0.06190	5723.42	1907.81
8223	0.19014	17580.5	2511.5
8224	0.21938	20283.2	2535.4
