#IID	F_ROH	ROH_length_kB	KBAVG
8101	0.07135	6598.52	2199.51
8102	0.30215	27941.7	3492.71
8103	0.16623	15372	5124
8104	0.10437	9651.89	2412.97
8105	0.14446	13358.9	2226.48
8106	0.30543	28244.3	9414.76
8107	0.39977	36969	6161.5
8108	0.22450	20760.4	2595.05
8109	0.13784	12747	2124.5
8110	0.20510	18966.7	2709.53
8111	0.17218	15922.6	1769.18
8112	0.23401	21640.4	3606.73
8113	0.20165	18647.2	2330.9
8114	0.19947	18446.3	4611.56
8115	0.19345	17889.3	2555.62
8116	0.25636	23706.7	4741.34
8117	0.28313	26182.8	5236.57
8118	0.11101	10265.4	5132.72
8119	0.11768	10882.1	3627.36
8120	0.20921	19346.3	2763.76
8121	0.25630	23701.4	3385.91
8122	0.06947	6424.39	1606.1
8123	0.21515	19896.5	3979.31
8124	0.40881	37804.6	7560.92
8125	0.19377	17919	4479.75
8126	0.18028	16671.2	2381.6
8127	0.28931	26753.8	3821.97
8128	0.18316	16937.3	2117.16
8129	0.25039	23154.6	2572.73
8130	0.19362	17905.1	2984.19
8131	0.29945	27691.9	5538.39
8132	0.26745	24732.2	4946.44
8133	0.25343	23435.7	2603.97
8134	0.12095	11184.9	1864.15
8135	0.09185	8494.27	1415.71
8136	0.17511	16193.4	4048.36
8137	0.14781	13668.5	2733.7
8138	0.35932	33227.9	3691.98
8139	0.18584	17185.2	2455.03
8140	0.12057	11149.8	3716.59
8141	0.36667	33907.9	3390.79
8142	0.24876	23003.7	3833.95
8143	0.23764	21976	4395.2
8144	0.15845	14652.8	2093.26
8145	0.21879	20232.8	4046.56
8146	0.22857	21136.6	3019.51
8147	0.34740	32126.3	3569.58
8148	0.32209	29784.9	4964.15
8149	0.21662	20031.7	2861.67
8150	0.47086	43542.6	10885.7
8151	0.05626	5202.92	1734.31
8152	0.11109	10272.9	2568.22
8153	0.20952	19375.3	2767.89
8154	0.27955	25851.4	4308.56
8155	0.24180	22360.6	3726.76
8156	0.17668	16338.7	2723.12
8157	0.16257	15033.7	3006.73
8158	0.16738	15478.8	1934.85
8159	0.18189	16820.7	3364.15
8160	0.29115	26924.4	5384.87
8161	0.15144	14004.9	2334.15
8162	0.24230	22406.7	3734.45
8163	0.21574	19950.3	3990.05
8164	0.10783	9971.72	1994.34
8165	0.20088	18576.6	2653.8
8166	0.20217	18695.7	2077.3
8167	0.09626	8901.9	1780.38
8168	0.16443	15205.6	2534.27
8169	0.06173	5708.49	1902.83
8170	0.47762	44167.7	8833.54
8171	0.43288	40030.8	5003.85
8172	0.21664	20034	2862
8173	0.23473	21706.8	2713.35
8174	0.08338	7710.22	1542.04
8175	0.11756	10871.3	1553.04
8176	0.20895	19322.3	2760.33
8177	0.11209	10365.8	2073.17
8178	0.25499	23579.8	5894.96
8179	0.25853	23908	3984.67
8180	0.21928	20278.3	4055.67
8181	0.23888	22090.9	3155.84
8182	0.31164	28818.9	4803.15
8183	0.19542	18071.7	3011.94
8184	0.10957	10132.6	2533.14
8185	0.25073	23186.3	7728.78
8186	0.17133	15843.5	1980.44
8187	0.22288	20611.2	5152.81
8188	0.43664	40378.4	5047.3
8189	0.29137	26944.9	4490.82
8190	0.16608	15358.5	1919.82
8191	0.32446	30004.8	3000.48
8192	0.16263	15039.7	3759.93
8193	0.29199	27002.2	3375.28
8194	0.19643	18165.1	3633.01
8195	0.20411	18874.9	3145.82
8196	0.15323	14169.6	2833.92
8197	0.12201	11282.8	1880.46
8198	0.20392	18858	3771.6
8199	0.24189	22368.5	2485.39
8200	0.19838	18345.3	2620.76
8201	0.16252	15029.4	2147.06
8202	0.16993	15714.7	3142.95
8203	0.20356	18824.4	3764.88
8204	0.31979	29573.1	3696.64
8205	0.18930	17505.2	2917.53
8206	0.21296	19693.6	2813.37
8207	0.17463	16148.5	3229.69
8208	0.21633	20004.9	4000.98
8209	0.28441	26300.7	3287.59
8210	0.17411	16100.4	3220.07
8211	0.18799	17384.5	2897.41
8212	0.16714	15455.9	1931.98
8213	0.51815	47915.7	9583.14
8214	0.24748	22885.5	2860.69
8215	0.19451	17987.4	2248.42
8216	0.18874	17454.1	4363.52
8217	0.19293	17841	1982.33
8218	0.28749	26585.7	4430.95
8219	0.19218	17772	4443
8220	0.20973	19394.8	3878.97
8221	0.08595	7947.93	1986.98
8222	0.21152	19560.7	2794.39
8223	0.15030	13899.1	3474.76
8224	0.15065	13931.5	1990.22
8225	0.31675	29291.6	4881.93
8226	0.19005	17574.8	2929.14
8227	0.13351	12346.5	3086.61
8228	0.40822	37750.3	7550.06
8229	0.18402	17017.5	2127.19
8230	0.17434	16121.8	2303.11
8231	0.16458	15219.3	2174.19
8232	0.08056	7449.52	2483.17
