Simulation	Fifth_Percentile	Avg_H_e
Simulation 14	0.122045833333333	0.287781737725547
Simulation 19	0.123941875	0.284019457348604
Simulation 18	0.12578625	0.286669383416634
Simulation 9	0.1258490625	0.280208943431697
Simulation 1	0.1267653125	0.286686521893291
Simulation 6	0.127355625	0.283961052105993
Simulation 2	0.128155714285714	0.281877965742484
Simulation 7	0.12868734375	0.2818465855767
Simulation 16	0.1297989375	0.284305548345629
Simulation 17	0.1328435	0.290421079723342
Simulation 10	0.134714642857143	0.288384375195816
Simulation 15	0.136322708333333	0.29217530813194
Simulation 3	0.1371446875	0.290786044378012
Simulation 8	0.13779	0.291413209880855
Simulation 4	0.13861225	0.284566714198029
Simulation 11	0.139245729166667	0.283682697336785
Simulation 12	0.14123578125	0.284764536338176
Simulation 13	0.141939875	0.285538071388818
Simulation 5	0.1428375	0.283206448354746
Simulation 20	0.143876361607143	0.290774546235836
