Simulation	Fifth_Percentile	Avg_H_e
Simulation 7	0.1513875	0.313147991235035
Simulation 17	0.15214921875	0.315438157336998
Simulation 12	0.1535075	0.31612893964335
Simulation 11	0.15626725	0.321126382515982
Simulation 16	0.15807125	0.31982045164513
Simulation 3	0.1595975	0.32511168455104
Simulation 14	0.161964548611111	0.318761687182756
Simulation 1	0.1632225	0.322488590826127
Simulation 8	0.1638	0.323039124786528
Simulation 2	0.16706	0.335033036294214
Simulation 19	0.1671525	0.320020386381041
Simulation 15	0.167658125	0.327700018346865
Simulation 9	0.1677675	0.32958420145149
Simulation 5	0.1678875	0.331893383065199
Simulation 10	0.169447708333333	0.328919166789436
Simulation 6	0.171266145833333	0.333996322041113
Simulation 18	0.18	0.331453543344848
Simulation 13	0.1829125	0.333883278253787
Simulation 20	0.1839875	0.334351061443156
Simulation 4	0.188857083333333	0.341658143549359
