Simulation	Fifth_Percentile	Avg_H_e
Simulation 18	0.03383	0.158994838039703
Simulation 17	0.0381842307692308	0.167378722240088
Simulation 7	0.0396660714285714	0.161132957729095
Simulation 14	0.03972225	0.160438088361233
Simulation 19	0.040860625	0.161050304182009
Simulation 2	0.0409642708333333	0.16602292420456
Simulation 20	0.041975625	0.166775113460037
Simulation 16	0.0425985909090909	0.164031786167834
Simulation 8	0.043044609375	0.165780701378796
Simulation 10	0.0434189583333333	0.166218879946091
Simulation 15	0.04384875	0.164673825001345
Simulation 13	0.0451005397727273	0.165287180856049
Simulation 11	0.0467595	0.161836865359061
Simulation 12	0.0471391666666667	0.160091710939528
Simulation 4	0.0478861011904762	0.165819619500379
Simulation 9	0.047971875	0.164205034394905
Simulation 1	0.0503550892857143	0.162528022942212
Simulation 5	0.0503669270833333	0.165076199701609
Simulation 6	0.0517457792207792	0.16727979582287
Simulation 3	0.0519986538461538	0.163113700081621
