Simulation	Fifth_Percentile	Avg_H_e
Simulation 6	0	0.14890850112866
Simulation 2	0.00453045454545455	0.140105878339485
Simulation 14	0.0049125	0.139083166172233
Simulation 16	0.00854604166666667	0.138136101961959
Simulation 3	0.008608125	0.146921802970743
Simulation 12	0.00977828125	0.139418695662901
Simulation 11	0.01108234375	0.141627889872094
Simulation 19	0.0112861875	0.151913929555902
Simulation 5	0.0139853571428571	0.15511200883098
Simulation 4	0.0144589772727273	0.148433976205782
Simulation 7	0.0155565	0.145091157336597
Simulation 15	0.0178344444444444	0.150470283586622
Simulation 17	0.0186	0.148968959161028
Simulation 1	0.02097825	0.15283667491722
Simulation 10	0.022260119047619	0.148889502144918
Simulation 8	0.0225033333333333	0.150317643254241
Simulation 9	0.0287466666666667	0.148259527316739
Simulation 20	0.0288328333333333	0.154441525579586
Simulation 18	0.0304196875	0.153604902119073
Simulation 13	0.035633	0.156549024988124
