Simulation	Fifth_Percentile	Avg_H_e
Simulation 7	0	0.197723245003736
Simulation 9	0	0.18209306795663
Simulation 12	0	0.183628361782849
Simulation 13	0	0.200978463074944
Simulation 14	0	0.165373369214752
Simulation 16	0	0.167332925049816
Simulation 20	0	0.194338241284656
Simulation 3	0.0055877569224	0.21316676687936
Simulation 2	0.007219388472	0.189350018613361
Simulation 5	0.0100796528571429	0.1982926481502
Simulation 17	0.0105861211127273	0.190540095316916
Simulation 8	0.0181182613688889	0.170319249760119
Simulation 19	0.0211328783394909	0.218190295818768
Simulation 4	0.02169341256	0.213235796583417
Simulation 1	0.0283995148266667	0.207453143630337
Simulation 10	0.0392811201885714	0.201993219543826
Simulation 6	0.0453327831818182	0.215991678135198
Simulation 15	0.0522187336171429	0.217151176365103
Simulation 11	0.057382194512	0.225445894181493
Simulation 18	0.0849224465894737	0.248097849899963
