#IID	F_ROH	ROH_length_kB	KBAVG
39541	0.13664	12635.5	1579.44
39542	0.08176	7561.01	1512.2
39543	0.07898	7303.98	1826
39544	0.11562	10691.8	2672.95
39545	0.14204	13135.6	1876.52
39546	0.16754	15493.8	1936.73
39547	0.18006	16651.4	2378.77
39548	0.29170	26975.4	2697.54
39549	0.12144	11230	1871.66
39550	0.10625	9825.37	1965.07
39551	0.13461	12448	2074.66
39552	0.13806	12766.8	2127.79
39553	0.23792	22001.7	2444.63
39554	0.06760	6251.67	1562.92
39555	0.21479	19863.1	2482.89
39556	0.12058	11150.6	1592.95
39557	0.38921	35992.6	3599.26
39558	0.13821	12780.9	1825.85
39559	0.17457	16143.2	1793.68
39560	0.09424	8714.69	1742.94
39561	0.22104	20441.2	1703.43
39562	0.27842	25746.6	2574.66
39563	0.15073	13939	2323.16
39564	0.17401	16091.7	2298.81
39565	0.17093	15806.8	2258.12
39566	0.16968	15690.9	2615.16
39567	0.22894	21171.2	2646.41
39568	0.17648	16320.3	1813.37
39569	0.38138	35268.5	5878.08
39570	0.14679	13574.1	1939.15
39571	0.12801	11837.7	1972.94
39572	0.19560	18088.5	2009.83
39573	0.19216	17770.1	1777.01
39574	0.20323	18793.7	1879.37
39575	0.19009	17578.4	1757.84
39576	0.23291	21538.2	2393.14
39577	0.22989	21259.1	2125.91
39578	0.24603	22751.4	2068.31
39579	0.32930	30452	2175.14
39580	0.16784	15521.4	2586.9
39581	0.16581	15333.8	1916.73
39582	0.29379	27168.8	3018.75
39583	0.20641	19087.9	1590.66
39584	0.32470	30026.7	2144.77
39585	0.10259	9487.39	1581.23
39586	0.22930	21205	3534.17
39587	0.23426	21663.2	1969.38
39588	0.15235	14088.8	2012.69
39589	0.26343	24361.1	3480.16
39590	0.10006	9252.82	1850.56
39591	0.26030	24071.6	2188.32
39592	0.18614	17213.2	1912.57
39593	0.16115	14902.8	1655.86
39594	0.15491	14325.5	1790.68
39595	0.12314	11387	1626.72
39596	0.12213	11294.2	1613.45
39597	0.54678	50563.8	10112.8
39598	0.20776	19212.8	2401.6
39599	0.21076	19489.9	3897.98
39600	0.11542	10673.1	1778.85
39601	0.27588	25511.8	2834.64
39602	0.19054	17620	1762
39603	0.16138	14924	1865.5
39604	0.25562	23638.9	1969.91
39605	0.07548	6979.83	1395.97
39606	0.21015	19433.5	2159.28
39607	0.31238	28887.4	2626.13
39608	0.22929	21203.4	2650.43
39609	0.43169	39920.4	3629.13
39610	0.21129	19538.9	1776.27
39611	0.31749	29360.5	3262.28
39612	0.18249	16876.1	1875.12
39613	0.03365	3112.02	1556.01
39614	0.17484	16168.5	2021.07
39615	0.16222	15001.8	2500.3
39616	0.27611	25533.6	2321.23
39617	0.38966	36034.1	5147.73
39618	0.14321	13243.6	1655.44
39619	0.21595	19970.5	2218.95
39620	0.63573	58789.3	7348.66
39621	0.14190	13122.3	1640.29
39622	0.27281	25228.4	1681.89
39623	0.09692	8963.01	1493.84
39624	0.15784	14596.1	1824.51
39625	0.10353	9574.19	1914.84
39626	0.21499	19880.9	1988.09
39627	0.26099	24135.2	1856.56
39628	0.61770	57122.4	14280.6
