#IID	F_ROH	ROH_length_kB	KBAVG
39541	0.37939	35080.8	3189.17
39542	0.29234	27032.1	5406.43
39543	0.16356	15123.8	2160.54
39544	0.23129	21386.9	2138.69
39545	0.28719	26555.5	2414.13
39546	0.30665	28355.3	2577.76
39547	0.23584	21807.2	1817.26
39548	0.21927	20275.1	2027.51
39549	0.11998	11094.2	1386.78
39550	0.20248	18722.6	1702.05
39551	0.28880	26704.9	3338.11
39552	0.43183	39929.7	3327.48
39553	0.24876	23002.1	2300.21
39554	0.11609	10734.5	2146.91
39555	0.42585	39376.6	2625.11
39556	0.28083	25967.2	2163.93
39557	0.27753	25661.9	1833
39558	0.24429	22588.3	2258.83
39559	0.32590	30135.2	2152.51
39560	0.27459	25390.4	2308.22
39561	0.32838	30364.4	2024.3
39562	0.29141	26946	1924.71
39563	0.23929	22126	2212.6
39564	0.19281	17828.4	1980.93
39565	0.29405	27189.5	2265.79
39566	0.23156	21411.6	2141.16
39567	0.18444	17054.8	2436.4
39568	0.20105	18590.7	1859.07
39569	0.26945	24915.6	2768.4
39570	0.27270	25215.5	2521.55
39571	0.36010	33297.1	2378.37
39572	0.21785	20144.1	2014.41
39573	0.20351	18818.1	2090.9
39574	0.22508	20812	2312.44
39575	0.30804	28483.2	2589.38
39576	0.29680	27444.3	3430.53
39577	0.20373	18838.2	2093.14
39578	0.19158	17714.5	1968.28
39579	0.29498	27276.3	2479.66
39580	0.12711	11753.7	1958.94
39581	0.25970	24014.1	3001.76
39582	0.25535	23611.8	2146.53
39583	0.26212	24237.6	3029.69
39584	0.30592	28287.8	2828.78
39585	0.15863	14667.6	2095.36
39586	0.28022	25911.5	3701.65
39587	0.15740	14554.5	2079.22
39588	0.35547	32869.1	2739.09
39589	0.22578	20876.8	2319.65
39590	0.31757	29364.7	2447.06
39591	0.41924	38765.4	2280.32
39592	0.28678	26518	1894.14
39593	0.41304	38192.6	2728.04
39594	0.20095	18581.4	1689.22
39595	0.24971	23089.5	2308.95
39596	0.25667	23733.1	2637.01
39597	0.32608	30151.3	2741.02
39598	0.15326	14171.3	1771.41
39599	0.28498	26351	1756.73
39600	0.32343	29907	2492.25
39601	0.33500	30976.7	2382.82
39602	0.13970	12917.3	1845.32
39603	0.20642	19086.8	2120.76
39604	0.22255	20578.9	2286.55
39605	0.12857	11888.3	1486.03
39606	0.22667	20959.8	2328.86
39607	0.19354	17895.9	2236.98
39608	0.32976	30491.5	2177.96
39609	0.29807	27561.4	2296.79
39610	0.26063	24099.3	2008.28
39611	0.30289	28007.1	2333.93
39612	0.35257	32601.3	2716.77
39613	0.37482	34658.2	2166.14
39614	0.30011	27750.5	2312.54
39615	0.29685	27449.2	2287.43
39616	0.25705	23768.3	2376.83
39617	0.21284	19680.5	2186.72
39618	0.30056	27792	2137.84
39619	0.16485	15242.9	2177.56
39620	0.23912	22110.5	2211.05
39621	0.43219	39963.7	4995.47
39622	0.48287	44649.3	2976.62
39623	0.25674	23740.3	2158.2
39624	0.40977	37890.1	2914.62
