Simulation	Fifth_Percentile	Avg_H_e
Simulation 7	0.1332210048	0.336879050040536
Simulation 8	0.1352395128	0.314378494855759
Simulation 10	0.14669179548	0.3409997500762
Simulation 5	0.1470930912	0.328756376662129
Simulation 11	0.15241637342	0.331092843156348
Simulation 4	0.152997028538	0.330848659775238
Simulation 14	0.15682203698	0.324297304798677
Simulation 20	0.1684525344	0.363345876716697
Simulation 9	0.172327309888	0.345791133587226
Simulation 16	0.178672363127143	0.366222522259681
Simulation 3	0.179462913706667	0.364753759664405
Simulation 12	0.18727909168	0.373928786150375
Simulation 13	0.190652524592	0.364432764390254
Simulation 19	0.20269201476	0.355468324796473
Simulation 6	0.20353047284	0.359720930665569
Simulation 1	0.2069167103625	0.370961948119963
Simulation 2	0.2103365975	0.353362726058471
Simulation 18	0.22008547408	0.360539873874437
Simulation 15	0.220638795	0.372207269848276
Simulation 17	0.23584049178	0.369174497577036
