#IID	F_ROH	ROH_length_kB	KBAVG
34426	0.26767	24753.8	2750.42
34427	0.29049	26863.7	2984.85
34428	0.37348	34538.7	5756.44
34429	0.11668	10790.4	1798.41
34430	0.19249	17801.3	2225.16
34431	0.16476	15237	2176.72
34432	0.25235	23337.1	2121.56
34433	0.15120	13982.8	2330.47
34434	0.12098	11187.5	2237.5
34435	0.15466	14302.6	2043.23
34436	0.25995	24039.6	2003.3
34437	0.21049	19465.5	1946.55
34438	0.15400	14241.6	2373.59
34439	0.17217	15921.7	1447.42
34440	0.31949	29545.4	2685.95
34441	0.27217	25169.4	2097.45
34442	0.09894	9150.03	1525
34443	0.19847	18354.3	2039.37
34444	0.21840	20196.8	2019.68
34445	0.26549	24551.6	3068.95
34446	0.13354	12349.9	1764.27
34447	0.18358	16977.2	1697.72
34448	0.29977	27722.2	2772.22
34449	0.16285	15059.9	2151.41
34450	0.21937	20286.8	1844.25
34451	0.29847	27601.5	2123.19
34452	0.29916	27665.8	2305.48
34453	0.12757	11797.7	1474.71
34454	0.31188	28841.7	2403.48
34455	0.14777	13665.1	1518.34
34456	0.14058	13000.3	1857.18
34457	0.30578	28278	2827.8
34458	0.23732	21946.4	2194.64
34459	0.22615	20913.8	2987.69
34460	0.16904	15632.6	1736.96
34461	0.24902	23028.5	2558.72
34462	0.25601	23675.5	1821.19
34463	0.20196	18677.2	2075.24
34464	0.23428	21665.4	2407.27
34465	0.23271	21520.4	2391.15
34466	0.08838	8173.35	1362.23
34467	0.21923	20273.5	2896.22
34468	0.21189	19595.2	2177.24
34469	0.24972	23093.2	2309.32
34470	0.24423	22585.4	2053.22
34471	0.27230	25182.1	2098.51
34472	0.21527	19907.4	1990.74
34473	0.21973	20319.8	2257.75
34474	0.33627	31097.2	2392.09
34475	0.23523	21753.2	1977.56
34476	0.17474	16159.5	1615.95
34477	0.16330	15101.2	2157.32
34478	0.19660	18180.9	1818.09
34479	0.20087	18576.4	1857.64
34480	0.18840	17422.8	2177.86
34481	0.19861	18367.2	2295.9
34482	0.07291	6742.51	1685.63
34483	0.17559	16238	1804.22
34484	0.24629	22776.1	2847.01
34485	0.27456	25390.7	1692.71
34486	0.27067	25030.9	2503.09
34487	0.17188	15895.1	1766.13
34488	0.23833	22040.2	1836.69
34489	0.23650	21870.8	2430.09
34490	0.26961	24933.2	2770.35
34491	0.13621	12596.7	1799.53
34492	0.17910	16562.5	1840.28
34493	0.23336	21580.6	1961.88
34494	0.26025	24067.1	2674.12
34495	0.74790	69164.2	17291.1
34496	0.24564	22716	1747.38
34497	0.17178	15885.9	2647.65
34498	0.13547	12527.6	2087.93
34499	0.23684	21902.4	1564.46
34500	0.12974	11998	2399.6
34501	0.15343	14189.3	1773.66
34502	0.10618	9819.63	1636.6
34503	0.17622	16296	1629.6
34504	0.28129	26013.1	1858.08
34505	0.09835	9095.38	2273.85
34506	0.20783	19219.2	1921.92
34507	0.18089	16728.2	2091.02
34508	0.16446	15209.3	1520.93
34509	0.41231	38129.3	3812.93
34510	0.16282	15057.3	1882.17
34511	0.21550	19929.2	1811.75
34512	0.28287	26159.2	2179.94
34513	0.15888	14693.3	2448.89
34514	0.09382	8676.64	1446.11
34515	0.16722	15464.1	1933.02
34516	0.08364	7734.63	1546.93
34517	0.22650	20946.4	1904.22
34518	0.07493	6929.45	1385.89
34519	0.23979	22175.5	2015.95
34520	0.26142	24175.6	1726.83
34521	0.20370	18837.6	1883.76
34522	0.21323	19718.6	1792.6
34523	0.21138	19548	2172
34524	0.21280	19679.6	2459.95
34525	0.19004	17574.3	2196.78
34526	0.05836	5396.55	1798.85
34527	0.09190	8498.26	2124.56
34528	0.16168	14952.2	1869.02
34529	0.27687	25604	2844.89
34530	0.24870	22999.2	2299.92
34531	0.15061	13928.5	1741.06
34532	0.16500	15259.2	2543.21
34533	0.12069	11161	2232.21
34534	0.18998	17568.9	1597.17
34535	0.24161	22343.1	2031.19
34536	0.15342	14187.8	2026.82
34537	0.16804	15540.2	1942.52
34538	0.18042	16684.9	1668.49
34539	0.21333	19728.1	2818.3
34540	0.20473	18933.4	2103.71
34541	0.29947	27694.1	2517.65
34542	0.11155	10316	2063.2
34543	0.09675	8947.1	1491.18
34544	0.18306	16929.3	1881.04
34545	0.13466	12453	2075.51
34546	0.13335	12331.7	1761.67
34547	0.19887	18391.2	3065.2
34548	0.17322	16019.2	2002.4
34549	0.11490	10626	1517.99
34550	0.09990	9238.92	1319.85
34551	0.19402	17942.1	2563.16
34552	0.19994	18490.4	1849.04
34553	0.23488	21721.1	2413.45
34554	0.20815	19249	2749.85
34555	0.12034	11128.3	2225.67
34556	0.29701	27467.2	3051.92
34557	0.13084	12099.8	1512.47
34558	0.14207	13138.1	2189.68
34559	0.31305	28949.7	2226.9
34560	0.34035	31474.4	2421.11
34561	0.16516	15273.5	1697.06
34562	0.19000	17570.8	2928.47
34563	0.27306	25252	2295.64
34564	0.25338	23432	2343.2
34565	0.17525	16206.9	2025.86
34566	0.20116	18602.6	2066.96
34567	0.21265	19665.5	1966.55
34568	0.18425	17039.1	2839.85
34569	0.23155	21413.6	1784.46
34570	0.63446	58673.5	11734.7
34571	0.29101	26911.7	2691.17
34572	0.25349	23442.4	2930.3
34573	0.22603	20902.3	1741.86
34574	0.19388	17929.2	1792.92
34575	0.09342	8638.85	1727.77
34576	0.21885	20238.5	2529.81
34577	0.18314	16936.6	1881.85
34578	0.31944	29540.7	2461.73
34579	0.21064	19479.2	2434.89
34580	0.22659	20954.4	2619.3
34581	0.28419	26281.3	2389.21
34582	0.19291	17839.9	1982.21
34583	0.22329	20649.6	1877.24
34584	0.19804	18314.1	2289.26
34585	0.14019	12964	1620.5
34586	0.18778	17365.7	2170.71
34587	0.15074	13940	1991.43
34588	0.15197	14054.1	1756.77
34589	0.17314	16011.2	2668.54
34590	0.16691	15435.6	1715.07
34591	0.23177	21433.6	2381.51
34592	0.17792	16453.3	2056.66
34593	0.12962	11987.1	1997.85
34594	0.20544	18998.9	1899.89
34595	0.13190	12197.6	1742.52
34596	0.20875	19304.9	2413.11
34597	0.15526	14358.5	2871.71
34598	0.13980	12928.5	1616.07
34599	0.22703	20995.5	2332.83
34600	0.22585	20886.1	2320.68
34601	0.17012	15731.9	2247.42
34602	0.23170	21426.7	2142.67
34603	0.17849	16506.6	2751.09
34604	0.18911	17488.8	1589.89
34605	0.21169	19576.9	1957.69
34606	0.14096	13035.3	2172.55
34607	0.16801	15537.5	1726.38
34608	0.22465	20774.7	2077.47
34609	0.20522	18978.2	2108.69
34610	0.26866	24844.9	2258.62
34611	0.22300	20622.8	1874.8
34612	0.21458	19843.9	1984.39
34613	0.31158	28813.8	2619.43
34614	0.16667	15412.9	1541.29
34615	0.12975	11998.7	1714.1
34616	0.15666	14488	2897.6
34617	0.18967	17540	2192.5
34618	0.33605	31076.9	3107.69
34619	0.12727	11769.3	1471.16
34620	0.26734	24722.5	2060.21
34621	0.14845	13728.7	1716.08
34622	0.18687	17281.1	2160.13
34623	0.15525	14356.7	1595.19
34624	0.17592	16269	1479
34625	0.18164	16797.8	1679.78
34626	0.23483	21716.4	2714.55
34627	0.32077	29664.1	2472.01
34628	0.14508	13416.2	1677.02
34629	0.12933	11960	2391.99
34630	0.44639	41280.9	2752.06
34631	0.43500	40228.1	5746.88
34632	0.19637	18160.1	2594.3
34633	0.20638	19085.3	2120.59
34634	0.12169	11253.7	2813.42
34635	0.21071	19486.4	1623.87
34636	0.21025	19443.4	2430.43
34637	0.16044	14836.8	2472.8
34638	0.07040	6510.21	1627.55
34639	0.25472	23555.7	2617.3
34640	0.23187	21442.8	2382.54
34641	0.31071	28733.5	2873.35
34642	0.15484	14318.8	2863.77
34643	0.21640	20011.9	2223.55
34644	0.24930	23054.4	2095.86
34645	0.16784	15521	1411
34646	0.14874	13754.8	1964.97
34647	0.22477	20786.1	1889.65
34648	0.11151	10312.4	1718.74
34649	0.15406	14246.9	1582.99
34650	0.15260	14112.1	2016.01
34651	0.22132	20466.7	2274.08
34652	0.26347	24365.1	2707.24
34653	0.18226	16854.9	2407.84
34654	0.18429	17042.5	2130.31
34655	0.11582	10711.1	1785.19
34656	0.16313	15085.5	1676.16
34657	0.21165	19572.8	2174.76
34658	0.27798	25707	2142.25
34659	0.18619	17218.3	1913.15
34660	0.28801	26634.9	2959.43
34661	0.18113	16750.4	1861.16
34662	0.21043	19460.2	1946.02
34663	0.28474	26332.1	1880.86
34664	0.29094	26905.8	3843.69
34665	0.16707	15450	1931.25
34666	0.40320	37286.9	7457.39
34667	0.16829	15563.5	2223.35
34668	0.95502	88317.7	22079.4
34669	0.18091	16730.1	1673.01
34670	0.25875	23928.5	2175.32
34671	0.28169	26049.6	1860.69
34672	0.15857	14664.6	1833.08
34673	0.18829	17412.9	1934.77
34674	0.34365	31780.3	2270.02
34675	0.25272	23371	2596.78
34676	0.16678	15423.4	1927.92
34677	0.15995	14791.4	1848.93
34678	0.12046	11139.8	2227.97
34679	0.16608	15358.9	1706.55
34680	0.21552	19930.9	1993.09
34681	0.12813	11848.9	1974.82
34682	0.19024	17592.6	1759.26
34683	0.17666	16336.8	2333.82
34684	0.11649	10772.9	1795.48
34685	0.20239	18716.4	2079.6
34686	0.25129	23238.5	2582.05
34687	0.25321	23416.4	2341.64
34688	0.24405	22569	2821.12
34689	0.20651	19097.5	2728.21
34690	0.18286	16910.6	1878.95
34691	0.18880	17459.4	1745.94
34692	0.31602	29225.1	2248.09
34693	0.27119	25079.1	2279.92
34694	0.23400	21639.4	2404.38
34695	0.24563	22715	2065
34696	0.40183	37160.6	4645.08
34697	0.22764	21051.7	1913.79
34698	0.23714	21930.2	1827.52
34699	0.19403	17943.1	2563.3
34700	0.19307	17854.3	1983.81
34701	0.29565	27340.8	2734.08
34702	0.23283	21531.9	2392.44
34703	0.17932	16582.7	2072.84
34704	0.17815	16474.8	1647.48
34705	0.43857	40557.6	5069.7
34706	0.16061	14852.4	1856.55
34707	0.23723	21938.5	1994.41
34708	0.08968	8293.06	1658.61
34709	0.15882	14687.1	2098.16
34710	0.25873	23926.8	2175.17
34711	0.22397	20712.5	1882.96
34712	0.25553	23630.5	2363.05
34713	0.09268	8571.03	1714.21
34714	0.18808	17393.3	1739.33
34715	0.34135	31566.8	2428.22
34716	0.23221	21474.6	1952.23
34717	0.11681	10802.7	1543.24
34718	0.28999	26817.4	2234.78
34719	0.14459	13371.5	1671.43
34720	0.18390	17006.6	2834.43
34721	0.20697	19139.9	1739.99
34722	0.31571	29196.2	4170.89
34723	0.20833	19265.4	2140.6
34724	0.33783	31241.7	5206.95
34725	0.23262	21512.5	2151.25
34726	0.20064	18555	1855.5
34727	0.31528	29156.2	5831.24
34728	0.20963	19386	2154
34729	0.24092	22279.4	2475.49
34730	0.10721	9914.41	2478.6
34731	0.13447	12435.6	1776.52
34732	0.17770	16433.2	1825.91
34733	0.24185	22365.7	1863.81
34734	0.25375	23465.9	3352.28
34735	0.22938	21212.9	2356.99
34736	0.14709	13602.5	1700.32
34737	0.28207	26084.8	2898.31
34738	0.31546	29173.1	2652.1
