#IID	F_ROH	ROH_length_kB	KBAVG
34426	0.57759	53395.5	3337.22
34427	0.50860	47018.1	3616.78
34428	0.53499	49457.4	3091.09
34429	0.44184	40846.3	3713.3
34430	0.47039	43485.3	3106.09
34431	0.47556	43963.9	3140.28
34432	0.39440	36460.8	4051.2
34433	0.46327	42827.5	3568.96
34434	0.47023	43471.1	3951.91
34435	0.44340	40990.6	3415.88
34436	0.48521	44855.6	2990.37
34437	0.50806	46967.9	3913.99
34438	0.52803	48814.7	4067.89
34439	0.36115	33387.2	2384.8
34440	0.46189	42699.9	4269.99
34441	0.43428	40147.2	3088.24
34442	0.43652	40354.2	3668.56
34443	0.46967	43418.9	3618.24
34444	0.44964	41567.6	3778.87
34445	0.60780	56188.4	3305.2
34446	0.45696	42244.3	2816.29
34447	0.50249	46453.1	3318.08
34448	0.42029	38853.8	3532.16
34449	0.48932	45235.4	4112.31
34450	0.53761	49699.8	2615.78
34451	0.39067	36115.5	2407.7
34452	0.42115	38933.9	2595.6
34453	0.61744	57079.6	3357.63
34454	0.48375	44720.8	3726.73
34455	0.45669	42219.1	3247.63
34456	0.43593	40299.7	2878.55
34457	0.42958	39712.7	3309.39
34458	0.50972	47122	3926.83
34459	0.52635	48659	4423.55
34460	0.45478	42042.7	3822.07
34461	0.42293	39097.9	2792.71
34462	0.38992	36046.9	3604.69
34463	0.51870	47951.9	5327.99
34464	0.53795	49731.5	3552.25
34465	0.57106	52791.8	3770.84
34466	0.45011	41610.6	3782.78
34467	0.54434	50322	4193.5
34468	0.38130	35249.3	3524.93
34469	0.46103	42620.3	3874.57
34470	0.45527	42087.9	3237.53
34471	0.53489	49448.1	3296.54
34472	0.41905	38739.5	3228.29
34473	0.49356	45627.9	3259.13
34474	0.49491	45752.6	3519.43
34475	0.59172	54701.8	4558.49
34476	0.48272	44625.6	3187.55
34477	0.42880	39640.8	2831.49
34478	0.48490	44827.2	3201.95
34479	0.45551	42110.3	3239.25
34480	0.52598	48624.8	3473.2
34481	0.48503	44839.3	4483.93
34482	0.57964	53585.6	3827.54
34483	0.42006	38832.6	3530.24
34484	0.40264	37222.6	3383.87
34485	0.36817	34036.2	3094.2
34486	0.50121	46335.1	3309.65
34487	0.35200	32541.3	3615.7
34488	0.57253	52928	3113.41
34489	0.87083	80504.6	10063.1
34490	0.47312	43738.3	5467.29
34491	0.52790	48802.6	4066.89
34492	0.49169	45454.8	4132.26
34493	0.57664	53307.9	3807.71
34494	0.49318	45592.3	3799.36
34495	0.51262	47389.4	3949.12
34496	0.43394	40116.4	4457.38
34497	0.49780	46019.9	3539.99
34498	0.51669	47766.2	3184.41
34499	0.51708	47802.3	3677.1
34500	0.53988	49909.3	4990.93
34501	0.41185	38073.8	4230.43
34502	0.47237	43668.8	3359.13
34503	0.54712	50578.8	3161.17
34504	0.40717	37641.7	3764.17
34505	0.54623	50496.6	4208.05
34506	0.49098	45388.7	3782.39
34507	0.47236	43667.9	3638.99
34508	0.57732	53371	4447.58
34509	0.41476	38342.7	2949.44
34510	0.55278	51102	4645.64
34511	0.52716	48733.5	3748.73
34512	0.55334	51153.7	4262.81
34513	0.54350	50244.5	5582.72
34514	0.44120	40787.5	3398.96
34515	0.47283	43710.9	3362.37
34516	0.40949	37855.9	3785.59
34517	0.41388	38261.8	3478.35
34518	0.56415	52153.2	3476.88
34519	0.48927	45231	4523.1
34520	0.49028	45324.8	3777.07
34521	0.39718	36717.8	4079.76
34522	0.46582	43063.5	4306.35
34523	0.61978	57295.8	5729.58
34524	0.40328	37282	3389.27
34525	0.58194	53797.8	13449.4
34526	0.55942	51716.4	3978.18
34527	0.44591	41222.3	3747.48
34528	0.53095	49084.2	4462.2
34529	0.47777	44168.1	3397.54
34530	0.46151	42664.3	3047.45
34531	0.43989	40665.9	3388.83
34532	0.55478	51287	3205.44
34533	0.37838	34979.3	3179.94
34534	0.39600	36608.2	4067.57
34535	0.65900	60921.8	5538.34
34536	0.52699	48718.4	3747.57
34537	0.47640	44040.9	3670.07
34538	0.54251	50153.2	3582.37
34539	0.56819	52526.5	4040.5
34540	0.39549	36561.3	2812.41
34541	0.46193	42703.5	4270.35
34542	0.52168	48227.1	3709.78
34543	0.50110	46324.4	2895.27
34544	0.57065	52754.6	3516.98
34545	0.41789	38632.7	4829.09
34546	0.46308	42809.8	4280.98
34547	0.59188	54717.3	3908.38
34548	0.40217	37179.2	3717.92
34549	0.71707	66290.7	4735.05
34550	0.70065	64772.6	5888.42
34551	0.46500	42987.7	2865.85
34552	0.43922	40603.8	3123.37
34553	0.51269	47396	3949.67
34554	0.55503	51310	3946.92
34555	0.43101	39845	4980.62
34556	0.36951	34159.5	2846.62
34557	0.49543	45800.1	3271.44
