Simulation	Fifth_Percentile	Avg_H_e
Simulation 10	0.1352907582	0.327600915298613
Simulation 8	0.141724656725333	0.339435547981516
Simulation 14	0.150520974435	0.337684935458791
Simulation 5	0.15071952589	0.349399602206981
Simulation 7	0.15561152517	0.350686124897818
Simulation 2	0.1580189598	0.341678508935927
Simulation 4	0.162977392152727	0.34532551769105
Simulation 1	0.1798398454425	0.351383765111441
Simulation 11	0.18223608	0.360817562824567
Simulation 20	0.1859734893	0.358183207251917
Simulation 3	0.19330397725	0.37576227978656
Simulation 6	0.194543641434643	0.365498015998407
Simulation 19	0.196537778791667	0.365331292479048
Simulation 18	0.200517917921429	0.361898775410295
Simulation 13	0.202898300666	0.361085867030969
Simulation 12	0.207332243276667	0.361300640269833
Simulation 16	0.2101082405275	0.354252461752618
Simulation 17	0.211548606	0.367146919953822
Simulation 15	0.213253903562	0.372326991928904
Simulation 9	0.2139514056225	0.375638582333361
