Simulation	Fifth_Percentile	Avg_H_e
Simulation 4	0	0.190941568020396
Simulation 10	0	0.175492391712012
Simulation 12	0	0.218728812619123
Simulation 19	0	0.185835244686324
Simulation 20	0	0.19944685346277
Simulation 6	0.000775011964912504	0.195426918425195
Simulation 18	0.00263955548423377	0.196306142526764
Simulation 17	0.0029578274068	0.20481936778246
Simulation 8	0.00326999547732	0.206380413453389
Simulation 16	0.00485058445065	0.181772647506539
Simulation 13	0.0060879761102	0.201567368465856
Simulation 11	0.017292613926	0.21678363544707
Simulation 3	0.0177848829738182	0.20019510108828
Simulation 2	0.02110357443423	0.217864165568519
Simulation 9	0.028035568968	0.21565818537047
Simulation 1	0.029414289405	0.227150245522866
Simulation 5	0.0478640319697333	0.216493129842823
Simulation 15	0.05540170258	0.225955720580636
Simulation 14	0.0644646191221429	0.237651726959091
Simulation 7	0.0910505456666667	0.247004484226718
