Simulation	Fifth_Percentile	Avg_H_e
Simulation 1	0.1875393853	0.348015392492959
Simulation 6	0.189416477042	0.34560613100398
Simulation 16	0.189777332612	0.35941405032708
Simulation 7	0.193463343416667	0.353218896946324
Simulation 8	0.194947774153333	0.35420654688449
Simulation 2	0.195548972133333	0.365215591003856
Simulation 20	0.19704672	0.340864540849943
Simulation 15	0.202227288137143	0.362617456277115
Simulation 10	0.206535731529697	0.359507611689492
Simulation 4	0.21307295776	0.360310266902143
Simulation 11	0.21974818536	0.355611046863263
Simulation 19	0.220234703982	0.374665268471532
Simulation 17	0.22174194697	0.360123419803155
Simulation 3	0.22526329018	0.348495624174145
Simulation 13	0.225944602833333	0.370083266371121
Simulation 14	0.22658566608	0.37119361334644
Simulation 5	0.232642804	0.36424345743875
Simulation 18	0.233050705608	0.371728229472184
Simulation 9	0.237653427645333	0.369488125554817
Simulation 12	0.24372974232	0.371953170922076
