Simulation	Fifth_Percentile	Avg_H_e
Simulation 16	0.0412537076494222	0.222697602803196
Simulation 2	0.0564384351466667	0.232678923158934
Simulation 20	0.0567153622707143	0.220910279852965
Simulation 10	0.0638348861371429	0.223919397079013
Simulation 1	0.06631156625175	0.230558938990973
Simulation 6	0.0663269401272222	0.220635076084034
Simulation 19	0.0663579468192222	0.231763398650485
Simulation 15	0.0712262285714286	0.237882831013635
Simulation 7	0.0728467215777778	0.238707263489125
Simulation 14	0.07558100643	0.25106698938491
Simulation 13	0.0767455457142857	0.243528706175128
Simulation 8	0.07843254976	0.24359805312884
Simulation 11	0.0816676489	0.240545023942365
Simulation 4	0.0831831919091833	0.235638411541064
Simulation 17	0.08894788032668	0.246270237002185
Simulation 12	0.0922573073045455	0.252800792981124
Simulation 5	0.092362740929525	0.253522394330489
Simulation 9	0.0950390032571429	0.250893681585013
Simulation 18	0.096234853	0.253242612343687
Simulation 3	0.0994034607786667	0.253955879817043
