#IID	F_ROH	ROH_length_kB	KBAVG
6540	0.24636	542495	4078.91
6541	0.25527	562114	5404.94
6542	0.26242	577865	4815.54
6549	0.34346	756309	6464.18
6551	0.13320	293324	3055.46
6555	0.23209	511081	4259.01
6556	0.26129	575378	4716.21
6558	0.23157	509929	5048.8
6559	0.27180	598529	4987.74
6560	0.25482	561123	4965.69
6561	0.17871	393539	4142.52
6562	0.21279	468579	4549.31
6568	0.23343	514016	4803.89
6569	0.23037	507278	4740.92
6570	0.23512	517750	4541.67
6574	0.22685	499538	4625.35
6575	0.15684	345369	3560.51
6580	0.18141	399482	3804.59
7616	0.13083	288092	3429.66
7620	0.24151	531814	4924.2
7622	0.23609	519893	4560.47
7628	0.19156	421835	4218.35
7632	0.46437	1.02258e+06	9738.82
7638	0.22426	493838	4294.24
7770	0.14042	309212	3361
7773	0.19334	425754	3942.17
7775	0.23423	515790	4689
7778	0.22757	501133	5447.1
7780	0.23458	516551	5380.74
7783	0.33082	728491	6334.71
7784	0.23694	521761	4384.55
7791	0.26381	580919	5639.99
7792	0.14699	323673	3518.18
7795	0.14827	326505	3668.59
7797	0.13029	286908	3542.08
7798	0.14077	309977	3923.77
7799	0.14571	320872	3688.19
7801	0.25833	568869	5577.15
7802	0.23471	516848	3945.41
7805	0.18758	413054	3971.67
7807	0.35479	781268	7370.45
12963	0.24231	533572	5231.1
14929	0.27182	598553	5344.22
14931	0.29140	641680	5628.77
14932	0.23904	526383	4460.87
14934	0.16379	360683	3878.31
14935	0.22573	497067	4478.08
14937	0.23783	523714	4849.21
14939	0.28720	632442	5100.34
14941	0.16795	369841	4300.47
14942	0.24088	530435	5357.93
14943	0.19365	426434	4351.36
14947	0.27638	608595	5482.84
14952	0.21291	468834	4148.97
14955	0.22685	499538	4625.35
17927	0.28255	622183	5925.55
17936	0.36086	794627	7032.1
17938	0.12175	268107	3351.34
17941	0.22824	502594	4153.67
17942	0.23864	525502	5101.96
17943	0.17554	386554	4156.5
17949	0.39316	865758	6228.47
17953	0.38143	839927	6561.93
17954	0.17507	385505	3779.46
20858	0.20259	446109	4506.15
20875	0.25810	568343	4736.19
20991	0.23726	522454	5277.32
20992	0.15509	341523	3221.92
20995	0.26805	590260	5516.45
21043	0.22145	487643	5079.62
21052	0.15202	334764	3847.86
21055	0.17246	379770	3549.25
21056	0.33671	741452	6802.31
21059	0.17239	379603	4363.25
21062	0.20788	457768	4532.36
21064	0.20850	459133	4685.03
21067	0.21098	464589	4599.89
21068	0.31563	695035	5991.68
21070	0.19364	426406	3740.41
21071	0.15960	351443	3820.03
21072	0.27775	611631	4854.22
21075	0.23368	514586	4854.58
21078	0.24164	532099	5067.61
21081	0.30087	662525	6022.95
21106	0.24552	540649	5100.46
21115	0.32163	708245	5711.65
21116	0.12162	267824	3433.64
21118	0.12210	268875	3163.23
21119	0.15885	349805	4484.68
21123	0.33086	728568	6335.37
21145	0.13479	296816	3664.4
21149	0.20927	460821	4850.75
21150	0.25545	562520	5682.02
21153	0.23706	522022	5220.22
21157	0.29189	642755	4906.53
21165	0.18779	413528	3938.36
21168	0.28167	620253	6394.36
21169	0.16186	356427	4193.26
21178	0.24679	543444	5602.52
21194	0.18830	414649	4607.21
21200	0.38805	854517	8460.56
21210	0.32030	705328	6782
21212	0.17792	391792	3957.5
21222	0.02698	59412.7	1747.43
21229	0.27285	600830	5364.55
21241	0.18413	405464	4223.59
21243	0.22479	495003	4852.97
21246	0.29097	640725	4928.66
21258	0.23507	517646	4313.72
21260	0.26258	578213	4700.92
21261	0.20941	461134	3811.02
21263	0.30324	667750	5857.45
21280	0.25430	559991	4274.74
21293	0.26931	593031	4526.96
21297	0.26502	583595	4783.57
21298	0.27687	609681	4726.21
21299	0.19077	420088	4159.29
21306	0.16066	353776	3845.39
21308	0.21007	462591	4491.17
21309	0.24945	549305	4577.54
21315	0.27827	612769	4863.25
21316	0.24879	547854	5026.18
21318	0.24224	533421	4638.44
21320	0.30721	676494	6094.54
21321	0.25945	571319	4801
21325	0.29100	640807	4782.14
21326	0.30145	663809	5441.06
21329	0.30671	675389	5872.95
21332	0.26484	583184	5301.68
21345	0.36431	802238	6469.66
21527	0.00973	21426.7	1530.48
21531	0.39573	871427	5809.51
21537	0.16059	353636	3762.08
21539	0.31504	693732	5733.33
21544	0.20809	458237	3850.73
21545	0.34335	756073	7132.77
21558	0.15877	349616	3884.63
21886	0.14086	310189	3782.79
21888	0.19432	427896	4702.16
21891	0.31864	701674	5847.28
21894	0.28046	617584	5938.31
21899	0.16089	354294	3473.47
21900	0.25844	569099	4516.66
21906	0.24759	545208	5563.35
21907	0.21413	471538	4030.24
21908	0.26297	579073	4524.01
21909	0.17308	381143	3889.21
21910	0.23613	519975	5305.87
21913	0.29755	655224	6066.88
21914	0.31987	704368	5634.94
22659	0.23773	523503	4938.7
22661	0.23385	514949	4858.01
22662	0.20722	456319	4753.32
22663	0.16025	352887	3794.49
22664	0.27216	599307	4190.96
22669	0.24589	541464	4165.11
22671	0.18962	417562	4217.8
22674	0.13218	291061	3684.32
22677	0.25337	557933	5524.09
22681	0.15333	337643	3793.74
22683	0.22436	494045	3984.23
22684	0.33744	743066	5992.46
22686	0.19881	437800	3908.93
22689	0.20788	457765	3814.71
23723	0.20033	441132	3802.86
23724	0.28881	635984	5344.4
23726	0.20392	449036	4776.98
23727	0.21419	471653	4327.09
23728	0.21621	476097	4104.28
23730	0.27651	608883	4756.9
23731	0.20912	460499	4385.7
23733	0.25932	571033	4392.56
23740	0.27202	599005	5348.25
23742	0.24179	532432	5119.54
