#IID	F_ROH	ROH_length_kB	KBAVG
34426	0.27407	25339.7	2111.64
34427	0.29225	27021.2	2702.12
34428	0.16344	15111.1	1679.02
34429	0.29077	26883.6	2240.3
34430	0.20805	19235.6	1748.69
34431	0.16301	15071.9	1674.66
34432	0.06147	5683.12	1420.78
34433	0.23520	21746.4	2174.64
34434	0.22182	20508.6	2050.86
34435	0.27079	25036.9	2086.41
34436	0.16242	15017.1	2145.3
34437	0.24842	22968.3	2088.03
34438	0.21289	19683.2	1968.32
34439	0.24699	22836.5	1903.04
34440	0.19130	17687.6	1768.76
34441	0.17790	16448.2	2056.02
34442	0.23789	21995	2749.38
34443	0.24842	22968.4	3828.07
34444	0.09288	8587.27	1717.45
34445	0.35893	33185.6	2552.74
34446	0.10711	9903.1	1650.52
34447	0.19442	17976.1	1997.35
34448	0.11551	10680.2	1780.03
34449	0.32717	30249.8	2016.65
34450	0.26179	24204.5	2200.41
34451	0.27002	24965.4	2269.58
34452	0.15679	14496.3	1812.03
34453	0.31362	28996.2	2230.48
34454	0.20355	18820	2688.57
34455	0.18705	17293.8	2161.73
34456	0.20502	18955.5	2707.92
34457	0.18598	17195.1	2149.39
34458	0.23514	21740.1	2174.01
34459	0.32044	29627.5	2279.04
34460	0.20186	18663.7	1866.37
34461	0.26139	24167.2	3020.89
34462	0.22166	20493.9	2277.1
34463	0.34338	31748	2645.66
34464	0.32688	30222.8	2324.83
34465	0.23794	21999.1	1999.92
34466	0.26110	24140.4	2682.26
34467	0.28214	26086	2608.6
34468	0.15005	13873.7	1734.22
34469	0.27851	25750.1	2575.01
34470	0.28794	26622.3	2420.21
34471	0.26083	24116.2	2009.68
34472	0.11432	10569.6	2113.93
34473	0.52649	48677.7	3744.44
34474	0.24455	22610.5	2512.27
34475	0.36512	33758.2	2596.78
34476	0.09544	8824.42	2206.11
34477	0.21142	19547.8	2171.98
34478	0.29671	27433.2	2286.1
34479	0.42042	38870.9	3533.72
34480	0.22145	20475	1861.36
34481	0.28186	26060	2369.09
34482	0.18772	17356.1	1928.46
34483	0.26870	24843.1	2070.26
34484	0.15342	14184.9	2364.14
34485	0.31707	29315.8	2442.98
34486	0.22935	21204.8	2120.48
34487	0.22305	20623.1	2062.31
34488	0.34217	31635.9	2636.32
34489	0.36038	33319.8	3702.2
34490	0.10069	9309.14	1551.52
34491	0.26979	24943.8	2494.38
34492	0.30848	28521.7	2592.88
34493	0.21147	19551.6	1955.16
34494	0.21922	20268.9	2026.89
34495	0.31245	28888.2	2407.35
34496	0.17734	16396.5	1821.83
34497	0.21053	19465.4	2433.17
34498	0.20472	18928.1	2103.13
34499	0.13910	12861	1607.63
34500	0.20635	19079	2119.89
34501	0.28824	26649.9	2664.99
34502	0.24352	22515.5	2814.44
34503	0.14047	12987.4	1623.43
34504	0.16227	15002.8	1875.35
34505	0.33117	30619.6	2187.11
34506	0.14228	13154.9	1644.36
34507	0.37529	34698.8	2313.25
34508	0.15942	14739.5	1842.44
34509	0.30330	28042.3	2336.86
34510	0.22455	20761.8	1887.43
34511	0.25642	23707.8	1823.67
34512	0.28688	26524.4	2210.37
34513	0.25712	23772.4	1981.04
34514	0.17235	15935.3	1770.59
34515	0.32949	30463.8	2538.65
34516	0.14517	13421.7	1677.72
34517	0.24292	22459.8	2807.48
34518	0.17900	16549.8	2068.73
34519	0.21936	20281.6	1843.79
34520	0.17515	16194	2698.99
34521	0.30089	27820	2318.33
34522	0.16085	14871.9	2124.56
34523	0.30177	27900.7	2536.43
34524	0.22534	20834.7	1894.07
34525	0.27244	25189.4	2518.94
34526	0.23232	21479.4	2147.94
34527	0.17229	15929.8	1769.98
34528	0.34142	31566.5	3156.65
34529	0.18590	17188	1909.78
34530	0.27107	25062.7	2088.56
34531	0.25278	23371.8	1947.65
34532	0.17775	16434.2	2054.28
34533	0.19581	18103.7	2262.96
34534	0.22403	20713.5	2301.5
34535	0.15087	13948.7	1743.59
34536	0.30010	27746.3	3082.93
34537	0.25183	23283.9	2587.1
34538	0.20922	19344.2	2763.46
34539	0.24577	22722.9	2524.77
34540	0.19783	18291.3	2613.04
34541	0.22442	20749.5	2305.5
34542	0.13497	12479.3	2079.89
34543	0.28488	26339.1	2394.46
34544	0.21377	19764.4	1796.76
34545	0.26961	24927.1	1917.47
34546	0.28764	26594.1	2417.64
34547	0.27830	25731.2	2339.2
34548	0.17679	16345.9	2724.32
34549	0.31907	29500.8	2269.29
34550	0.17370	16059.8	2294.25
34551	0.13277	12275.7	1534.46
34552	0.34910	32277.4	2305.53
34553	0.18922	17494.8	2186.85
34554	0.19915	18412.9	2045.88
34555	0.19833	18337.6	1833.76
34556	0.32222	29792.1	2128.01
34557	0.24399	22558.6	2050.79
34558	0.15205	14058.6	1757.33
34559	0.23995	22185.6	2218.56
34560	0.17089	15800.5	1975.06
34561	0.14180	13110.3	1638.79
34562	0.20834	19262.8	1926.28
34563	0.21924	20270.1	1689.17
34564	0.20507	18960.1	2106.68
34565	0.23096	21354.5	1779.54
34566	0.19115	17673.3	2209.17
34567	0.14721	13611	1944.43
34568	0.35574	32890.8	2990.07
34569	0.24765	22896.8	2081.53
34570	0.17293	15988.4	2284.05
34571	0.22187	20513.8	2930.54
34572	0.32902	30420.3	2172.88
34573	0.40051	37030.7	2645.05
34574	0.18250	16873.5	2109.18
34575	0.21714	20076.7	1825.16
34576	0.26244	24264.5	2022.04
34577	0.15719	14533.3	1816.66
34578	0.19396	17933.2	2241.65
34579	0.15802	14609.8	2087.11
34580	0.25124	23228.7	2111.7
34581	0.26710	24695.5	1899.66
34582	0.25461	23540.9	2354.09
34583	0.17179	15883	1764.78
34584	0.58792	54357.5	18119.2
34585	0.31215	28860.8	3607.6
34586	0.37995	35129	3903.22
34587	0.10835	10017.4	1669.57
34588	0.20082	18567.8	1856.78
34589	0.28688	26524.1	2947.12
34590	0.27346	25283.1	3611.88
34591	0.21136	19542.1	2171.34
34592	0.19820	18325.4	2036.16
34593	0.19338	17879.2	2234.9
34594	0.20552	19001.8	2714.54
34595	0.18359	16974.5	2121.81
34596	0.30192	27914.5	1744.65
34597	0.24780	22910.9	2291.09
34598	0.36932	34146.5	2276.43
34599	0.17388	16076.6	2296.66
34600	0.31659	29271.1	2439.26
34601	0.26248	24268.2	2426.82
34602	0.27768	25673.8	3209.23
34603	0.15555	14381.6	2054.52
34604	0.26058	24092.3	2007.69
34605	0.17657	16325	2040.62
34606	0.13119	12129.9	2021.66
34607	0.19776	18284.1	2031.56
34608	0.27159	25111	1931.61
34609	0.25113	23219.2	2110.84
34610	0.28562	26408.1	2200.67
34611	0.18116	16749.6	2093.7
34612	0.14346	13264.1	1894.87
34613	0.23319	21560.5	2156.05
34614	0.20702	19140.8	1914.08
34615	0.17596	16269.1	2033.63
34616	0.22993	21258.7	1932.61
34617	0.22722	21008.4	2100.84
34618	0.26159	24185.9	2015.49
34619	0.17278	15975.2	2662.54
34620	0.25336	23425.3	2129.57
34621	0.11857	10962.8	2192.56
34622	0.36893	34110.3	2623.87
34623	0.26663	24652.2	3521.75
34624	0.22998	21263.5	2362.61
34625	0.17542	16218.6	2027.32
34626	0.10178	9410.3	1568.38
34627	0.21987	20328.8	1848.08
34628	0.27222	25168.9	1936.07
34629	0.24947	23065.6	2096.87
34630	0.24533	22682.3	2062.03
34631	0.27069	25027	2275.18
34632	0.24639	22780.5	2278.05
34633	0.24724	22859.5	2857.44
34634	0.15865	14668.7	1833.58
34635	0.27228	25174.3	3146.79
34636	0.18336	16953.5	2421.93
34637	0.25165	23266.6	2115.15
34638	0.24385	22546.1	2505.12
34639	0.17215	15917	1591.7
34640	0.19042	17606	1956.22
34641	0.48785	45105.6	5638.2
34642	0.22478	20782.6	1889.33
34643	0.17483	16164.3	2309.19
34644	0.16245	15020.1	1668.9
34645	0.28761	26592.1	2045.55
34646	0.16261	15034.8	1879.35
34647	0.36485	33733.6	2409.54
34648	0.28304	26169.1	2616.91
34649	0.30874	28545.6	2378.8
34650	0.18089	16724.6	2090.57
34651	0.29231	27026.5	2252.21
34652	0.17642	16311.7	2038.96
34653	0.18955	17525.1	1752.51
34654	0.24479	22632.9	1886.07
34655	0.16338	15105.7	3021.13
34656	0.14972	13842.4	1538.05
34657	0.27736	25644.5	2564.45
34658	0.24586	22731.9	2066.54
34659	0.11198	10353	2070.6
34660	0.24612	22755.3	2068.67
34661	0.28447	26301.7	2630.17
34662	0.22943	21212.8	2651.6
34663	0.21511	19888.7	2841.24
34664	0.34653	32039.2	2288.52
34665	0.22725	21011.3	2334.58
34666	0.16208	14985.5	1873.19
34667	0.24967	23083.5	2564.84
34668	0.14079	13017.4	2169.56
34669	0.30922	28590	2382.5
34670	0.20831	19259.7	1925.97
34671	0.26009	24047.8	2404.78
34672	0.18285	16906.1	2113.27
34673	0.23391	21627.2	2403.02
34674	0.28039	25924.2	2592.42
34675	0.18176	16804.8	2100.6
34676	0.28754	26585.2	2416.84
34677	0.19080	17640.7	1603.7
34678	0.17757	16417.6	1824.18
34679	0.20664	19105.1	2388.14
34680	0.26025	24062.2	2005.19
34681	0.25223	23320.4	2591.16
34682	0.31454	29081.7	2237.06
34683	0.17281	15977.2	2282.45
34684	0.16956	15677.5	2239.64
34685	0.22280	20599.3	2059.93
34686	0.17242	15941.7	2656.95
34687	0.20767	19200.3	1920.03
34688	0.29438	27217.7	3024.18
34689	0.35789	33089.4	2068.08
34690	0.23542	21766.5	2176.65
34691	0.15460	14293.9	1786.74
34692	0.27287	25229.1	2293.55
34693	0.28094	25975.4	2597.54
34694	0.21336	19726.4	2465.81
34695	0.29566	27335.9	2733.59
34696	0.18114	16748.1	1674.81
34697	0.18751	17336.6	1733.66
34698	0.17627	16297.8	1629.78
34699	0.18930	17502.2	2500.32
34700	0.08930	8256.53	1651.31
34701	0.16775	15510.2	1938.78
34702	0.26474	24477.7	2225.25
34703	0.22565	20862.7	2318.07
34704	0.18896	17471.2	1941.25
34705	0.30583	28276.4	2570.58
34706	0.32464	30015.1	5002.51
34707	0.20221	18696.3	2337.04
34708	0.22002	20343	2260.33
34709	0.14357	13273.9	1896.28
34710	0.22721	21007	2100.7
34711	0.27570	25490.7	1820.77
34712	0.20752	19187.3	2398.41
34713	0.20060	18547.4	2649.63
34714	0.21476	19856.5	2482.07
34715	0.24651	22791.6	2532.39
34716	0.28464	26316.8	2392.43
34717	0.23127	21382.6	2138.26
34718	0.22500	20802.7	1733.56
34719	0.32757	30286.4	2523.87
34720	0.10012	9256.76	1851.35
34721	0.28097	25978.1	2361.65
34722	0.19491	18021.3	1638.3
34723	0.19119	17677.1	2209.64
34724	0.20179	18657.2	2073.02
34725	0.40456	37404.7	4675.59
34726	0.26538	24536.1	2453.61
34727	0.44096	40770.2	3136.17
34728	0.42851	39619.5	4402.17
34729	0.15659	14477.9	1608.65
34730	0.37600	34763.9	2674.15
34731	0.31376	29009.7	3626.22
34732	0.24439	22596.2	2054.2
34733	0.38025	35156.8	3906.31
34734	0.20976	19394.1	2424.27
34735	0.40323	37282.1	2663.01
34736	0.14501	13407.3	1675.91
34737	0.32450	30002.3	2000.15
34738	0.28147	26024.3	2602.43
34739	0.17150	15856.8	1982.1
34740	0.16419	15181	2530.17
34741	0.24987	23102.8	2310.28
34742	0.37588	34753.5	3861.5
34743	0.21852	20204	2020.4
34744	0.34987	32348.4	2695.7
34745	0.37066	34270.4	2636.19
34746	0.22079	20414.1	1855.83
34747	0.23077	21336.8	1939.71
34748	0.18786	17369.5	1736.95
34749	0.26877	24850.3	1775.02
34750	0.28068	25951	2359.19
34751	0.21211	19611.5	1634.29
34752	0.29632	27397.3	2490.67
34753	0.21068	19479.1	1770.83
34754	0.45135	41730.8	4636.75
34755	0.14937	13810.2	1726.28
34756	0.22686	20975.3	2330.59
34757	0.22459	20765.3	2307.25
34758	0.26898	24869.7	1913.05
34759	0.34022	31455.8	2859.62
34760	0.28118	25997.1	2166.42
34761	0.12989	12008.9	2401.78
34762	0.12300	11372	2274.41
34763	0.42573	39361.7	3027.83
34764	0.23478	21706.8	2170.68
34765	0.14785	13669.6	1708.7
34766	0.36285	33547.9	2795.66
34767	0.16714	15453.8	2207.69
34768	0.19022	17586.9	2931.15
34769	0.31776	29379.4	2670.85
34770	0.25605	23673.9	2367.39
34771	0.24904	23025.8	2878.22
34772	0.32482	30032	2730.19
34773	0.16495	15251.3	2178.76
34774	0.22649	20940.5	2094.05
34775	0.11577	10704.3	1529.19
34776	0.12539	11592.9	1932.15
34777	0.21265	19661.1	1966.11
34778	0.23772	21978.8	2747.35
34779	0.63031	58277	14569.3
34780	0.34987	32347.8	2940.71
34781	0.18890	17465.1	1746.51
34782	0.16000	14793	1849.12
34783	0.14425	13337.4	2667.48
34784	0.33678	31138.4	2224.17
34785	0.32271	29836.6	2983.66
34786	0.15249	14098.8	2014.12
34787	0.30439	28143.6	2345.3
34788	0.32793	30320.1	3790.01
34789	0.14312	13233	1654.13
34790	0.23357	21595.7	2159.57
34791	0.13992	12936.4	2156.07
34792	0.18384	16997.8	2428.25
34793	0.19025	17590.5	1954.5
34794	0.25186	23286.3	2116.94
34795	0.24255	22425.2	3737.54
