#IID	F_ROH	ROH_length_kB	KBAVG
69206	0.43703	40404.2	2693.62
69207	0.36190	33458.1	2788.18
69208	0.47660	44063.1	3147.37
69209	0.49157	45446.8	3495.9
69210	0.34985	32344.6	2488.04
69211	0.34093	31520	2865.46
69212	0.44683	41310.5	2754.03
69213	0.32010	29594	3699.25
69214	0.48218	44578.3	2971.89
69215	0.39831	36825.2	3068.77
69216	0.44646	41276.3	3439.7
69217	0.30471	28171.4	3130.16
69218	0.40677	37607.2	2686.23
69219	0.42029	38856.9	3532.45
69220	0.40263	37224.1	3722.41
69221	0.37063	34266.1	2855.51
69222	0.45548	42110.5	3007.89
69223	0.47113	43556.9	5444.62
69224	0.35113	32462.8	2164.19
69225	0.31781	29382.1	2260.16
69226	0.34099	31525.6	2865.96
69227	0.30284	27997.9	2545.26
69228	0.42100	38922.3	3892.23
69229	0.48308	44661.8	3721.82
69230	0.41871	38710.8	2277.11
69231	0.40557	37496.4	3408.77
69232	0.48694	45019.2	3215.66
69233	0.46226	42736.8	3885.16
69234	0.35300	32635.9	2966.9
69235	0.32068	29647.6	2280.58
69236	0.49340	45616.2	4146.93
69237	0.42515	39305.9	3023.53
69238	0.49516	45778.6	3051.91
69239	0.31921	29511.4	2459.29
69240	0.41406	38280.8	3190.07
69241	0.44572	41208.1	3434
69242	0.47856	44244.3	3403.41
69243	0.49963	46192.2	4619.22
69244	0.34588	31977.2	2664.76
69245	0.34854	32223.4	2148.23
69246	0.35772	33072.4	3307.24
69247	0.36372	33626.6	2802.21
69248	0.33445	30921.1	3092.11
69249	0.48966	45270.3	3772.52
69250	0.38448	35545.9	3231.45
69251	0.41610	38469.9	3497.26
69252	0.35675	32982.5	2998.41
69253	0.34370	31776.1	2444.32
69254	0.35690	32996.1	3299.61
69255	0.35718	33022.6	2201.51
69256	0.34444	31844.1	3980.51
69257	0.46805	43272.6	3328.66
69258	0.38948	36008.6	3600.86
69259	0.42934	39693.4	3307.79
69260	0.45272	41854.8	4185.48
69261	0.47865	44252.4	2950.16
69262	0.30889	28557.4	2855.74
69263	0.47689	44090.1	4409.01
69264	0.51129	47270.2	2954.39
69265	0.48137	44504.2	7417.36
69266	0.44156	40823	3401.91
69267	0.37618	34778.6	3477.86
69268	0.45704	42254.2	2816.95
69269	0.32626	30163.5	2513.62
69270	0.53343	49316.8	2900.99
69271	0.29183	26980.7	2997.86
69272	0.53378	49348.9	3796.07
69273	0.46188	42702	3050.15
69274	0.36090	33365.9	3707.32
69275	0.49140	45431.6	3245.12
69276	0.47481	43897.1	3135.51
69277	0.43171	39912.3	3991.23
69278	0.57570	53225	4094.23
69279	0.44231	40892.6	3717.51
69280	0.42509	39300.7	3572.79
69281	0.33495	30967.3	2580.61
69282	0.37827	34971.9	3179.26
69283	0.54230	50137	4178.08
69284	0.36856	34074.7	3407.47
69285	0.43044	39795.2	4421.69
69286	0.55124	50963.5	4246.96
69287	0.36829	34049.6	3095.42
69288	0.32510	30056.7	2504.72
69289	0.47965	44344.4	3167.46
69290	0.45908	42442.8	2357.94
69291	0.29971	27708.9	1979.2
69292	0.48317	44670.7	2481.7
69293	0.41800	38644.9	3864.49
69294	0.37980	35113.4	2926.12
69295	0.36272	33534.6	3048.6
69296	0.44281	40939	4548.78
69297	0.39859	36850.7	3070.89
69298	0.35856	33149.9	3683.32
69299	0.31570	29187.6	2653.42
69300	0.38710	35788.2	2556.3
69301	0.41167	38059.6	2537.31
69302	0.35500	32820.9	2735.07
69303	0.52242	48299.2	3018.7
69304	0.39818	36813	2629.5
69305	0.49507	45770.2	2860.63
69306	0.38322	35429.5	3936.61
69307	0.40974	37881.7	4209.07
69308	0.46598	43081.2	3590.1
69309	0.40571	37508.7	3409.89
69310	0.38260	35372.6	3215.69
69311	0.36126	33399.7	4771.39
69312	0.43810	40503.3	3115.64
69313	0.52161	48223.8	3214.92
69314	0.41355	38233.7	3186.14
69315	0.28268	26134.1	2375.83
69316	0.53366	49338.6	2741.03
69317	0.46619	43100.5	3315.42
69318	0.33320	30805.4	3850.68
69319	0.42489	39282.2	3021.71
69320	0.52950	48953.9	6119.24
69321	0.47166	43606	3114.71
