Simulation	Fifth_Percentile	Avg_H_e
Simulation 1	0.139989629061818	0.318467688618453
Simulation 20	0.144300332716	0.311018147768576
Simulation 16	0.14696569652	0.332406295593453
Simulation 6	0.1509684994375	0.321191659272299
Simulation 7	0.156196904875	0.324500769889864
Simulation 15	0.157058870172381	0.339556949712319
Simulation 8	0.157192771072	0.328864389841639
Simulation 2	0.170976918582857	0.346981098275801
Simulation 10	0.17266822214	0.337902962810285
Simulation 17	0.176671260358857	0.338491919219736
Simulation 5	0.177762912298333	0.342892836234949
Simulation 4	0.178032678993333	0.335761225126091
Simulation 11	0.180544643138	0.333994556920857
Simulation 13	0.185176796	0.345280942052278
Simulation 18	0.186917008666667	0.344344683405553
Simulation 12	0.187721591538182	0.345944992102473
Simulation 14	0.18829017021	0.356493293481488
Simulation 19	0.188672156616	0.351157859792752
Simulation 9	0.19422549279	0.350105378340629
Simulation 3	0.19454207225225	0.326765924747566
