Simulation	Fifth_Percentile	Avg_H_e
Simulation 2	0.0728129883	0.294479318498019
Simulation 19	0.09967521008375	0.313981820574224
Simulation 10	0.1008736055	0.291411590177929
Simulation 11	0.10298010647	0.320607979955415
Simulation 15	0.1070766048	0.298426082617949
Simulation 8	0.115538892737143	0.313484964232224
Simulation 17	0.119201400576	0.310479338901417
Simulation 7	0.12725362224	0.314667095029441
Simulation 6	0.129390333359167	0.315339968952523
Simulation 5	0.12985079837475	0.321232020546358
Simulation 12	0.131659584504167	0.313908909968182
Simulation 20	0.131802747204167	0.320590550483362
Simulation 13	0.1399050752	0.343324170266562
Simulation 1	0.14725033734	0.333782180491667
Simulation 9	0.1624419227475	0.335072950403956
Simulation 16	0.1660238159	0.346269578257612
Simulation 4	0.16749543785	0.340357992425754
Simulation 14	0.17666245878	0.340965991468855
Simulation 3	0.181165640973333	0.341971245591427
Simulation 18	0.186014065255	0.359259691804237
