Simulation	Fifth_Percentile	Avg_H_e
Simulation 15	0.0351159870857143	0.212990674332117
Simulation 1	0.0358560594871795	0.202395249778957
Simulation 4	0.0383950788026374	0.214924164279978
Simulation 20	0.040131281088	0.224240414291485
Simulation 12	0.0455031519589208	0.228308003354993
Simulation 5	0.057695163348	0.229247214084216
Simulation 6	0.0595347432093784	0.227075528755769
Simulation 9	0.0598915282466667	0.240558142649032
Simulation 10	0.0601473327801571	0.218627601282581
Simulation 13	0.0617674773748052	0.231821324181679
Simulation 19	0.0637443038895	0.240843113001379
Simulation 2	0.0646188124977778	0.2330342165124
Simulation 18	0.0663965066666667	0.237061707943196
Simulation 8	0.0682794539646667	0.232994165794961
Simulation 16	0.0736848115885714	0.233871443067263
Simulation 14	0.0771928725197143	0.239588411832929
Simulation 3	0.0772928203733333	0.231036442771126
Simulation 17	0.0804208887980953	0.243175780872793
Simulation 7	0.0805242928056393	0.234058753596007
Simulation 11	0.0840662658776228	0.250127853511403
