#IID	F_ROH	ROH_length_kB	KBAVG
2551	0.29783	27539.5	5507.9
2552	0.12622	11671.1	3890.37
2553	0.28241	26114.4	6528.61
2554	0.22730	21018.2	7006.05
2555	0.40171	37145.5	18572.8
2556	0.28995	26811.4	8937.15
2557	0.35778	33083	6616.6
2558	0.25813	23868.5	7956.15
2559	0.21006	19424.4	4856.09
2560	0.16428	15191.2	5063.73
2561	0.26999	24965.9	4993.19
2562	0.22702	20992.5	6997.49
2563	0.22485	20791.4	4158.28
2564	0.16261	15036.3	5012.1
2565	0.14426	13339.6	4446.55
2566	0.19785	18294.7	6098.24
2567	0.30771	28453.9	9484.63
2568	0.34076	31509.4	10503.1
2569	0.29191	26992.6	8997.52
2570	0.21044	19459.5	3891.9
2571	0.25691	23756.4	4751.28
2572	0.09492	8776.85	4388.43
2573	0.36118	33397.9	11132.6
2574	0.11178	10335.7	5167.84
2575	0.13867	12822.6	6411.28
2576	0.48799	45123.5	11280.9
2577	0.20351	18818.4	6272.8
2578	0.16169	14951.6	3737.91
2579	0.20445	18904.9	6301.64
2580	0.15577	14404.2	4801.4
2581	0.36678	33915.5	6783.1
2582	0.51951	48038.4	12009.6
2583	0.11183	10340.9	5170.45
2584	0.45244	41836.1	10459
2585	0.04719	4363.87	4363.87
2586	0.30003	27743.6	5548.72
2587	0.31931	29526.5	7381.62
2588	0.31977	29569.1	7392.29
2589	0.29117	26924.5	6731.13
2590	0.64809	59928.2	8561.17
2591	0.37640	34805.2	8701.3
2592	0.33093	30600.5	7650.12
2593	0.16683	15426.6	5142.21
2594	0.59846	55338.5	18446.2
2595	0.20738	19175.8	9587.9
2596	0.10922	10099.4	5049.72
2597	0.32741	30274.9	7568.72
2598	0.26027	24067	4813.4
2599	0.27688	25602.9	8534.3
2600	0.31034	28696.5	5739.29
