#IID	F_ROH	ROH_length_kB	KBAVG
2551	0.65050	60137	20045.7
2552	0.38696	35773.5	8943.38
2553	0.09732	8996.91	4498.45
2554	0.16944	15663.9	7831.96
2555	0.41341	38218.4	12739.5
2556	0.20103	18584.3	9292.16
2557	0.28890	26707.9	6676.97
2558	0.45039	41637.4	5948.2
2559	0.23542	21763.7	5440.94
2560	0.29978	27714	9238
2561	0.25390	23472.1	5868.03
2562	0.19544	18067.6	4516.91
2563	0.21638	20003.7	10001.8
2564	0.44409	41054.5	10263.6
2565	0.21166	19567	4891.74
2566	0.30414	28117	7029.25
2567	0.17033	15746.3	3936.57
2568	0.21394	19777.8	4944.45
2569	0.21124	19529	3905.8
2570	0.17469	16149.6	8074.8
2571	0.52565	48594.7	6942.1
2572	0.34372	31776.3	10592.1
2573	0.16501	15254.7	3813.68
2574	0.30842	28512.9	9504.29
2575	0.29809	27557.3	6889.33
2576	0.14114	13048.1	6524.04
2577	0.03484	3220.73	3220.73
2578	0.46085	42604.5	6086.36
2579	0.42629	39409.5	9852.37
2580	0.17135	15841	5280.33
2581	0.12000	11094.1	5547.05
2582	0.20605	19049.2	4762.3
2583	0.15593	14415.1	7207.57
2584	0.29791	27541.1	5508.21
2585	0.22687	20973.2	20973.2
2586	0.18744	17328.1	4332.03
2587	0.15646	14464.3	7232.14
2588	0.93150	86115	43057.5
2589	0.18492	17095.4	5698.46
2590	0.26192	24214.2	6053.56
2591	0.42428	39223.7	7844.74
2592	0.22123	20451.9	6817.3
2593	0.21002	19415.6	9707.81
2594	0.36088	33362.3	8340.58
2595	0.06456	5968.05	2984.02
2596	0.35853	33145.4	6629.07
2597	0.32370	29925.3	9975.1
2598	0.30693	28374.5	5674.9
2599	0.37800	34944.8	6988.96
2600	0.20320	18785.2	6261.72
