#IID	F_ROH	ROH_length_kB	KBAVG
20131	0.17716	16380.8	5460.27
20132	0.00000	0	0
20133	0.25900	23947.7	4789.54
20134	0.13847	12803.1	6401.56
20135	0.22758	21042.8	5260.7
20136	0.29259	27053.8	6763.45
20137	0.30881	28553.3	5710.66
20138	0.28380	26240.9	6560.23
20139	0.40125	37100.5	4637.57
20140	0.19757	18267.3	4566.82
20141	0.12850	11881.5	5940.77
20142	0.12240	11317.7	5658.87
20143	0.42352	39159.9	7831.97
20144	0.08769	8108.32	8108.32
20145	0.29495	27271.3	6817.83
20146	0.31435	29065.2	7266.31
20147	0.18768	17353.6	8676.79
20148	0.51061	47211.8	6744.54
20149	0.43080	39832.5	7966.49
20150	0.22767	21050.6	5262.64
20151	0.28344	26207.8	5241.56
20152	0.36259	33526.1	5587.68
20153	0.22129	20460.6	6820.21
20154	0.16903	15629.2	7814.61
20155	0.31613	29230.2	4871.7
20156	0.32649	30187.8	7546.94
20157	0.27653	25568.3	8522.77
20158	0.22865	21141.6	7047.19
20159	0.16414	15176.9	5058.97
20160	0.19141	17697.7	4424.44
20161	0.31249	28893.1	5778.62
20162	0.37891	35034.5	5839.09
20163	0.08765	8104.51	4052.26
20164	0.20567	19016.6	6338.86
20165	0.12456	11517.1	5758.56
20166	0.03233	2989.26	2989.26
20167	0.30807	28484.8	7121.21
20168	0.49707	45960.5	9192.11
20169	0.21263	19659.8	6553.26
20170	0.56800	52518.2	8753.04
20171	0.20806	19237.5	6412.48
20172	0.18058	16696.8	5565.61
20173	0.32286	29852	5970.39
20174	0.24354	22517.9	5629.47
20175	0.52670	48700	9740.01
20176	0.18500	17105.1	5701.7
20177	0.15382	14222.6	3555.66
20178	0.12966	11988.2	3996.08
20179	0.19720	18233.5	6077.84
20180	0.24786	22917.5	4583.51
20181	0.35917	33209.7	6641.94
20182	0.12846	11877.3	3959.09
20183	0.34053	31486.1	6297.22
20184	0.07865	7272.21	3636.1
20185	0.03320	3070	3070
20186	0.46669	43151.3	8630.25
20187	0.17821	16477.2	4119.29
20188	0.41116	38017.1	6336.19
20189	0.21804	20160.7	5040.17
20190	0.73568	68022.1	7558.01
20191	0.37825	34973.9	6994.78
20192	0.35386	32718.9	5453.15
20193	0.27274	25217.8	6304.46
20194	0.13329	12323.8	6161.88
20195	0.42660	39444.2	9861.04
20196	0.22276	20597.1	6865.69
20197	0.09895	9149.07	4574.53
20198	0.32085	29666	7416.51
20199	0.16806	15539.2	5179.74
20200	0.33567	31036.4	6207.29
