#IID	F_ROH	ROH_length_kB	KBAVG
4111	0.33443	30924.9	15462.4
4112	0.50679	46862.8	9372.56
4113	0.21809	20167.1	5041.78
4114	0.07971	7370.36	3685.18
4115	0.05837	5397.48	5397.48
4116	0.09246	8550.03	4275.01
4117	0.06595	6098.86	6098.86
4118	0.29201	27001.8	6750.46
4119	0.14535	13440.1	4480.04
4120	0.20444	18905	6301.66
4121	0.04737	4380.18	4380.18
4122	0.29638	27406.3	6851.58
4123	0.11211	10367.1	5183.56
4124	0.13164	12172.4	6086.18
4125	0.13910	12863	6431.49
4126	0.10619	9819.75	4909.88
4127	0.03645	3370.8	3370.8
4128	0.28358	26222.8	6555.7
4129	0.16742	15481.5	5160.49
4130	0.25477	23558.3	5889.58
4131	0.31240	28887.6	5777.52
4132	0.09755	9020.03	4510.02
4133	0.63998	59179.3	9863.22
4134	0.24380	22543.8	4508.75
4135	0.22034	20375.3	5093.82
4136	0.03855	3564.54	3564.54
4137	0.17718	16383.6	5461.19
4138	0.20598	19046.6	6348.88
4139	0.44301	40965.6	6827.6
4140	0.13726	12692.9	6346.46
4141	0.33281	30774.8	6154.96
4142	0.38536	35634.3	8908.56
4143	0.14295	13218.3	6609.13
4144	0.37581	34751	4964.43
4145	0.25312	23406.4	4681.28
4146	0.52370	48426.3	9685.26
4147	0.47441	43869.1	14623
4148	0.12446	11508.7	5754.35
4149	0.13515	12497.7	4165.91
4150	0.04019	3716.63	3716.63
4151	0.11821	10930.5	5465.24
4152	0.23884	22085.8	5521.44
4153	0.12274	11350.1	3783.37
4154	0.15178	14034.7	7017.37
4155	0.26603	24599.4	4919.88
4156	0.44634	41273.6	13757.9
4157	0.03762	3479.06	3479.06
4158	0.14265	13190.7	4396.89
4159	0.12861	11892.9	5946.44
4160	0.12972	11995.2	3998.41
4161	0.10821	10006	3335.35
4162	0.14575	13477.9	6738.93
4163	0.16448	15209.7	5069.89
4164	0.27582	25505	8501.66
4165	0.31452	29084	9694.68
4166	0.17480	16164.2	5388.06
4167	0.38689	35775.4	8943.84
4168	0.40707	37642.3	7528.46
4169	0.38334	35447.1	17723.6
4170	0.08706	8050.57	4025.28
4171	0.43038	39797	6632.84
4172	0.11445	10583.5	5291.75
4173	0.23718	21932	7310.67
4174	0.04031	3727.78	3727.78
4175	0.30903	28576.4	7144.1
4176	0.32626	30168.9	7542.23
4177	0.12484	11543.8	5771.89
4178	0.25741	23802.5	7934.15
4179	0.11927	11029.3	5514.67
4180	0.30467	28173.1	9391.04
4181	0.17746	16409.6	5469.85
4182	0.12711	11753.9	3917.96
4183	0.17412	16100.8	8050.4
4184	0.22755	21041.8	5260.44
4185	0.18468	17077.5	5692.49
4186	0.09513	8796.84	4398.42
4187	0.16965	15687.8	7843.89
4188	0.34070	31504.8	15752.4
4189	0.33732	31192.2	15596.1
4190	0.13157	12166.5	12166.5
4191	0.03995	3694.58	3694.58
4192	0.40554	37500.8	6250.13
4193	0.11303	10452.1	5226.05
4194	0.05222	4828.42	4828.42
4195	0.26079	24115.3	4823.06
4196	0.25515	23594	4718.8
4197	0.38267	35385.4	5897.56
4198	0.09776	9039.88	4519.94
4199	0.58104	53729.3	13432.3
4200	0.19480	18013.4	4503.34
