#IID	F_ROH	ROH_length_kB	KBAVG
2551	0.07525	6889.64	3444.82
2552	0.14482	13259	6629.5
2553	0.07686	7037.21	7037.21
2554	0.27060	24774.3	6193.58
2555	0.43546	39868.3	9967.07
2556	0.31139	28509.5	14254.8
2557	0.09700	8881.09	8881.09
2558	0.22867	20936.1	5234.03
2559	0.26402	24171.8	6042.96
2560	0.22698	20781.1	6927.03
2561	0.48357	44273.1	14757.7
2562	0.21155	19368.4	4842.11
2563	0.05249	4805.26	4805.26
2564	0.21220	19428	6476
2565	0.18567	16998.9	4249.73
2566	0.12816	11733.6	3911.2
2567	0.23075	21126.2	4225.25
2568	0.22039	20177.3	6725.77
2569	0.23219	21257.8	5314.44
2570	0.84653	77503.6	38751.8
2571	0.11788	10792.4	10792.4
2572	0.20854	19093	6364.32
2573	0.21421	19611.7	6537.25
2574	0.09781	8954.71	4477.36
2575	0.40394	36982.1	6163.69
2576	0.21274	19477.5	4869.37
2577	0.31079	28453.7	5690.73
2578	0.34396	31490.9	7872.72
2579	0.24451	22386.3	5596.57
2580	0.18798	17210.7	5736.89
2581	0.00000	0	0
2582	0.31868	29176.2	5835.25
2583	0.14553	13324.1	6662.03
2584	0.26264	24045.5	8015.15
2585	0.29267	26795	6698.75
2586	0.16584	15183.8	5061.28
2587	0.28375	25978.7	6494.68
2588	0.21532	19713.8	3942.77
2589	0.11956	10945.8	5472.89
2590	0.09212	8434.14	4217.07
2591	0.07069	6471.85	6471.85
2592	0.14468	13246.3	6623.13
2593	0.32451	29710.1	4244.3
2594	0.26491	24253.8	6063.45
2595	0.09695	8875.8	4437.9
2596	0.27441	25123.5	5024.7
2597	0.26599	24352.8	6088.21
2598	0.16317	14939	7469.49
2599	0.14594	13361.7	6680.84
2600	0.06330	5795.49	5795.49
