#IID	F_ROH	ROH_length_kB	KBAVG
4551	0.26832	24791.6	8263.86
4552	0.28483	26316.9	8772.31
4553	0.32995	30486.2	6097.24
4554	0.15703	14508.7	4836.22
4555	0.22325	20627.5	5156.87
4556	0.35551	32847.8	5474.63
4557	0.25102	23192.6	4638.53
4558	0.29412	27175	6793.75
4559	0.18139	16759.2	5586.39
4560	0.41522	38364.5	5480.64
4561	0.34614	31982.1	5330.36
4562	0.16571	15310.9	5103.65
4563	0.20696	19122.2	4780.55
4564	0.21792	20135.2	4027.05
4565	0.34974	32313.9	6462.79
4566	0.30787	28445.5	5689.1
4567	0.26454	24442.1	8147.36
4568	0.44966	41546.8	10386.7
4569	0.27053	24995.3	4999.07
4570	0.33450	30906.3	5151.06
4571	0.29867	27595.4	4599.24
4572	0.26346	24342.8	6085.69
4573	0.29753	27490.8	6872.71
4574	0.31918	29491.1	5898.23
4575	0.19352	17879.9	3575.98
4576	0.30576	28250.9	4708.48
4577	0.39267	36280.4	7256.08
4578	0.24946	23048.9	4609.78
4579	0.54937	50759.5	7251.35
4580	0.33821	31249.4	7812.34
4581	0.76110	70322.4	23440.8
4582	0.51026	47145.8	6735.11
4583	0.24119	22285.1	5571.28
4584	0.21011	19413.1	4853.28
4585	0.29013	26807	4467.84
4586	0.24780	22895.7	7631.89
4587	0.49529	45762.6	7627.09
4588	0.19699	18201.2	6067.06
4589	0.49309	45559.2	6508.46
4590	0.19682	18185	6061.67
4591	0.30797	28454.5	5690.89
4592	0.47509	43896.4	14632.1
4593	0.68895	63655.3	12731.1
4594	0.33627	31069.7	10356.6
4595	0.31616	29211.4	5842.27
4596	0.23902	22084.7	4416.93
4597	0.47275	43679.8	7279.97
4598	0.10494	9696.34	9696.34
4599	0.29789	27523.6	9174.54
4600	0.29806	27539	4589.83
