#IID	F_ROH	ROH_length_kB	KBAVG
418	0.34748	762268	8285.53
419	0.32659	716450	8631.93
420	0.22580	495345	6976.69
421	0.33121	726571	7413.99
422	0.24360	534379	7421.93
423	0.37181	815651	8770.44
424	0.22006	482737	6704.67
425	0.27125	595053	8264.62
426	0.30472	668461	10781.6
427	0.25730	564452	6968.54
428	0.26877	589600	7103.62
429	0.28403	623088	7788.6
430	0.28662	628763	7667.84
431	0.22442	492304	7032.91
432	0.31245	685433	8258.23
433	0.31747	696441	7914.11
434	0.19167	420458	6892.76
435	0.33707	739423	8402.53
436	0.22000	482613	6894.47
437	0.35106	770115	8751.31
438	0.30126	660886	7262.48
439	0.31489	690779	8528.13
440	0.29346	643770	7663.93
441	0.25887	567883	7887.27
442	0.21879	479966	6153.41
443	0.27282	598479	7979.73
444	0.24469	536769	6169.76
445	0.25481	558978	7354.98
446	0.25271	554382	8034.52
447	0.26733	586435	7423.22
448	0.31040	680934	7917.84
449	0.35427	777168	8732.23
450	0.21224	465590	6291.76
451	0.21401	469486	7113.43
452	0.21500	471641	7731.83
453	0.24362	534427	7125.69
454	0.29876	655397	8192.46
455	0.27826	610425	7266.96
456	0.23712	520178	7881.48
457	0.26834	588658	7745.51
458	0.23429	513967	6852.89
459	0.34869	764932	9561.65
460	0.26944	591068	7208.14
461	0.28572	626781	7738.04
462	0.23701	519932	8386.01
463	0.25881	567752	8349.3
464	0.26242	575681	8108.18
465	0.28020	614687	7880.6
466	0.31960	701102	7538.73
467	0.36372	797907	9498.89
468	0.24663	541031	7026.37
469	0.22995	504438	6725.85
470	0.29788	653458	7425.66
471	0.30283	664325	7815.59
472	0.23923	524806	7605.88
473	0.25575	561044	7101.82
474	0.21507	471811	6375.82
475	0.37731	827701	8621.89
476	0.24586	539347	7096.67
477	0.22923	502872	7082.71
478	0.29197	640493	7810.89
479	0.30138	661136	7599.27
480	0.29370	644297	8825.99
481	0.22555	494785	7276.26
482	0.24554	538648	7378.74
483	0.32511	713189	7587.12
484	0.33401	732731	8828.09
485	0.24679	541389	6602.3
486	0.32872	721112	9245.03
487	0.26834	588669	8291.11
488	0.22481	493170	7252.49
489	0.34856	764641	8995.78
490	0.29549	648229	7809.99
491	0.23134	507502	6590.93
492	0.23344	512106	7015.14
493	0.38296	840105	9131.58
494	0.28323	621335	7485.97
495	0.23620	518153	7002.07
496	0.24562	538823	7281.39
497	0.21307	467408	6677.26
498	0.30772	675039	7418.02
499	0.23563	516910	6627.06
500	0.26898	590073	7375.91
501	0.29592	649152	8430.55
502	0.31042	680969	8106.78
503	0.29585	649018	9014.14
504	0.22680	497524	7425.74
505	0.24770	543378	6966.39
506	0.25372	556592	7323.57
507	0.19819	434763	6488.99
508	0.26696	585642	7808.55
509	0.19646	430976	6734
510	0.31524	691540	8753.68
511	0.32606	715287	8941.09
512	0.22197	486946	7377.97
513	0.34514	757132	8803.86
514	0.26267	576212	6859.67
515	0.23309	511330	7201.83
516	0.27436	601856	8024.74
517	0.20864	457700	6730.89
518	0.32429	711405	7732.66
519	0.21279	466791	6394.39
520	0.23315	511467	6819.55
521	0.25175	552269	7172.32
522	0.25206	552940	6826.42
523	0.27130	595149	7729.21
524	0.43863	962237	10811.7
525	0.32849	720603	7748.42
526	0.24097	528617	7143.48
527	0.21836	479019	6386.92
528	0.28085	616100	8214.66
529	0.36522	801179	8092.71
530	0.19172	420568	7009.47
531	0.25187	552535	7466.69
532	0.19818	434750	6123.23
533	0.21983	482249	7197.75
534	0.26829	588558	6613.01
535	0.24122	529163	7150.85
536	0.35544	779736	9066.7
537	0.29551	648262	8418.99
538	0.33378	732222	8135.8
539	0.23319	511547	7007.5
540	0.24353	534231	7029.36
541	0.33046	724933	8237.88
542	0.27701	607677	7692.11
543	0.26585	583195	7112.13
544	0.31859	698905	8628.45
545	0.22657	497037	7418.46
546	0.36684	804742	9249.91
547	0.25565	560824	7477.65
548	0.22123	485308	7703.3
549	0.27471	602635	7174.22
550	0.35267	773659	7584.9
551	0.27746	608674	8225.33
552	0.30619	671695	7902.3
553	0.33767	740755	7797.42
554	0.19032	417512	7455.57
555	0.21263	466458	6760.26
556	0.27174	596115	8766.39
557	0.21408	469639	7009.53
558	0.18729	410859	6626.76
559	0.26226	575325	7570.07
560	0.25031	549109	8075.13
561	0.31318	687027	7719.4
562	0.27635	606242	8660.61
563	0.28031	614926	6683.98
564	0.33793	741313	9152.02
565	0.22329	489830	6619.33
566	0.24643	540595	6757.43
567	0.48774	1.06997e+06	14657.1
568	0.23830	522771	8168.29
569	0.32962	723085	8034.28
570	0.29235	641339	7634.98
571	0.29214	640876	8432.58
572	0.23500	515518	8054.96
573	0.26501	581364	7177.34
574	0.40322	884546	9938.71
575	0.38873	852771	8613.85
576	0.22751	499100	6567.11
577	0.30267	663960	7904.29
578	0.22581	495351	7076.44
579	0.24491	537259	7900.86
580	0.28673	629010	8276.44
581	0.35308	774565	7985.21
582	0.22036	483413	6905.9
583	0.25374	556631	7730.98
584	0.20133	441658	7240.29
585	0.19382	425180	6643.43
586	0.22349	490266	6809.25
587	0.21016	461033	6586.18
588	0.24697	541773	7524.62
589	0.26018	570763	7224.85
590	0.25429	557833	7538.29
591	0.25890	567948	6528.14
592	0.27858	611127	8148.36
593	0.26858	589185	7458.04
594	0.27448	602129	7083.88
595	0.34532	757533	9967.54
596	0.26605	583638	7887.01
597	0.32451	711890	9751.91
598	0.33188	728038	8667.12
599	0.28695	629487	8393.16
600	0.25649	562657	8154.46
601	0.31304	686718	7630.2
602	0.38314	840502	9135.89
603	0.26213	575044	7770.86
604	0.25156	551849	7074.99
605	0.39250	861039	8969.15
606	0.28063	615630	7892.7
607	0.16559	363264	7413.54
608	0.29021	636636	7763.86
609	0.36243	795075	9245.06
610	0.29026	636756	8060.2
611	0.22636	496564	7639.45
612	0.33100	726109	8542.46
613	0.27658	606735	8089.8
614	0.32266	707817	7149.66
615	0.21879	479963	6955.98
616	0.21447	470476	6534.39
617	0.28947	635008	8246.86
618	0.25287	554717	7298.91
619	0.28935	634755	8577.77
620	0.32797	719461	8269.67
621	0.28252	619774	7945.82
622	0.22174	486435	7153.46
623	0.24149	529763	6970.57
624	0.22448	492441	7136.83
625	0.25674	563223	8282.69
626	0.30232	663210	7368.99
627	0.33697	739205	8034.84
628	0.20760	455415	6505.92
629	0.28675	629050	8617.12
630	0.29202	640617	8319.7
631	0.23360	512456	6832.74
632	0.23410	513556	6669.56
633	0.21424	469977	7230.41
634	0.26589	583276	7027.42
635	0.27495	603150	8150.68
636	0.29093	638223	7421.2
637	0.35680	782712	8416.26
638	0.25444	558159	8208.22
639	0.31696	695312	7396.93
640	0.23631	518392	6561.92
641	0.19617	430341	5976.96
642	0.23168	508237	7365.75
643	0.34263	751639	8445.38
644	0.23169	508265	6687.7
645	0.29804	653810	7877.23
646	0.29712	651788	8250.48
647	0.19218	421590	7145.58
648	0.22150	485911	6566.36
649	0.23495	515408	6693.61
650	0.29421	645411	7593.07
651	0.27187	596402	7273.19
652	0.33254	729496	7929.31
653	0.39461	865669	9837.15
654	0.31385	688497	8715.16
655	0.27633	606184	7303.42
656	0.22428	492005	7454.62
657	0.20540	450583	6346.24
658	0.29190	640354	7194.99
659	0.37422	820929	8209.29
660	0.21619	474251	6323.34
661	0.24409	535465	6610.68
662	0.25050	549535	8202.02
663	0.26355	578158	7919.97
664	0.22256	488238	6876.6
665	0.22061	483953	7445.44
666	0.24514	537756	6983.85
667	0.21616	474199	6408.09
668	0.33547	735934	7999.29
669	0.34906	765732	8233.68
670	0.31641	694117	8898.93
