#IID	F_ROH	ROH_length_kB	KBAVG
2551	0.23083	21678.3	5419.58
2552	0.38184	35860.2	8965.04
2553	0.49064	46077.4	11519.3
2554	0.26739	25111.9	12556
2555	0.52366	49178.4	12294.6
2556	0.27146	25494.2	6373.54
2557	0.35523	33361.4	8340.34
2558	0.30015	28188.2	7047.04
2559	0.36752	34515.5	11505.2
2560	0.19656	18459.5	4614.88
2561	0.53199	49960.9	12490.2
2562	0.61139	57417.8	9569.64
2563	0.20632	19376	4844
2564	0.44064	41381.8	10345.5
2565	0.29043	27275.7	5455.13
2566	0.32068	30116.7	7529.17
2567	0.23392	21968.7	5492.18
2568	0.20385	19143.9	4785.97
2569	0.39455	37053.9	9263.47
2570	0.25121	23592.1	11796.1
2571	0.17126	16084.1	5361.38
2572	0.32167	30208.8	10069.6
2573	0.34049	31976.5	6395.3
2574	0.17601	16529.7	8264.84
2575	0.12807	12027.7	4009.24
2576	0.21126	19839.8	9919.92
2577	0.05346	5020.64	5020.64
2578	0.18849	17701.8	5900.59
2579	0.28394	26666.3	6666.57
2580	0.28224	26506.2	8835.39
2581	0.43001	40383.6	40383.6
2582	0.15701	14745	7372.48
2583	0.16645	15632.4	5210.81
2584	0.40949	38456.8	9614.2
2585	0.35689	33516.4	6703.29
2586	0.25589	24031.3	4806.27
2587	0.26154	24561.8	6140.45
2588	0.31708	29778.2	7444.56
2589	0.30629	28764.9	9588.3
2590	0.31385	29475.2	7368.79
2591	0.24836	23324.3	7774.77
2592	0.12121	11383.6	5691.8
2593	0.21491	20183.2	6727.73
2594	0.55665	52277	17425.7
2595	0.17293	16240.8	5413.58
2596	0.29245	27465	6866.24
2597	0.37851	35546.9	8886.73
2598	0.22463	21096.2	7032.06
2599	0.34468	32370.5	8092.64
2600	0.39664	37250.2	9312.56
