#IID	F_ROH	ROH_length_kB	KBAVG
2551	0.26367	24772.6	6193.15
2552	0.17633	16567.3	8283.63
2553	0.24891	23386.3	4677.26
2554	0.24174	22712	11356
2555	0.13435	12622.4	6311.2
2556	0.08455	7944.16	3972.08
2557	0.19252	18087.7	9043.87
2558	0.10902	10242.9	3414.3
2559	0.24901	23395.5	4679.1
2560	0.30694	28837.9	4806.32
2561	0.15840	14882.7	4960.89
2562	0.23754	22318.2	7439.4
2563	0.17865	16784.9	5594.96
2564	0.26712	25096.8	6274.21
2565	0.11896	11177.2	5588.61
2566	0.22141	20802.4	5200.61
2567	0.20339	19109.3	9554.63
2568	0.15827	14870.4	7435.2
2569	0.13142	12347	6173.52
2570	0.04481	4210.32	4210.32
2571	0.15078	14165.9	4721.97
2572	0.11479	10785.3	5392.65
2573	0.10113	9501.09	4750.54
2574	0.28899	27151.6	5430.31
2575	0.29029	27273.7	9091.23
2576	0.05880	5524.42	5524.42
2577	0.44877	42163.4	10540.9
2578	0.12143	11408.6	11408.6
2579	0.29360	27584.6	6896.15
2580	0.15631	14685.5	7342.75
2581	0.18737	17603.7	5867.9
2582	0.15084	14172.2	4724.06
2583	0.00000	0	0
2584	0.15956	14991.1	4997.02
2585	0.11169	10493.5	5246.76
2586	0.31285	29393.2	7348.3
2587	0.20164	18944.8	6314.93
2588	0.29746	27947.1	5589.41
2589	0.29266	27496.7	27496.7
2590	0.15842	14884.2	14884.2
2591	0.05775	5425.53	5425.53
2592	0.25982	24411.3	4882.26
2593	0.16290	15305.5	7652.77
2594	0.05021	4717.8	4717.8
2595	0.29470	27688.6	6922.14
2596	0.12538	11779.8	5889.89
2597	0.17703	16632.2	5544.07
2598	0.23302	21893.3	7297.77
2599	0.22555	21191.2	5297.79
2600	0.22079	20744.1	6914.71
