Simulation	Fifth_Percentile
Simulation 2	0.1302
Simulation 18	0.141666666666667
Simulation 4	0.14539
Simulation 1	0.1638
Simulation 11	0.1638
Simulation 16	0.165042
Simulation 13	0.16986375
Simulation 19	0.17028
Simulation 10	0.17078
Simulation 17	0.1715
Simulation 14	0.171515
Simulation 12	0.18
Simulation 8	0.186628333333333
Simulation 5	0.188239285714286
Simulation 20	0.18945
Simulation 15	0.19149
Simulation 7	0.1921625
Simulation 9	0.200666666666667
Simulation 6	0.2022475
Simulation 3	0.237091428571429
