Simulation	Fifth_Percentile
Simulation 16	0.129804
Simulation 3	0.1302
Simulation 13	0.135702083333333
Simulation 20	0.14676
Simulation 15	0.1472
Simulation 14	0.1494825
Simulation 5	0.151662380952381
Simulation 6	0.152469166666667
Simulation 4	0.158112
Simulation 19	0.16212
Simulation 2	0.1638
Simulation 7	0.1638
Simulation 8	0.1638
Simulation 10	0.1638
Simulation 11	0.1638
Simulation 17	0.173823333333333
Simulation 1	0.178753333333333
Simulation 9	0.185522666666667
Simulation 18	0.1880775
Simulation 12	0.19554
