#IID	F_ROH	ROH_length_kB	KBAVG
2551	0.13822	12777	4258.99
2552	0.05109	4723.13	4723.13
2553	0.40205	37165.3	9291.33
2554	0.12981	12000	6000
2555	0.27408	25335.9	5067.17
2556	0.42608	39387.3	9846.82
2557	0.12531	11583.5	3861.18
2558	0.53956	49876.8	12469.2
2559	0.30489	28184.2	5636.84
2560	0.19571	18091.5	6030.49
2561	0.25008	23117.9	5779.48
2562	0.11559	10685.1	5342.57
2563	0.21326	19713.9	6571.31
2564	0.41766	38608.7	9652.18
2565	0.46071	42588	14196
2566	0.36979	34183.7	6836.75
2567	0.24350	22509	5627.24
2568	0.11106	10266.2	5133.08
2569	0.18121	16751.4	8375.7
2570	0.28341	26198.9	8732.98
2571	0.17824	16476.5	16476.5
2572	0.45744	42286.1	8457.22
2573	0.19990	18479.1	6159.69
2574	0.12120	11204.1	3734.68
2575	0.19912	18406.7	6135.55
2576	0.25269	23358.7	5839.67
2577	0.00000	0	0
2578	0.38095	35215	11738.3
2579	0.13206	12207.6	6103.8
2580	0.38027	35151.9	17575.9
2581	0.61733	57065.9	9510.98
2582	0.38619	35699.4	11899.8
2583	0.31745	29345.2	7336.29
2584	0.18810	17388.2	4347.06
2585	0.05820	5380.07	5380.07
2586	0.35014	32367.5	10789.2
2587	0.38180	35293.3	8823.32
2588	0.31950	29534.3	7383.58
2589	0.44795	41408.8	8281.76
2590	0.31477	29097.4	7274.35
2591	0.08643	7989.32	3994.66
2592	0.16167	14944.6	7472.32
2593	0.00000	0	0
2594	0.47946	44321.1	8864.22
2595	0.25311	23397.8	11698.9
2596	0.36411	33658.9	8414.72
2597	0.16867	15592.3	5197.43
2598	0.12280	11352.1	3784.03
2599	0.24014	22198.7	7399.56
2600	0.21338	19724.7	9862.36
