#IID	F_ROH	ROH_length_kB	KBAVG
39731	0.21367	19743.5	6581.16
39732	0.16368	15124.6	5041.53
39733	0.12688	11724.1	5862.07
39734	0.18308	16916.9	5638.98
39735	0.28718	26535.9	5307.17
39736	0.16536	15279.9	7639.96
39737	0.12217	11288.6	3762.88
39738	0.13997	12933.8	4311.26
39739	0.23522	21734.8	4346.96
39740	0.15531	14351	4783.67
39741	0.48606	44912.5	11228.1
39742	0.25490	23553.4	5888.35
39743	0.00000	0	0
39744	0.16053	14833.4	4944.47
39745	0.25992	24017.4	6004.36
39746	0.15851	14646.9	7323.43
39747	0.25635	23687.6	4737.52
39748	0.28977	26775	8924.99
39749	0.22805	21072.4	7024.12
39750	0.29412	27177.2	13588.6
39751	0.26337	24336.2	4867.24
39752	0.15997	14781.9	14781.9
39753	0.14834	13706.5	13706.5
39754	0.10879	10052.1	5026.04
39755	0.65092	60146.3	15036.6
39756	0.26449	24439.6	8146.53
39757	0.36089	33346.5	8336.63
39758	0.25370	23442.4	4688.47
39759	0.31770	29356.1	7339.03
39760	0.10961	10128.6	5064.32
39761	0.11234	10380.3	10380.3
39762	0.29927	27653.4	5530.67
39763	0.04846	4477.64	4477.64
39764	0.03150	2910.22	2910.22
39765	0.11578	10698.4	5349.18
39766	0.79654	73602.1	36801
39767	0.15879	14672.3	4890.78
39768	0.04641	4288.69	4288.69
39769	0.24632	22760	5690
39770	0.10903	10075	5037.49
39771	0.04186	3867.7	3867.7
39772	0.32558	30083.8	10027.9
39773	0.21670	20023.2	4004.65
39774	0.23600	21806.9	5451.73
39775	0.16770	15496	7748.01
39776	0.00000	0	0
39777	0.19076	17626.7	8813.33
39778	0.10867	10041.4	5020.72
39779	0.00000	0	0
39780	0.04016	3711.02	3711.02
39781	0.25093	23186.7	7728.91
39782	0.30572	28249.1	5649.82
39783	0.11537	10660.7	5330.34
39784	0.00000	0	0
39785	0.29042	26835.7	6708.92
39786	0.16753	15480.1	5160.02
39787	0.37591	34734.7	8683.68
39788	0.23200	21437.3	7145.77
39789	0.13487	12461.9	6230.96
39790	0.12698	11733.5	5866.75
39791	0.24616	22745.5	4549.1
39792	0.43149	39870.6	7974.12
39793	0.16210	14978	4992.65
39794	0.20412	18861.1	6287.03
39795	0.35485	32789.1	10929.7
39796	0.18977	17534.7	5844.91
39797	0.08767	8101.02	8101.02
39798	0.22466	20758.6	6919.52
39799	0.20093	18565.9	4641.47
39800	0.24437	22580.7	7526.91
