Simulation	Fifth_Percentile
Simulation 6	0.0419415102
Simulation 13	0.0419415102
Simulation 1	0.0555075102
Simulation 3	0.0555075102
Simulation 10	0.0555075102
Simulation 11	0.0555075102
Simulation 14	0.0555075102
Simulation 4	0.0688695918
Simulation 5	0.0688695918
Simulation 18	0.0688695918
Simulation 2	0.0820460408
Simulation 16	0.0820460408
Simulation 17	0.0820460408
Simulation 19	0.0820460408
Simulation 20	0.0820460408
Simulation 15	0.090995225304
Simulation 7	0.095
Simulation 9	0.095
Simulation 12	0.095
Simulation 8	0.0960625034
