Simulation	Fifth_Percentile
Simulation 12	0.0281715918
Simulation 10	0.0419415102
Simulation 1	0.0555075102
Simulation 2	0.0555075102
Simulation 3	0.0555075102
Simulation 11	0.0555075102
Simulation 15	0.06823344895
Simulation 8	0.0688695918
Simulation 14	0.0688695918
Simulation 17	0.0688695918
Simulation 19	0.0688695918
Simulation 7	0.080556351
Simulation 6	0.0812656959
Simulation 9	0.0820460408
Simulation 13	0.0820460408
Simulation 18	0.0820460408
Simulation 4	0.095
Simulation 5	0.095
Simulation 16	0.095
Simulation 20	0.095
