#IID	F_ROH	ROH_length_kB	KBAVG
11076	0.27230	25176.5	3596.65
11077	0.23626	21844.5	2427.17
11078	0.20715	19152.9	2736.13
11079	0.27242	25187.3	2798.59
11080	0.64674	59796.4	8542.35
11081	0.15732	14546	2909.21
11082	0.20053	18540.9	3090.16
11083	0.25815	23867.8	2386.78
11084	0.23366	21603.4	2160.34
11085	0.28935	26753.3	2432.12
11086	0.22278	20598.3	2059.83
11087	0.27387	25321.9	2532.19
11088	0.21721	20083.2	2231.47
11089	0.17698	16363.1	2337.59
11090	0.17295	15990.3	2665.05
11091	0.18342	16959	2826.5
11092	0.27416	25348.3	4224.71
11093	0.12342	11411.4	2852.86
11094	0.19259	17806.4	2967.73
11095	0.20014	18504.8	1850.48
11096	0.16189	14968.3	1871.04
11097	0.22607	20902.3	2986.04
11098	0.19288	17833	2547.58
11099	0.30691	28376	2837.6
11100	0.28388	26246.9	2386.08
11101	0.15066	13929.7	2321.61
11102	0.10922	10098.6	1683.1
11103	0.21765	20123.4	3353.89
11104	0.22811	21090.3	2109.03
11105	0.24415	22574.1	3762.36
11106	0.17695	16360.4	3272.09
11107	0.11269	10419.3	2604.82
11108	0.20526	18977.9	2711.13
11109	0.16470	15227.8	2175.4
11110	0.16303	15073.7	1884.22
11111	0.13502	12483.9	2496.78
11112	0.32224	29794.2	2482.85
11113	0.16774	15508.7	2584.78
11114	0.18861	17438.4	2906.39
11115	0.18455	17063.1	2843.85
11116	0.18506	17110.2	2138.78
11117	0.26119	24149.1	2683.23
11118	0.14393	13307.7	2217.96
11119	0.40259	37222.5	2658.75
11120	0.21384	19771	2196.78
11121	0.33264	30755	3417.23
11122	0.28244	26114.4	4352.4
11123	0.13320	12315	1759.28
11124	0.23473	21703	2170.3
11125	0.27325	25264.4	2807.15
11126	0.21679	20043.8	2505.48
11127	0.13840	12796.1	2559.22
11128	0.16208	14985.2	3746.31
11129	0.14874	13752.3	1964.61
11130	0.04082	3773.88	1886.94
11131	0.22975	21242.3	2655.29
11132	0.29456	27234.4	3404.3
11133	0.21926	20272.3	2534.04
11134	0.22374	20687	2585.87
11135	0.06471	5983	1495.75
11136	0.23163	21416	2141.6
11137	0.19126	17683.7	2947.28
11138	0.09010	8330.33	2082.58
11139	0.20772	19205.6	4801.39
11140	0.41659	38517	4279.66
11141	0.29341	27128.6	2712.86
11142	0.22787	21068.8	3009.83
11143	0.10433	9646.56	2411.64
11144	0.25303	23394.3	2126.76
11145	0.24707	22844.1	2284.41
11146	0.20319	18786.2	2683.75
11147	0.10050	9292.01	1858.4
11148	0.17457	16140.8	2017.6
11149	0.14315	13235.1	2647.03
11150	0.35802	33102.4	3009.31
11151	0.19326	17868.8	2552.68
11152	0.18092	16728	1672.8
11153	0.32443	29996.7	2499.73
11154	0.24981	23096.7	2309.67
11155	0.09435	8723.34	2180.84
11156	0.36732	33961.8	4245.23
11157	0.14191	13121.1	2624.22
11158	0.33271	30762.1	5127.01
11159	0.16326	15095	3019
11160	0.24063	22248.7	2022.61
11161	0.07755	7169.96	3584.98
11162	0.29167	26967.3	3852.47
11163	0.15512	14342.6	2048.95
11164	0.20475	18930.8	2704.39
11165	0.12737	11776.8	1682.4
11166	0.23163	21416	2379.56
11167	0.49642	45897.9	4589.79
11168	0.12076	11165.5	1595.07
11169	0.20591	19037.7	2719.68
11170	0.15549	14376	1597.34
11171	0.17099	15809.3	2258.47
11172	0.21293	19687.2	2460.9
11173	0.15013	13880.6	1982.94
11174	0.15084	13946.7	1743.34
11175	0.19888	18387.8	2626.82
11176	0.22802	21082.7	3513.78
11177	0.25078	23186.3	2318.63
11178	0.25268	23362.1	2336.21
11179	0.21842	20194.9	3365.81
11180	0.25194	23294	2588.22
11181	0.26785	24765.3	2476.53
11182	0.18761	17346.1	2168.26
11183	0.22613	20907.5	2986.78
11184	0.16126	14909.6	2484.93
11185	0.29649	27413.2	3426.65
11186	0.43862	40554.4	4506.04
11187	0.17474	16155.9	1795.1
11188	0.07993	7389.79	2463.26
11189	0.11273	10423.1	1737.18
11190	0.11175	10332.6	2066.52
11191	0.07242	6695.41	3347.71
11192	0.20518	18971	2710.15
11193	0.22136	20466.3	2274.03
11194	0.20440	18898.6	2699.8
11195	0.23944	22137.9	2459.76
11196	0.30926	28594.1	4084.88
11197	0.30282	27998.7	2545.34
11198	0.09239	8542.11	2135.53
11199	0.16184	14963.8	1870.47
11200	0.32688	30223.2	3358.14
11201	0.18419	17030.3	2432.91
11202	0.33985	31421.6	2856.51
11203	0.29992	27730.3	3466.29
11204	0.22292	20611.1	2061.11
11205	0.45721	42272.5	3019.46
11206	0.20995	19411.7	2773.1
11207	0.11744	10858.1	2171.61
11208	0.22239	20561.6	2570.19
11209	0.23188	21439.2	3062.74
11210	0.14043	12984.3	2164.06
11211	0.18022	16662.8	2380.4
11212	0.14457	13366.7	2227.78
11213	0.10516	9722.58	2430.64
11214	0.17038	15752.7	1969.09
11215	0.29950	27691.5	3076.84
11216	0.12605	11654.3	1942.38
11217	0.15498	14328.8	2046.97
11218	0.27430	25360.9	2113.41
11219	0.28021	25907.5	4317.92
11220	0.21446	19828.6	2832.65
11221	0.25023	23136.3	2313.63
11222	0.19740	18251	3041.83
11223	0.19857	18359.5	2294.94
11224	0.23932	22127	2765.88
11225	0.35915	33206.5	4743.78
11226	0.06667	6164.61	1541.15
11227	0.13433	12419.8	2069.96
11228	0.20960	19379.1	2768.44
11229	0.32151	29726.2	3302.91
11230	0.26736	24719.5	4119.91
11231	0.19244	17792.8	2541.83
11232	0.07366	6810.81	2270.27
11233	0.35477	32801.4	4685.91
11234	0.32822	30346.4	2758.76
11235	0.26415	24423.2	2442.32
11236	0.18997	17564.1	1951.57
11237	0.21490	19869.4	2483.68
11238	0.11343	10487.6	2097.52
11239	0.40512	37456.7	4682.09
11240	0.14959	13830.7	2766.15
11241	0.23331	21571.6	2396.85
11242	0.26725	24709.7	3088.71
11243	0.06445	5958.87	1986.29
11244	0.01511	1396.72	1396.72
11245	0.13849	12804.3	1829.19
11246	0.23775	21982.1	2442.46
11247	0.16096	14882.1	2126.01
11248	0.17312	16006.6	2286.66
11249	0.23030	21292.9	2129.29
11250	0.27233	25179.5	2517.95
11251	0.24151	22329.3	2481.04
11252	0.20685	19125.2	2732.17
11253	0.24930	23049.6	3292.8
11254	0.25992	24031.4	2670.16
11255	0.20727	19164.3	3194.04
11256	0.16570	15320.6	2553.43
11257	0.23423	21656.5	3609.41
11258	0.16411	15173.5	1685.94
11259	0.16477	15234	3046.8
11260	0.20036	18524.7	2646.39
11261	0.24071	22255.3	2472.81
11262	0.35991	33276.3	4159.53
11263	0.30843	28516.7	3168.53
11264	0.21776	20133.8	2876.26
11265	0.15855	14659.6	2931.91
11266	0.21994	20335.7	2541.96
11267	0.12094	11182.3	2795.57
11268	0.22716	21003.2	2333.69
11269	0.30325	28038	3504.75
11270	0.21020	19434.8	2429.35
11271	0.26591	24585.3	4097.55
11272	0.25905	23951.2	2661.25
11273	0.17936	16582.9	2763.81
11274	0.20705	19143.5	3190.59
11275	0.12868	11897.3	2379.47
11276	0.21706	20068.9	2866.98
11277	0.35839	33135.9	2761.33
11278	0.49734	45982.9	4180.26
11279	0.23526	21751.8	2718.98
11280	0.31594	29211.5	4173.07
11281	0.20655	19097.4	2728.21
11282	0.28166	26041.4	2604.14
11283	0.20527	18979.1	2372.39
11284	0.25578	23649.4	3941.56
11285	0.18152	16783.3	1864.81
11286	0.22015	20355.1	2907.88
11287	0.26226	24247.9	3463.99
11288	0.27953	25844.5	5168.9
11289	0.43173	39917	3326.42
11290	0.20119	18601.9	2325.24
11291	0.24003	22192.5	4438.51
11292	0.16022	14813.5	2116.21
11293	0.17741	16403	4100.75
11294	0.31979	29567.2	3285.24
11295	0.23989	22180.2	2772.52
11296	0.18932	17504	2500.58
11297	0.24005	22194.8	2219.48
11298	0.15991	14784.7	2112.1
11299	0.28569	26414.9	2934.99
11300	0.26495	24497.3	2449.73
11301	0.14673	13566.8	1695.86
11302	0.29176	26976.1	2452.37
