Simulation	Fifth_Percentile	Avg_H_e
Simulation 16	0.0293652516980357	0.176333531373289
Simulation 1	0.03012386701152	0.179810256451264
Simulation 15	0.0337600835991111	0.180974118058824
Simulation 14	0.0347669540666667	0.1763291350686
Simulation 13	0.0352888990457143	0.1769669283416
Simulation 11	0.03685297599	0.183079776733188
Simulation 20	0.0368953142857143	0.1857394990496
Simulation 9	0.0427519182074	0.188697041604566
Simulation 4	0.0438525469616364	0.18464514446091
Simulation 7	0.0449993790382222	0.182005201285286
Simulation 3	0.04565361373952	0.1891213927341
Simulation 17	0.0470617127940071	0.184493655436232
Simulation 18	0.0475371872	0.191194033673028
Simulation 2	0.0495961141688889	0.199007926552616
Simulation 8	0.0500505657	0.185466095991837
Simulation 19	0.0512012717753077	0.189234871438787
Simulation 5	0.0513927874887615	0.189983401217907
Simulation 10	0.0561308991102133	0.19853269798844
Simulation 6	0.06223961106	0.198926745197417
Simulation 12	0.0646023551366667	0.192239282460194
