CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	32	0.0864865
3	200001	32	0.0864865
3	300001	32	0.0864865
3	400001	32	0.0864865
3	500001	39	0.105405
3	600001	42	0.113514
3	700001	43	0.116216
3	800001	47	0.127027
3	900001	50	0.135135
3	1000001	51	0.137838
3	1100001	57	0.154054
3	1200001	57	0.154054
3	1300001	71	0.191892
3	1400001	71	0.191892
3	1500001	80	0.216216
3	1600001	82	0.221622
3	1700001	81	0.218919
3	1800001	84	0.227027
3	1900001	85	0.22973
3	2000001	82	0.221622
3	2100001	88	0.237838
3	2200001	94	0.254054
3	2300001	93	0.251351
3	2400001	94	0.254054
3	2500001	100	0.27027
3	2600001	98	0.264865
3	2700001	82	0.221622
3	2800001	82	0.221622
3	2900001	83	0.224324
3	3000001	85	0.22973
3	3100001	88	0.237838
3	3200001	94	0.254054
3	3300001	83	0.224324
3	3400001	83	0.224324
3	3500001	77	0.208108
3	3600001	72	0.194595
3	3700001	77	0.208108
3	3800001	78	0.210811
3	3900001	78	0.210811
3	4000001	68	0.183784
3	4100001	77	0.208108
3	4200001	71	0.191892
3	4300001	70	0.189189
3	4400001	61	0.164865
3	4500001	52	0.140541
3	4600001	52	0.140541
3	4700001	59	0.159459
3	4800001	61	0.164865
3	4900001	69	0.186486
3	5000001	74	0.2
3	5100001	73	0.197297
3	5200001	70	0.189189
3	5300001	77	0.208108
3	5400001	69	0.186486
3	5500001	68	0.183784
3	5600001	68	0.183784
3	5700001	67	0.181081
3	5800001	72	0.194595
3	5900001	70	0.189189
3	6000001	67	0.181081
3	6100001	70	0.189189
3	6200001	76	0.205405
3	6300001	76	0.205405
3	6400001	74	0.2
3	6500001	74	0.2
3	6600001	69	0.186486
3	6700001	69	0.186486
3	6800001	71	0.191892
3	6900001	73	0.197297
3	7000001	71	0.191892
3	7100001	73	0.197297
3	7200001	83	0.224324
3	7300001	72	0.194595
3	7400001	70	0.189189
3	7500001	73	0.197297
3	7600001	71	0.191892
3	7700001	66	0.178378
3	7800001	68	0.183784
3	7900001	67	0.181081
3	8000001	62	0.167568
3	8100001	64	0.172973
3	8200001	62	0.167568
3	8300001	60	0.162162
3	8400001	63	0.17027
3	8500001	53	0.143243
3	8600001	56	0.151351
3	8700001	61	0.164865
3	8800001	52	0.140541
3	8900001	60	0.162162
3	9000001	60	0.162162
3	9100001	63	0.17027
3	9200001	63	0.17027
3	9300001	54	0.145946
3	9400001	57	0.154054
3	9500001	69	0.186486
3	9600001	61	0.164865
3	9700001	61	0.164865
3	9800001	54	0.145946
3	9900001	44	0.118919
3	10000001	46	0.124324
3	10100001	43	0.116216
3	10200001	40	0.108108
3	10300001	40	0.108108
3	10400001	45	0.121622
3	10500001	44	0.118919
3	10600001	45	0.121622
3	10700001	47	0.127027
3	10800001	43	0.116216
3	10900001	35	0.0945946
3	11000001	46	0.124324
3	11100001	46	0.124324
3	11200001	49	0.132432
3	11300001	47	0.127027
3	11400001	47	0.127027
3	11500001	51	0.137838
3	11600001	58	0.156757
3	11700001	60	0.162162
3	11800001	64	0.172973
3	11900001	63	0.17027
3	12000001	53	0.143243
3	12100001	52	0.140541
3	12200001	53	0.143243
3	12300001	56	0.151351
3	12400001	53	0.143243
3	12500001	63	0.17027
3	12600001	56	0.151351
3	12700001	53	0.143243
3	12800001	55	0.148649
3	12900001	54	0.145946
3	13000001	55	0.148649
3	13100001	58	0.156757
3	13200001	58	0.156757
3	13300001	58	0.156757
3	13400001	55	0.148649
3	13500001	60	0.162162
3	13600001	51	0.137838
3	13700001	52	0.140541
3	13800001	48	0.12973
3	13900001	60	0.162162
3	14000001	59	0.159459
3	14100001	66	0.178378
3	14200001	64	0.172973
3	14300001	84	0.227027
3	14400001	79	0.213514
3	14500001	108	0.291892
3	14600001	106	0.286486
3	14700001	106	0.286486
3	14800001	105	0.283784
3	14900001	103	0.278378
3	15000001	104	0.281081
3	15100001	98	0.264865
3	15200001	97	0.262162
3	15300001	95	0.256757
3	15400001	123	0.332432
3	15500001	116	0.313514
3	15600001	115	0.310811
3	15700001	113	0.305405
3	15800001	102	0.275676
3	15900001	102	0.275676
3	16000001	108	0.291892
3	16100001	123	0.332432
3	16200001	119	0.321622
3	16300001	121	0.327027
3	16400001	122	0.32973
3	16500001	112	0.302703
3	16600001	111	0.3
3	16700001	110	0.297297
3	16800001	110	0.297297
3	16900001	127	0.343243
3	17000001	107	0.289189
3	17100001	107	0.289189
3	17200001	98	0.264865
3	17300001	95	0.256757
3	17400001	101	0.272973
3	17500001	97	0.262162
3	17600001	94	0.254054
3	17700001	93	0.251351
3	17800001	114	0.308108
3	17900001	112	0.302703
3	18000001	113	0.305405
3	18100001	118	0.318919
3	18200001	117	0.316216
3	18300001	99	0.267568
3	18400001	98	0.264865
3	18500001	99	0.267568
3	18600001	99	0.267568
3	18700001	104	0.281081
3	18800001	104	0.281081
3	18900001	91	0.245946
3	19000001	90	0.243243
3	19100001	95	0.256757
3	19200001	104	0.281081
3	19300001	105	0.283784
3	19400001	101	0.272973
3	19500001	87	0.235135
3	19600001	82	0.221622
3	19700001	92	0.248649
3	19800001	92	0.248649
3	19900001	96	0.259459
3	20000001	134	0.362162
3	20100001	134	0.362162
3	20200001	138	0.372973
3	20300001	138	0.372973
3	20400001	138	0.372973
3	20500001	127	0.343243
3	20600001	128	0.345946
3	20700001	128	0.345946
3	20800001	131	0.354054
3	20900001	115	0.310811
3	21000001	121	0.327027
3	21100001	120	0.324324
3	21200001	118	0.318919
3	21300001	118	0.318919
3	21400001	163	0.440541
3	21500001	167	0.451351
3	21600001	148	0.4
3	21700001	151	0.408108
3	21800001	153	0.413514
3	21900001	153	0.413514
3	22000001	149	0.402703
3	22100001	150	0.405405
3	22200001	151	0.408108
3	22300001	151	0.408108
3	22400001	157	0.424324
3	22500001	166	0.448649
3	22600001	165	0.445946
3	22700001	165	0.445946
3	22800001	116	0.313514
3	22900001	108	0.291892
3	23000001	110	0.297297
3	23100001	99	0.267568
3	23200001	96	0.259459
3	23300001	81	0.218919
3	23400001	84	0.227027
3	23500001	70	0.189189
3	23600001	70	0.189189
3	23700001	70	0.189189
3	23800001	57	0.154054
3	23900001	52	0.140541
3	24000001	63	0.17027
3	24100001	62	0.167568
3	24200001	65	0.175676
3	24300001	74	0.2
3	24400001	70	0.189189
3	24500001	70	0.189189
3	24600001	70	0.189189
3	24700001	112	0.302703
3	24800001	112	0.302703
3	24900001	116	0.313514
3	25000001	122	0.32973
3	25100001	116	0.313514
3	25200001	114	0.308108
3	25300001	118	0.318919
3	25400001	119	0.321622
3	25500001	138	0.372973
3	25600001	146	0.394595
3	25700001	164	0.443243
3	25800001	164	0.443243
3	25900001	164	0.443243
3	26000001	155	0.418919
3	26100001	154	0.416216
3	26200001	156	0.421622
3	26300001	157	0.424324
3	26400001	135	0.364865
3	26500001	139	0.375676
3	26600001	133	0.359459
3	26700001	99	0.267568
3	26800001	96	0.259459
3	26900001	96	0.259459
3	27000001	96	0.259459
