CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
15	17000001	127	0.572072	600	[17000001,17600000]
15	17600001	137	0.617117	400	[17600001,18000000]
15	18000001	141	0.635135	200	[18000001,18200000]
15	18200001	142	0.63964	100	[18200001,18300000]
15	18300001	140	0.630631	100	[18300001,18400000]
15	18400001	141	0.635135	300	[18400001,18700000]
15	17600000	127	0.572072	600	[17000001,17600000]
15	18000000	137	0.617117	400	[17600001,18000000]
15	18200000	141	0.635135	200	[18000001,18200000]
15	18300000	142	0.63964	100	[18200001,18300000]
15	18400000	140	0.630631	100	[18300001,18400000]
15	18700000	141	0.635135	300	[18400001,18700000]
