CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	9	0.045
3	200001	9	0.045
3	300001	9	0.045
3	400001	9	0.045
3	500001	9	0.045
3	600001	9	0.045
3	700001	9	0.045
3	800001	9	0.045
3	900001	11	0.055
3	1000001	12	0.06
3	1100001	13	0.065
3	1200001	14	0.07
3	1300001	14	0.07
3	1400001	19	0.095
3	1500001	18	0.09
3	1600001	27	0.135
3	1700001	32	0.16
3	1800001	32	0.16
3	1900001	32	0.16
3	2000001	32	0.16
3	2100001	32	0.16
3	2200001	32	0.16
3	2300001	32	0.16
3	2400001	31	0.155
3	2500001	30	0.15
3	2600001	29	0.145
3	2700001	29	0.145
3	2800001	28	0.14
3	2900001	11	0.055
3	3000001	11	0.055
3	3100001	12	0.06
3	3200001	19	0.095
3	3300001	18	0.09
3	3400001	17	0.085
3	3500001	18	0.09
3	3600001	26	0.13
3	3700001	25	0.125
3	3800001	25	0.125
3	3900001	25	0.125
3	4000001	25	0.125
3	4100001	27	0.135
3	4200001	27	0.135
3	4300001	27	0.135
3	4400001	16	0.08
3	4500001	19	0.095
3	4600001	21	0.105
3	4700001	21	0.105
3	4800001	21	0.105
3	4900001	23	0.115
3	5000001	23	0.115
3	5100001	23	0.115
3	5200001	22	0.11
3	5300001	21	0.105
3	5400001	21	0.105
3	5500001	25	0.125
3	5600001	26	0.13
3	5700001	28	0.14
3	5800001	30	0.15
3	5900001	30	0.15
3	6000001	30	0.15
3	6100001	28	0.14
3	6200001	23	0.115
3	6300001	23	0.115
3	6400001	23	0.115
3	6500001	22	0.11
3	6600001	25	0.125
3	6700001	25	0.125
3	6800001	27	0.135
3	6900001	25	0.125
3	7000001	21	0.105
3	7100001	19	0.095
3	7200001	19	0.095
3	7300001	18	0.09
3	7400001	32	0.16
3	7500001	32	0.16
3	7600001	31	0.155
3	7700001	31	0.155
3	7800001	31	0.155
3	7900001	33	0.165
3	8000001	33	0.165
3	8100001	32	0.16
3	8200001	32	0.16
3	8300001	32	0.16
3	8400001	31	0.155
3	8500001	21	0.105
3	8600001	22	0.11
3	8700001	22	0.11
3	8800001	22	0.11
3	8900001	20	0.1
3	9000001	20	0.1
3	9100001	20	0.1
3	9200001	19	0.095
3	9300001	17	0.085
3	9400001	17	0.085
3	9500001	16	0.08
3	9600001	13	0.065
3	9700001	14	0.07
3	9800001	14	0.07
3	9900001	13	0.065
3	10000001	14	0.07
3	10100001	17	0.085
3	10200001	18	0.09
3	10300001	22	0.11
3	10400001	22	0.11
3	10500001	25	0.125
3	10600001	25	0.125
3	10700001	25	0.125
3	10800001	27	0.135
3	10900001	27	0.135
3	11000001	28	0.14
3	11100001	25	0.125
3	11200001	25	0.125
3	11300001	21	0.105
3	11400001	22	0.11
3	11500001	25	0.125
3	11600001	27	0.135
3	11700001	27	0.135
3	11800001	25	0.125
3	11900001	24	0.12
3	12000001	23	0.115
3	12100001	24	0.12
3	12200001	25	0.125
