#Simulation name	Length (bp)
sim_10_selection_model_s04_chr3	7500000
sim_11_selection_model_s04_chr3	8400000
sim_12_selection_model_s04_chr3	2700000
sim_13_selection_model_s04_chr3	10400000
sim_14_selection_model_s04_chr3	1.1e+07
sim_15_selection_model_s04_chr3	7900000
sim_16_selection_model_s04_chr3	3600000
sim_17_selection_model_s04_chr3	7200000
sim_18_selection_model_s04_chr3	5100000
sim_19_selection_model_s04_chr3	2100000
sim_1_selection_model_s04_chr3	3200000
sim_20_selection_model_s04_chr3	1300000
sim_2_selection_model_s04_chr3	10100000
sim_3_selection_model_s04_chr3	5700000
sim_4_selection_model_s04_chr3	4900000
sim_5_selection_model_s04_chr3	6200000
sim_6_selection_model_s04_chr3	10600000
sim_7_selection_model_s04_chr3	6300000
sim_8_selection_model_s04_chr3	7700000
sim_9_selection_model_s04_chr3	17400000
