CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
,,,"Eyelid gland, third, prolapse of",Vision / eye phene,no,yes,,,https://www.omia.org/OMIA000359/9615/,,"VBO_0200038, VBO_0200204, VBO_0200485, VBO_0201455, VBO_0200623, VBO_0200712, VBO_0200824, VBO_0200930"
,,,Deficiency of cytosolic arylamine N-acetylation,Normal phene,yes,no,,,https://www.omia.org/OMIA001587/9615/,,
,,,Hydrops foetalis,Embryo phene,unknown,yes,,,https://www.omia.org/OMIA000493/9615/,,VBO_0201455
29,13302075,13283050,Ataxia with isolated vitamin E deficiency,Vision / eye phene,yes,yes,TTPA,alpha tocopherol transfer protein,https://www.omia.org/OMIA002922/9615/,https://www.omia.org/gene398298980/,VBO_0200486
,,,Hip dysplasia,Skeleton phene (incl. short stature & teeth),no,yes,,,https://www.omia.org/OMIA000473/9615/,,
18,6549500,6469626,Hyperbiliverdinaemia,Homeostasis / metabolism phene,yes,unknown,BLVRA,biliverdin reductase A,https://www.omia.org/OMIA002917/9615/,https://www.omia.org/gene398298978/,VBO_0200902
,,,"Height, IGF2BP2-associated body-size variation",Growth / size / body region phene,no,no,,,https://www.omia.org/OMIA002921/9615/,,
,,,"Carcinoma, gastric, susceptibility to",Neoplasm,no,yes,,,https://www.omia.org/OMIA002919/9615/,,"VBO_0200145, VBO_0200148, VBO_0200361"
,,,"Endometritis, susceptibility to",Reproductive system phene,no,yes,,,https://www.omia.org/OMIA002568/9615/,,
27,10688121,10851084,"Cleft lip with or without cleft palate, ADAMTS20-related",Craniofacial phene,yes,yes,ADAMTS20,"ADAM metallopeptidase with thrombospondin type 1 motif, 20",https://www.omia.org/OMIA001140/9615/,https://www.omia.org/gene388252259/,VBO_0200964
12,3313122,3382514,"Charcot-Marie-Tooth disease, ITPR3-related",Skeleton phene (incl. short stature & teeth),yes,yes,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3",https://www.omia.org/OMIA002916/9615/,https://www.omia.org/gene398298977/,VBO_0200808
-,-,-,"Chondrodysplasia, FGF4 retrogene-related",Skeleton phene (incl. short stature & teeth),yes,no,FGF4 retrogene CFA18,,https://www.omia.org/OMIA002542/9615/,https://www.omia.org/gene398298785/,"VBO_0200126, VBO_0200267, VBO_0200290, VBO_0200406, VBO_0200429, VBO_0200808, VBO_0200962, VBO_0200994, VBO_0200995, VBO_0201009, VBO_0201223, VBO_0201240, VBO_0201316, VBO_0201352, VBO_0201415"
,,,Polymyositis,Muscle phene,unknown,yes,,,https://www.omia.org/OMIA001874/9615/,,"VBO_0200932, VBO_0201389"
33,25348614,25282284,Retinal atrophy - Cone-rod dystrophy 2,Vision / eye phene,yes,yes,IQCB1,IQ motif containing B1,https://www.omia.org/OMIA001675/9615/,https://www.omia.org/gene388246541/,VBO_0200054
25,48506862,48555710,"Coat colour, dilution, MLPH-related",Pigmentation phene,yes,yes,MLPH,melanophilin,https://www.omia.org/OMIA000031/9615/,https://www.omia.org/gene3539089/,"VBO_0200055, VBO_0200131, VBO_0200147, VBO_0200338, VBO_0200361, VBO_0200406, VBO_0200442, VBO_0201454, VBO_0200577, VBO_0200613, VBO_0200683, VBO_0200713, VBO_0200724, VBO_0200816, VBO_0200893, VBO_0200921, VBO_0200994, VBO_0201102, VBO_0201135, VBO_0201217, VBO_0201223, VBO_0201242, VBO_0201348, VBO_0201351, VBO_0201448"
,,,Haemochromatosis,Homeostasis / metabolism phene,unknown,yes,,,https://www.omia.org/OMIA000428/9615/,,
,,,Cystic microphthalmia,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000253/9615/,,
,,,Ocular squamous cell carcinoma,Neoplasm,no,yes,,,https://www.omia.org/OMIA000735/9615/,,
,,,"Dermatitis, atopic",Integument (skin) phene,no,yes,,,https://www.omia.org/OMIA000269/9615/,,"VBO_0200210, VBO_0200258, VBO_0200577, VBO_0200800, VBO_0201089, VBO_0201415"
,,,"Ataxia, episodic",Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA002909/9615/,,"VBO_0200163, VBO_0200372"
21,11074816,10980195,"Coat/skin colour, oculocutaneous albinism type I (OCA1), TYR-related",Pigmentation phene,yes,yes,TYR,tyrosinase,https://www.omia.org/OMIA000202/9615/,https://www.omia.org/gene388198949/,"VBO_0200406, VBO_0200902"
