CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	3400001	12	0.24	200	[3400001,3600000]
3	20300001	12	0.24	1200	[20300001,21500000]
3	21500001	13	0.26	300	[21500001,21800000]
3	21800001	12	0.24	1500	[21800001,23300000]
3	24300001	13	0.26	700	[24300001,25000000]
3	25000001	14	0.28	100	[25000001,25100000]
3	25100001	13	0.26	1200	[25100001,26300000]
3	27400001	12	0.24	1000	[27400001,28400000]
3	28400001	14	0.28	1300	[28400001,29700000]
3	33800001	12	0.24	400	[33800001,34200000]
3	40900001	12	0.24	2200	[40900001,43100000]
3	43300001	12	0.24	200	[43300001,43500000]
3	44600001	12	0.24	2000	[44600001,46600000]
3	49000001	13	0.26	900	[49000001,49900000]
3	49900001	14	0.28	700	[49900001,50600000]
3	50600001	13	0.26	100	[50600001,50700000]
3	50700001	14	0.28	200	[50700001,50900000]
3	50900001	15	0.3	2500	[50900001,53400000]
3	53400001	16	0.32	100	[53400001,53500000]
3	53500001	14	0.28	100	[53500001,53600000]
3	53600001	12	0.24	1600	[53600001,55200000]
3	55300001	19	0.38	100	[55300001,55400000]
3	55400001	18	0.36	100	[55400001,55500000]
3	55500001	19	0.38	300	[55500001,55800000]
3	55800001	21	0.42	3400	[55800001,59200000]
3	59200001	15	0.3	300	[59200001,59500000]
3	59500001	14	0.28	1100	[59500001,60600000]
3	60600001	12	0.24	300	[60600001,60900000]
3	61300001	12	0.24	1200	[61300001,62500000]
3	62500001	15	0.3	200	[62500001,62700000]
3	62700001	16	0.32	800	[62700001,63500000]
3	63500001	17	0.34	100	[63500001,63600000]
3	3600000	12	0.24	200	[3400001,3600000]
3	21500000	12	0.24	1200	[20300001,21500000]
3	21800000	13	0.26	300	[21500001,21800000]
3	23300000	12	0.24	1500	[21800001,23300000]
3	25000000	13	0.26	700	[24300001,25000000]
3	25100000	14	0.28	100	[25000001,25100000]
3	26300000	13	0.26	1200	[25100001,26300000]
3	28400000	12	0.24	1000	[27400001,28400000]
3	29700000	14	0.28	1300	[28400001,29700000]
3	34200000	12	0.24	400	[33800001,34200000]
3	43100000	12	0.24	2200	[40900001,43100000]
3	43500000	12	0.24	200	[43300001,43500000]
3	46600000	12	0.24	2000	[44600001,46600000]
3	49900000	13	0.26	900	[49000001,49900000]
3	50600000	14	0.28	700	[49900001,50600000]
3	50700000	13	0.26	100	[50600001,50700000]
3	50900000	14	0.28	200	[50700001,50900000]
3	53400000	15	0.3	2500	[50900001,53400000]
3	53500000	16	0.32	100	[53400001,53500000]
3	53600000	14	0.28	100	[53500001,53600000]
3	55200000	12	0.24	1600	[53600001,55200000]
3	55400000	19	0.38	100	[55300001,55400000]
3	55500000	18	0.36	100	[55400001,55500000]
3	55800000	19	0.38	300	[55500001,55800000]
3	59200000	21	0.42	3400	[55800001,59200000]
3	59500000	15	0.3	300	[59200001,59500000]
3	60600000	14	0.28	1100	[59500001,60600000]
3	60900000	12	0.24	300	[60600001,60900000]
3	62500000	12	0.24	1200	[61300001,62500000]
3	62700000	15	0.3	200	[62500001,62700000]
3	63500000	16	0.32	800	[62700001,63500000]
3	63600000	17	0.34	100	[63500001,63600000]
