CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
7,75650841,75672908,"Cardiomyopathy, hypertrophic, MYH7-related",Cardiovascular system phene,yes,yes,MYH7,"myosin, heavy chain 7, cardiac muscle, beta",https://www.omia.org/OMIA002212/9823/,https://www.omia.org/gene388195134/,
2,69828348,69864823,Hypercholesterolaemia,Homeostasis / metabolism phene,yes,yes,LDLR,low density lipoprotein receptor,https://www.omia.org/OMIA000499/9823/,https://www.omia.org/gene40199421/,
,2468667,2570975,Membranoproliferative glomerulonephritis type II,Renal / urinary system phene,yes,yes,CFH,complement factor H,https://www.omia.org/OMIA000636/9823/,https://www.omia.org/gene40200110/,
4,93927255,93899019,Premature senesence,Mortality / aging (incl. embryonic lethal),yes,yes,LMNA,lamin A/C,https://www.omia.org/OMIA001213/9823/,https://www.omia.org/gene388991540/,VBO_0013234
7,75650841,75672908,"Tremor, high-frequency",Muscle phene,yes,yes,MYH7,"myosin, heavy chain 7, cardiac muscle, beta",https://www.omia.org/OMIA001200/9823/,https://www.omia.org/gene388195134/,VBO_0001189
,,,"Asthma, susceptibility",Respiratory system phene,no,yes,,,https://www.omia.org/OMIA002671/9823/,,VBO_0001175
,,,Dental abnormalities,Skeleton phene (incl. short stature & teeth),unknown,unknown,,,https://www.omia.org/OMIA002583/9823/,,
14,121058896,121269824,"Cardiomyopathy, dilated, RBM20-related",Cardiovascular system phene,yes,yes,RBM20,RNA binding motif protein 20,https://www.omia.org/OMIA002365/9823/,https://www.omia.org/gene398298966/,
,,,"Diabetes mellitus, type 1",Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA000283/9823/,,
,,,"Coat colour, pink-eyed dilution",Pigmentation phene,unknown,unknown,,,https://www.omia.org/OMIA000212/9823/,,
15,56657648,56869920,"Oculocutaneous albinism, OCA2-related",Pigmentation phene,yes,unknown,OCA2,OCA2 melanosomal transmembrane protein,https://www.omia.org/OMIA002130/9823/,https://www.omia.org/gene398298956/,VBO_0012741
18,39664010,39417830,"Abortion, BBS9 and BMPER-related",Mortality / aging (incl. embryonic lethal),yes,yes,BMPER,BMP binding endothelial regulator,https://www.omia.org/OMIA002178/9823/,https://www.omia.org/gene389263477/,"VBO_0001161, VBO_0001163, VBO_0001212"
18,44336434,44115079,"Abortion, BBS9 and BMPER-related",Mortality / aging (incl. embryonic lethal),yes,yes,BBS9,Bardet-Biedl syndrome 9,https://www.omia.org/OMIA002178/9823/,https://www.omia.org/gene389468454/,"VBO_0001161, VBO_0001163, VBO_0001212"
,,,Genetically engineered humanized animal,Immune system phene,unknown,no,,,https://www.omia.org/OMIA002665/9823/,,
3,18433564,18450296,"Neuronal ceroid lipofuscinosis, 3",Lysosomal storage disease,yes,yes,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin",https://www.omia.org/OMIA002432/9823/,https://www.omia.org/gene398298947/,
