CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	10900001	34	0.485714	400	[10900001,11300000]
3	11300001	33	0.471429	200	[11300001,11500000]
3	11500001	32	0.457143	100	[11500001,11600000]
3	11600001	33	0.471429	300	[11600001,11900000]
3	11900001	35	0.5	400	[11900001,12300000]
3	12300001	30	0.428571	500	[12300001,12800000]
3	18100001	32	0.457143	1200	[18100001,19300000]
3	19300001	33	0.471429	400	[19300001,19700000]
3	19700001	30	0.428571	100	[19700001,19800000]
3	19800001	31	0.442857	300	[19800001,20100000]
3	20100001	32	0.457143	100	[20100001,20200000]
3	20200001	31	0.442857	300	[20200001,20500000]
3	20500001	36	0.514286	300	[20500001,20800000]
3	20800001	41	0.585714	1200	[20800001,22000000]
3	22000001	38	0.542857	200	[22000001,22200000]
3	22200001	37	0.528571	600	[22200001,22800000]
3	22800001	36	0.514286	100	[22800001,22900000]
3	22900001	37	0.528571	100	[22900001,23000000]
3	23000001	41	0.585714	200	[23000001,23200000]
3	23200001	37	0.528571	1000	[23200001,24200000]
3	24200001	35	0.5	900	[24200001,25100000]
3	25100001	34	0.485714	200	[25100001,25300000]
3	39200001	30	0.428571	100	[39200001,39300000]
3	39300001	31	0.442857	300	[39300001,39600000]
3	39600001	30	0.428571	100	[39600001,39700000]
3	40100001	29	0.414286	1300	[40100001,41400000]
3	47900001	29	0.414286	400	[47900001,48300000]
3	49300001	29	0.414286	800	[49300001,50100000]
3	51200001	29	0.414286	400	[51200001,51600000]
3	52000001	32	0.457143	200	[52000001,52200000]
3	53700001	30	0.428571	100	[53700001,53800000]
3	53800001	31	0.442857	200	[53800001,54000000]
3	54000001	35	0.5	300	[54000001,54300000]
3	54300001	33	0.471429	200	[54300001,54500000]
3	54500001	32	0.457143	900	[54500001,55400000]
3	55400001	30	0.428571	200	[55400001,55600000]
3	65000001	29	0.414286	500	[65000001,65500000]
3	79100001	33	0.471429	600	[79100001,79700000]
3	79700001	32	0.457143	300	[79700001,80000000]
3	80000001	35	0.5	400	[80000001,80400000]
3	80400001	38	0.542857	1400	[80400001,81800000]
3	81800001	37	0.528571	200	[81800001,82000000]
3	82000001	34	0.485714	500	[82000001,82500000]
3	82500001	33	0.471429	100	[82500001,82600000]
3	85700001	31	0.442857	500	[85700001,86200000]
3	86200001	34	0.485714	1400	[86200001,87600000]
3	87600001	32	0.457143	900	[87600001,88500000]
3	88500001	30	0.428571	900	[88500001,89400000]
3	89400001	29	0.414286	400	[89400001,89800000]
3	11300000	34	0.485714	400	[10900001,11300000]
3	11500000	33	0.471429	200	[11300001,11500000]
3	11600000	32	0.457143	100	[11500001,11600000]
3	11900000	33	0.471429	300	[11600001,11900000]
3	12300000	35	0.5	400	[11900001,12300000]
3	12800000	30	0.428571	500	[12300001,12800000]
3	19300000	32	0.457143	1200	[18100001,19300000]
3	19700000	33	0.471429	400	[19300001,19700000]
3	19800000	30	0.428571	100	[19700001,19800000]
3	20100000	31	0.442857	300	[19800001,20100000]
3	20200000	32	0.457143	100	[20100001,20200000]
3	20500000	31	0.442857	300	[20200001,20500000]
3	20800000	36	0.514286	300	[20500001,20800000]
3	22000000	41	0.585714	1200	[20800001,22000000]
3	22200000	38	0.542857	200	[22000001,22200000]
3	22800000	37	0.528571	600	[22200001,22800000]
3	22900000	36	0.514286	100	[22800001,22900000]
3	23000000	37	0.528571	100	[22900001,23000000]
3	23200000	41	0.585714	200	[23000001,23200000]
3	24200000	37	0.528571	1000	[23200001,24200000]
3	25100000	35	0.5	900	[24200001,25100000]
3	25300000	34	0.485714	200	[25100001,25300000]
3	39300000	30	0.428571	100	[39200001,39300000]
3	39600000	31	0.442857	300	[39300001,39600000]
3	39700000	30	0.428571	100	[39600001,39700000]
3	41400000	29	0.414286	1300	[40100001,41400000]
3	48300000	29	0.414286	400	[47900001,48300000]
3	50100000	29	0.414286	800	[49300001,50100000]
3	51600000	29	0.414286	400	[51200001,51600000]
3	52200000	32	0.457143	200	[52000001,52200000]
3	53800000	30	0.428571	100	[53700001,53800000]
3	54000000	31	0.442857	200	[53800001,54000000]
3	54300000	35	0.5	300	[54000001,54300000]
3	54500000	33	0.471429	200	[54300001,54500000]
3	55400000	32	0.457143	900	[54500001,55400000]
3	55600000	30	0.428571	200	[55400001,55600000]
3	65500000	29	0.414286	500	[65000001,65500000]
3	79700000	33	0.471429	600	[79100001,79700000]
3	80000000	32	0.457143	300	[79700001,80000000]
3	80400000	35	0.5	400	[80000001,80400000]
3	81800000	38	0.542857	1400	[80400001,81800000]
3	82000000	37	0.528571	200	[81800001,82000000]
3	82500000	34	0.485714	500	[82000001,82500000]
3	82600000	33	0.471429	100	[82500001,82600000]
3	86200000	31	0.442857	500	[85700001,86200000]
3	87600000	34	0.485714	1400	[86200001,87600000]
3	88500000	32	0.457143	900	[87600001,88500000]
3	89400000	30	0.428571	900	[88500001,89400000]
3	89800000	29	0.414286	400	[89400001,89800000]
