CHR	POS	COUNT	FREQUENCY
1	1	0	0
1	100001	6	0.12
1	200001	6	0.12
1	300001	6	0.12
1	400001	6	0.12
1	500001	6	0.12
1	600001	9	0.18
1	700001	9	0.18
1	800001	9	0.18
1	900001	9	0.18
1	1000001	9	0.18
1	1100001	9	0.18
1	1200001	9	0.18
1	1300001	9	0.18
1	1400001	9	0.18
1	1500001	9	0.18
1	1600001	9	0.18
1	1700001	9	0.18
1	1800001	9	0.18
1	1900001	9	0.18
1	2000001	9	0.18
1	2100001	9	0.18
1	2200001	11	0.22
1	2300001	11	0.22
1	2400001	11	0.22
1	2500001	11	0.22
1	2600001	11	0.22
1	2700001	10	0.2
1	2800001	10	0.2
1	2900001	12	0.24
1	3000001	12	0.24
1	3100001	12	0.24
1	3200001	12	0.24
1	3300001	12	0.24
1	3400001	12	0.24
1	3500001	12	0.24
1	3600001	11	0.22
1	3700001	11	0.22
1	3800001	11	0.22
1	3900001	11	0.22
1	4000001	11	0.22
1	4100001	11	0.22
1	4200001	11	0.22
1	4300001	11	0.22
1	4400001	12	0.24
1	4500001	12	0.24
1	4600001	12	0.24
1	4700001	12	0.24
1	4800001	12	0.24
1	4900001	12	0.24
1	5000001	12	0.24
1	5100001	12	0.24
1	5200001	12	0.24
1	5300001	12	0.24
1	5400001	12	0.24
1	5500001	12	0.24
1	5600001	13	0.26
1	5700001	13	0.26
1	5800001	13	0.26
1	5900001	13	0.26
1	6000001	13	0.26
1	6100001	13	0.26
1	6200001	12	0.24
1	6300001	13	0.26
1	6400001	13	0.26
1	6500001	10	0.2
1	6600001	10	0.2
1	6700001	10	0.2
1	6800001	10	0.2
1	6900001	10	0.2
1	7000001	10	0.2
1	7100001	10	0.2
1	7200001	10	0.2
1	7300001	10	0.2
1	7400001	10	0.2
1	7500001	10	0.2
1	7600001	10	0.2
1	7700001	9	0.18
1	7800001	9	0.18
1	7900001	9	0.18
1	8000001	9	0.18
1	8100001	9	0.18
1	8200001	8	0.16
1	8300001	8	0.16
1	8400001	8	0.16
1	8500001	8	0.16
1	8600001	8	0.16
1	8700001	8	0.16
1	8800001	8	0.16
1	8900001	8	0.16
1	9000001	8	0.16
1	9100001	9	0.18
1	9200001	9	0.18
1	9300001	10	0.2
1	9400001	10	0.2
1	9500001	10	0.2
1	9600001	10	0.2
1	9700001	10	0.2
1	9800001	10	0.2
1	9900001	10	0.2
1	10000001	11	0.22
1	10100001	13	0.26
1	10200001	13	0.26
1	10300001	12	0.24
1	10400001	12	0.24
1	10500001	12	0.24
1	10600001	12	0.24
1	10700001	12	0.24
1	10800001	12	0.24
1	10900001	12	0.24
1	11000001	12	0.24
1	11100001	12	0.24
1	11200001	17	0.34
1	11300001	17	0.34
1	11400001	17	0.34
1	11500001	19	0.38
1	11600001	19	0.38
1	11700001	19	0.38
1	11800001	19	0.38
1	11900001	19	0.38
1	12000001	19	0.38
1	12100001	19	0.38
1	12200001	19	0.38
1	12300001	19	0.38
1	12400001	20	0.4
1	12500001	20	0.4
1	12600001	20	0.4
1	12700001	20	0.4
1	12800001	20	0.4
1	12900001	20	0.4
1	13000001	20	0.4
1	13100001	20	0.4
1	13200001	20	0.4
1	13300001	20	0.4
1	13400001	20	0.4
1	13500001	20	0.4
1	13600001	21	0.42
1	13700001	21	0.42
1	13800001	21	0.42
1	13900001	21	0.42
1	14000001	21	0.42
1	14100001	21	0.42
1	14200001	21	0.42
1	14300001	21	0.42
1	14400001	21	0.42
1	14500001	21	0.42
1	14600001	15	0.3
1	14700001	15	0.3
1	14800001	15	0.3
1	14900001	15	0.3
1	15000001	13	0.26
1	15100001	14	0.28
1	15200001	14	0.28
1	15300001	14	0.28
1	15400001	14	0.28
1	15500001	15	0.3
