CHR	POS	COUNT	FREQUENCY
3	1	58	0.136471
3	100001	68	0.16
3	200001	82	0.192941
3	300001	85	0.2
3	400001	85	0.2
3	500001	85	0.2
3	600001	89	0.209412
3	700001	90	0.211765
3	800001	90	0.211765
3	900001	100	0.235294
3	1000001	106	0.249412
3	1100001	111	0.261176
3	1200001	112	0.263529
3	1300001	114	0.268235
3	1400001	121	0.284706
3	1500001	121	0.284706
3	1600001	139	0.327059
3	1700001	136	0.32
3	1800001	149	0.350588
3	1900001	150	0.352941
3	2000001	150	0.352941
3	2100001	142	0.334118
3	2200001	141	0.331765
3	2300001	143	0.336471
3	2400001	140	0.329412
3	2500001	136	0.32
3	2600001	112	0.263529
3	2700001	113	0.265882
3	2800001	110	0.258824
3	2900001	146	0.343529
3	3000001	141	0.331765
3	3100001	195	0.458824
3	3200001	200	0.470588
3	3300001	199	0.468235
3	3400001	205	0.482353
3	3500001	184	0.432941
3	3600001	186	0.437647
3	3700001	213	0.501176
3	3800001	213	0.501176
3	3900001	202	0.475294
3	4000001	202	0.475294
3	4100001	199	0.468235
3	4200001	158	0.371765
3	4300001	155	0.364706
3	4400001	155	0.364706
3	4500001	110	0.258824
3	4600001	84	0.197647
3	4700001	63	0.148235
3	4800001	71	0.167059
3	4900001	78	0.183529
3	5000001	82	0.192941
3	5100001	99	0.232941
3	5200001	98	0.230588
3	5300001	104	0.244706
3	5400001	115	0.270588
3	5500001	115	0.270588
3	5600001	104	0.244706
3	5700001	105	0.247059
3	5800001	101	0.237647
3	5900001	104	0.244706
3	6000001	108	0.254118
3	6100001	104	0.244706
3	6200001	101	0.237647
3	6300001	96	0.225882
3	6400001	110	0.258824
3	6500001	114	0.268235
3	6600001	111	0.261176
3	6700001	110	0.258824
3	6800001	116	0.272941
3	6900001	123	0.289412
3	7000001	109	0.256471
3	7100001	120	0.282353
3	7200001	118	0.277647
3	7300001	107	0.251765
3	7400001	92	0.216471
3	7500001	89	0.209412
3	7600001	90	0.211765
3	7700001	87	0.204706
3	7800001	90	0.211765
3	7900001	86	0.202353
3	8000001	99	0.232941
3	8100001	98	0.230588
3	8200001	86	0.202353
3	8300001	86	0.202353
3	8400001	69	0.162353
3	8500001	86	0.202353
3	8600001	79	0.185882
3	8700001	73	0.171765
3	8800001	75	0.176471
3	8900001	74	0.174118
3	9000001	86	0.202353
3	9100001	100	0.235294
3	9200001	106	0.249412
3	9300001	107	0.251765
3	9400001	101	0.237647
3	9500001	110	0.258824
3	9600001	118	0.277647
3	9700001	117	0.275294
3	9800001	116	0.272941
3	9900001	113	0.265882
3	10000001	119	0.28
3	10100001	117	0.275294
3	10200001	117	0.275294
3	10300001	141	0.331765
3	10400001	136	0.32
3	10500001	120	0.282353
3	10600001	119	0.28
3	10700001	126	0.296471
3	10800001	126	0.296471
3	10900001	106	0.249412
3	11000001	106	0.249412
3	11100001	90	0.211765
3	11200001	81	0.190588
3	11300001	82	0.192941
3	11400001	80	0.188235
3	11500001	79	0.185882
3	11600001	70	0.164706
3	11700001	74	0.174118
3	11800001	77	0.181176
3	11900001	71	0.167059
3	12000001	60	0.141176
3	12100001	63	0.148235
3	12200001	60	0.141176
3	12300001	61	0.143529
3	12400001	62	0.145882
3	12500001	58	0.136471
3	12600001	57	0.134118
3	12700001	65	0.152941
3	12800001	65	0.152941
3	12900001	67	0.157647
3	13000001	63	0.148235
3	13100001	65	0.152941
3	13200001	59	0.138824
3	13300001	66	0.155294
3	13400001	79	0.185882
3	13500001	74	0.174118
3	13600001	75	0.176471
3	13700001	72	0.169412
3	13800001	68	0.16
3	13900001	72	0.169412
3	14000001	75	0.176471
3	14100001	62	0.145882
3	14200001	62	0.145882
3	14300001	51	0.12
3	14400001	47	0.110588
3	14500001	49	0.115294
3	14600001	49	0.115294
3	14700001	52	0.122353
3	14800001	55	0.129412
3	14900001	53	0.124706
3	15000001	44	0.103529
3	15100001	48	0.112941
3	15200001	48	0.112941
3	15300001	48	0.112941
3	15400001	48	0.112941
3	15500001	55	0.129412
3	15600001	46	0.108235
3	15700001	51	0.12
3	15800001	50	0.117647
3	15900001	47	0.110588
3	16000001	48	0.112941
3	16100001	48	0.112941
3	16200001	49	0.115294
3	16300001	49	0.115294
3	16400001	52	0.122353
3	16500001	54	0.127059
3	16600001	55	0.129412
3	16700001	57	0.134118
3	16800001	56	0.131765
3	16900001	54	0.127059
