CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
1	45900001	25	0.5	300	[45900001,46200000]
1	46200001	26	0.52	300	[46200001,46500000]
1	46500001	25	0.5	500	[46500001,47000000]
1	47000001	26	0.52	600	[47000001,47600000]
1	47600001	27	0.54	600	[47600001,48200000]
1	48200001	26	0.52	200	[48200001,48400000]
1	48400001	25	0.5	800	[48400001,49200000]
1	49200001	26	0.52	300	[49200001,49500000]
1	49500001	27	0.54	200	[49500001,49700000]
1	49700001	28	0.56	300	[49700001,50000000]
1	50000001	27	0.54	300	[50000001,50300000]
1	50300001	25	0.5	100	[50300001,50400000]
1	51000001	27	0.54	200	[51000001,51200000]
1	51200001	26	0.52	1100	[51200001,52300000]
1	69800001	26	0.52	100	[69800001,69900000]
1	69900001	24	0.48	200	[69900001,70100000]
1	70100001	27	0.54	100	[70100001,70200000]
1	70200001	26	0.52	1700	[70200001,71900000]
1	72700001	33	0.66	100	[72700001,72800000]
1	72800001	30	0.6	600	[72800001,73400000]
1	73400001	31	0.62	200	[73400001,73600000]
1	73600001	32	0.64	900	[73600001,74500000]
1	74500001	35	0.7	1300	[74500001,75800000]
1	75800001	34	0.68	300	[75800001,76100000]
1	76100001	33	0.66	200	[76100001,76300000]
1	76300001	31	0.62	600	[76300001,76900000]
1	76900001	27	0.54	600	[76900001,77500000]
1	77500001	30	0.6	1000	[77500001,78500000]
1	79400001	30	0.6	1900	[79400001,81300000]
1	81300001	29	0.58	500	[81300001,81800000]
1	81800001	28	0.56	200	[81800001,82000000]
1	82000001	29	0.58	1100	[82000001,83100000]
1	84400001	24	0.48	800	[84400001,85200000]
1	85200001	26	0.52	400	[85200001,85600000]
1	86100001	24	0.48	100	[86100001,86200000]
1	87400001	25	0.5	100	[87400001,87500000]
1	87500001	27	0.54	1300	[87500001,88800000]
1	89000001	25	0.5	100	[89000001,89100000]
1	89100001	29	0.58	100	[89100001,89200000]
1	89200001	28	0.56	300	[89200001,89500000]
1	89500001	24	0.48	300	[89500001,89800000]
1	90300001	34	0.68	2100	[90300001,92400000]
1	92400001	32	0.64	600	[92400001,93000000]
1	93000001	31	0.62	400	[93000001,93400000]
1	46200000	25	0.5	300	[45900001,46200000]
1	46500000	26	0.52	300	[46200001,46500000]
1	47000000	25	0.5	500	[46500001,47000000]
1	47600000	26	0.52	600	[47000001,47600000]
1	48200000	27	0.54	600	[47600001,48200000]
1	48400000	26	0.52	200	[48200001,48400000]
1	49200000	25	0.5	800	[48400001,49200000]
1	49500000	26	0.52	300	[49200001,49500000]
1	49700000	27	0.54	200	[49500001,49700000]
1	50000000	28	0.56	300	[49700001,50000000]
1	50300000	27	0.54	300	[50000001,50300000]
1	50400000	25	0.5	100	[50300001,50400000]
1	51200000	27	0.54	200	[51000001,51200000]
1	52300000	26	0.52	1100	[51200001,52300000]
1	69900000	26	0.52	100	[69800001,69900000]
1	70100000	24	0.48	200	[69900001,70100000]
1	70200000	27	0.54	100	[70100001,70200000]
1	71900000	26	0.52	1700	[70200001,71900000]
1	72800000	33	0.66	100	[72700001,72800000]
1	73400000	30	0.6	600	[72800001,73400000]
1	73600000	31	0.62	200	[73400001,73600000]
1	74500000	32	0.64	900	[73600001,74500000]
1	75800000	35	0.7	1300	[74500001,75800000]
1	76100000	34	0.68	300	[75800001,76100000]
1	76300000	33	0.66	200	[76100001,76300000]
1	76900000	31	0.62	600	[76300001,76900000]
1	77500000	27	0.54	600	[76900001,77500000]
1	78500000	30	0.6	1000	[77500001,78500000]
1	81300000	30	0.6	1900	[79400001,81300000]
1	81800000	29	0.58	500	[81300001,81800000]
1	82000000	28	0.56	200	[81800001,82000000]
1	83100000	29	0.58	1100	[82000001,83100000]
1	85200000	24	0.48	800	[84400001,85200000]
1	85600000	26	0.52	400	[85200001,85600000]
1	86200000	24	0.48	100	[86100001,86200000]
1	87500000	25	0.5	100	[87400001,87500000]
1	88800000	27	0.54	1300	[87500001,88800000]
1	89100000	25	0.5	100	[89000001,89100000]
1	89200000	29	0.58	100	[89100001,89200000]
1	89500000	28	0.56	300	[89200001,89500000]
1	89800000	24	0.48	300	[89500001,89800000]
1	92400000	34	0.68	2100	[90300001,92400000]
1	93000000	32	0.64	600	[92400001,93000000]
1	93400000	31	0.62	400	[93000001,93400000]
