#Chromosome	Length(bp)	Length(KB)	Markers	SNP_density(Mb)
1	122341437	122341	6905	56.44
2	85317421	85317	4941	57.91
3	91857950	91857	4350	47.35
4	88203522	88203	4672	52.97
5	88862753	88862	4661	52.45
6	77489604	77489	4543	58.63
7	80858046	80858	4651	57.52
8	74153860	74153	3944	53.18
9	61030064	61030	3605	59.06
10	68925225	68925	3732	54.14
11	74306228	74306	3933	52.93
12	72435319	72435	4407	60.84
13	63196057	63196	3638	57.57
14	60761097	60761	3434	56.51
15	60761312	60761	2541	41.82
16	58930003	58930	3278	55.62
17	63795900	63795	3349	52.50
18	55745745	55745	3483	62.48
19	53604562	53604	2626	48.99
20	58095605	58095	3763	64.77
21	50634619	50634	2763	54.57
22	61272216	61272	3490	56.96
23	52237539	52237	3064	58.66
24	47626438	47626	3214	67.49
25	51477375	51477	3326	64.62
26	38930911	38930	2353	60.44
27	45651512	45651	2548	55.81
28	41095283	41095	2595	63.15
29	41750202	41750	2505	60.00
30	40195241	40195	2717	67.60
31	39710169	39710	2129	53.61
32	38744582	38744	2009	51.85
33	31361171	31361	1814	57.84
34	42030631	42030	2505	59.60
35	26425891	26425	1793	67.86
36	30775848	30775	1861	60.48
37	30799652	30799	1874	60.86
38	23875669	23875	1659	69.50
