CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
,,,Bone spavin,Limbs / fins / digit / tail phene,no,yes,,,https://www.omia.org/OMIA001232/9913/,,
,,,Lymphoedema,Immune system phene,unknown,yes,,,https://www.omia.org/OMIA000613/9913/,,"VBO_0000120, VBO_0000232, VBO_0004987"
,,,Spastic lameness (redundant),,unknown,no,,,https://www.omia.org/OMIA000926/9913/,,
17,50834720,50808246,"Cardiac malformation, BRI3BP-related",Cardiovascular system phene,yes,yes,BRI3BP,BRI3 binding protein,https://www.omia.org/OMIA002913/9913/,https://www.omia.org/gene398298971/,VBO_0000239
,,,"Periodic spasticity, inherited (redundant)",,unknown,no,,,https://www.omia.org/OMIA001453/9913/,,
,,,Spastic syndrome,Nervous system phene,no,yes,,,https://www.omia.org/OMIA000929/9913/,,"VBO_0000104, VBO_0000120, VBO_0000166, VBO_0000186, VBO_0000227, VBO_0000232, VBO_0000239, VBO_0000250, VBO_0000380"
6,70166692,70254049,"Coat colour, colour-sided",Pigmentation phene,yes,no,KIT,KIT proto-oncogene receptor tyrosine kinase,https://www.omia.org/OMIA001576/9913/,https://www.omia.org/gene280832/,"VBO_0000139, VBO_0004704, VBO_0000166, VBO_0005270, VBO_0004498, VBO_0000207, VBO_0002964, VBO_0000233, VBO_0000334, VBO_0004409, VBO_0004345"
6,70166692,70254049,"Coat colour, dominant white",Pigmentation phene,no,yes,KIT,KIT proto-oncogene receptor tyrosine kinase,https://www.omia.org/OMIA000209/9913/,https://www.omia.org/gene280832/,VBO_0000250
22,31843489,31614654,"Coat colour, white spotting",Pigmentation phene,no,no,MITF,microphthalmia-associated transcription factor,https://www.omia.org/OMIA000214/9913/,https://www.omia.org/gene407219/,"VBO_0000166, VBO_0000237, VBO_0000239, VBO_0000250, VBO_0004993, VBO_0000380"
2,110471351,110369552,"Coat colour, white spotting",Pigmentation phene,no,no,PAX3,paired box 3,https://www.omia.org/OMIA000214/9913/,https://www.omia.org/gene388276761/,"VBO_0000166, VBO_0000237, VBO_0000239, VBO_0000250, VBO_0004993, VBO_0000380"
6,70166692,70254049,"Coat colour, white spotting, KIT-related",Pigmentation phene,yes,no,KIT,KIT proto-oncogene receptor tyrosine kinase,https://www.omia.org/OMIA001737/9913/,https://www.omia.org/gene280832/,"VBO_0000166, VBO_0000232, VBO_0000380"
20,38915987,39108971,Slick hair,Integument (skin) phene,yes,yes,PRLR,prolactin receptor,https://www.omia.org/OMIA001372/9913/,https://www.omia.org/gene388161246/,"VBO_0000129, VBO_0004602, VBO_0004468, VBO_0005370, VBO_0004603, VBO_0004605, VBO_0016934, VBO_0004607, VBO_0004281, VBO_0004609, VBO_0000237, VBO_0005372, VBO_0005376, VBO_0000371, VBO_0005086, VBO_0000425"
6,85645854,85658910,"Casein, kappa",Endocrine / exocrine gland phene (incl mammary gland),yes,no,CSN3,casein kappa,https://www.omia.org/OMIA002400/9913/,https://www.omia.org/gene388161466/,
,,,Retinal degeneration,Vision / eye phene,unknown,yes,,,https://www.omia.org/OMIA000866/9913/,,
,,,"Male subfertility, EML5-related",Reproductive system phene,yes,yes,,,https://www.omia.org/OMIA002904/9913/,,VBO_0000104
6,85457699,85449178,"Casein, beta",Endocrine / exocrine gland phene (incl mammary gland),yes,no,CSN2,casein beta,https://www.omia.org/OMIA002033/9913/,https://www.omia.org/gene388161026/,
,,,"Dwarfism, dominant",Skeleton phene (incl. short stature & teeth),yes,yes,,,https://www.omia.org/OMIA001659/9913/,,VBO_0000177
,,,Osteochondrodysplastic and cardiomyopathic syndrome,,unknown,yes,,,https://www.omia.org/OMIA002902/9913/,,VBO_0000178
,,,"XX difference of sexual development, generic",Reproductive system phene,unknown,yes,,,https://www.omia.org/OMIA000901/9913/,,
6,70166692,70254049,Gonadal hypoplasia,Reproductive system phene,yes,yes,KIT,KIT proto-oncogene receptor tyrosine kinase,https://www.omia.org/OMIA000426/9913/,https://www.omia.org/gene280832/,"VBO_0000179, VBO_0005274, VBO_0004751"
24,56822085,56787248,Protoporphyria,Integument (skin) phene,yes,yes,FECH,ferrochelatase,https://www.omia.org/OMIA000836/9913/,https://www.omia.org/gene281158/,"VBO_0000151, VBO_0000274"
15,74417594,74373004,"Hemimelia, tibial",Skeleton phene (incl. short stature & teeth),yes,yes,ALX4,ALX homeobox 4,https://www.omia.org/OMIA001009/9913/,https://www.omia.org/gene388302270/,"VBO_0000207, VBO_0000375"
,,,Ehlers-Danlos syndrome with absence of dermatan sulfate proteoglycan,Integument (skin) phene,unknown,yes,,,https://www.omia.org/OMIA001716/9913/,,VBO_0000239
