CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	1	0.02
3	200001	1	0.02
3	300001	1	0.02
3	400001	1	0.02
3	500001	1	0.02
3	600001	1	0.02
3	700001	1	0.02
3	800001	1	0.02
3	900001	2	0.04
3	1000001	3	0.06
3	1100001	3	0.06
3	1200001	3	0.06
3	1300001	3	0.06
3	1400001	3	0.06
3	1500001	5	0.1
3	1600001	5	0.1
3	1700001	5	0.1
3	1800001	5	0.1
3	1900001	5	0.1
3	2000001	5	0.1
3	2100001	5	0.1
3	2200001	15	0.3
3	2300001	15	0.3
3	2400001	15	0.3
3	2500001	15	0.3
3	2600001	15	0.3
3	2700001	15	0.3
3	2800001	15	0.3
3	2900001	15	0.3
3	3000001	15	0.3
3	3100001	15	0.3
3	3200001	15	0.3
3	3300001	16	0.32
3	3400001	16	0.32
3	3500001	16	0.32
3	3600001	16	0.32
3	3700001	17	0.34
3	3800001	17	0.34
3	3900001	17	0.34
3	4000001	17	0.34
3	4100001	17	0.34
3	4200001	19	0.38
3	4300001	19	0.38
3	4400001	19	0.38
3	4500001	19	0.38
3	4600001	19	0.38
3	4700001	19	0.38
3	4800001	19	0.38
3	4900001	19	0.38
3	5000001	19	0.38
3	5100001	17	0.34
3	5200001	17	0.34
3	5300001	17	0.34
3	5400001	17	0.34
3	5500001	17	0.34
3	5600001	17	0.34
3	5700001	17	0.34
3	5800001	18	0.36
3	5900001	18	0.36
3	6000001	18	0.36
3	6100001	18	0.36
3	6200001	18	0.36
3	6300001	17	0.34
3	6400001	12	0.24
3	6500001	12	0.24
3	6600001	13	0.26
3	6700001	13	0.26
3	6800001	13	0.26
3	6900001	13	0.26
3	7000001	13	0.26
3	7100001	13	0.26
3	7200001	13	0.26
3	7300001	13	0.26
3	7400001	12	0.24
3	7500001	13	0.26
3	7600001	12	0.24
3	7700001	12	0.24
3	7800001	12	0.24
3	7900001	12	0.24
3	8000001	12	0.24
3	8100001	12	0.24
3	8200001	12	0.24
3	8300001	12	0.24
3	8400001	12	0.24
3	8500001	12	0.24
3	8600001	12	0.24
3	8700001	12	0.24
3	8800001	12	0.24
3	8900001	12	0.24
3	9000001	12	0.24
3	9100001	12	0.24
3	9200001	15	0.3
3	9300001	15	0.3
3	9400001	15	0.3
3	9500001	14	0.28
3	9600001	14	0.28
3	9700001	14	0.28
3	9800001	14	0.28
3	9900001	14	0.28
3	10000001	14	0.28
3	10100001	14	0.28
3	10200001	14	0.28
3	10300001	13	0.26
3	10400001	13	0.26
3	10500001	13	0.26
3	10600001	8	0.16
3	10700001	8	0.16
3	10800001	8	0.16
3	10900001	8	0.16
3	11000001	9	0.18
3	11100001	9	0.18
3	11200001	10	0.2
3	11300001	10	0.2
3	11400001	10	0.2
3	11500001	10	0.2
3	11600001	10	0.2
3	11700001	10	0.2
3	11800001	10	0.2
3	11900001	10	0.2
3	12000001	10	0.2
3	12100001	11	0.22
3	12200001	11	0.22
3	12300001	11	0.22
