CHR	POS	COUNT	FREQUENCY
9	1	0	0
9	100001	186	0.574074
9	200001	186	0.574074
9	300001	186	0.574074
9	400001	186	0.574074
9	500001	186	0.574074
9	600001	186	0.574074
9	700001	186	0.574074
9	800001	186	0.574074
9	900001	186	0.574074
9	1000001	186	0.574074
9	1100001	186	0.574074
9	1200001	186	0.574074
9	1300001	186	0.574074
9	1400001	186	0.574074
9	1500001	186	0.574074
9	1600001	186	0.574074
9	1700001	186	0.574074
9	1800001	186	0.574074
9	1900001	186	0.574074
9	2000001	186	0.574074
9	2100001	186	0.574074
9	2200001	186	0.574074
9	2300001	186	0.574074
9	2400001	186	0.574074
9	2500001	186	0.574074
9	2600001	186	0.574074
9	2700001	186	0.574074
9	2800001	186	0.574074
9	2900001	186	0.574074
9	3000001	186	0.574074
9	3100001	186	0.574074
9	3200001	186	0.574074
9	3300001	186	0.574074
9	3400001	186	0.574074
9	3500001	186	0.574074
9	3600001	113	0.348765
9	3700001	113	0.348765
9	3800001	113	0.348765
9	3900001	113	0.348765
9	4000001	113	0.348765
9	4100001	113	0.348765
9	4200001	110	0.339506
9	4300001	108	0.333333
9	4400001	107	0.330247
9	4500001	107	0.330247
9	4600001	106	0.32716
9	4700001	103	0.317901
9	4800001	103	0.317901
9	4900001	102	0.314815
9	5000001	102	0.314815
9	5100001	102	0.314815
9	5200001	103	0.317901
9	5300001	103	0.317901
9	5400001	101	0.311728
9	5500001	101	0.311728
9	5600001	101	0.311728
9	5700001	100	0.308642
9	5800001	99	0.305556
9	5900001	89	0.274691
9	6000001	90	0.277778
9	6100001	88	0.271605
9	6200001	86	0.265432
9	6300001	87	0.268519
9	6400001	85	0.262346
9	6500001	92	0.283951
9	6600001	80	0.246914
9	6700001	71	0.219136
9	6800001	69	0.212963
9	6900001	65	0.200617
9	7000001	66	0.203704
9	7100001	68	0.209877
9	7200001	64	0.197531
9	7300001	65	0.200617
9	7400001	58	0.179012
9	7500001	63	0.194444
9	7600001	63	0.194444
9	7700001	63	0.194444
9	7800001	63	0.194444
9	7900001	63	0.194444
9	8000001	87	0.268519
9	8100001	88	0.271605
9	8200001	90	0.277778
9	8300001	91	0.280864
9	8400001	77	0.237654
9	8500001	76	0.234568
9	8600001	86	0.265432
9	8700001	86	0.265432
9	8800001	86	0.265432
9	8900001	86	0.265432
9	9000001	85	0.262346
9	9100001	90	0.277778
9	9200001	91	0.280864
9	9300001	91	0.280864
9	9400001	89	0.274691
9	9500001	89	0.274691
9	9600001	89	0.274691
9	9700001	86	0.265432
9	9800001	91	0.280864
9	9900001	91	0.280864
9	10000001	91	0.280864
9	10100001	91	0.280864
9	10200001	94	0.290123
9	10300001	94	0.290123
9	10400001	96	0.296296
9	10500001	95	0.29321
9	10600001	98	0.302469
9	10700001	98	0.302469
9	10800001	98	0.302469
9	10900001	97	0.299383
9	11000001	97	0.299383
9	11100001	97	0.299383
9	11200001	96	0.296296
9	11300001	96	0.296296
9	11400001	96	0.296296
9	11500001	96	0.296296
9	11600001	96	0.296296
9	11700001	95	0.29321
9	11800001	95	0.29321
9	11900001	95	0.29321
9	12000001	95	0.29321
9	12100001	93	0.287037
9	12200001	105	0.324074
9	12300001	105	0.324074
9	12400001	84	0.259259
9	12500001	84	0.259259
9	12600001	84	0.259259
9	12700001	84	0.259259
9	12800001	83	0.256173
9	12900001	82	0.253086
9	13000001	81	0.25
9	13100001	83	0.256173
9	13200001	83	0.256173
9	13300001	82	0.253086
9	13400001	81	0.25
9	13500001	80	0.246914
9	13600001	80	0.246914
9	13700001	80	0.246914
9	13800001	80	0.246914
9	13900001	80	0.246914
9	14000001	79	0.243827
9	14100001	79	0.243827
9	14200001	79	0.243827
9	14300001	57	0.175926
9	14400001	53	0.16358
9	14500001	52	0.160494
9	14600001	54	0.166667
9	14700001	51	0.157407
9	14800001	50	0.154321
9	14900001	49	0.151235
9	15000001	54	0.166667
9	15100001	55	0.169753
9	15200001	57	0.175926
9	15300001	56	0.17284
9	15400001	55	0.169753
9	15500001	55	0.169753
9	15600001	55	0.169753
9	15700001	54	0.166667
9	15800001	55	0.169753
9	15900001	55	0.169753
9	16000001	89	0.274691
9	16100001	89	0.274691
9	16200001	89	0.274691
9	16300001	89	0.274691
9	16400001	89	0.274691
9	16500001	89	0.274691
9	16600001	99	0.305556
9	16700001	99	0.305556
9	16800001	103	0.317901
9	16900001	103	0.317901
9	17000001	103	0.317901
9	17100001	103	0.317901
9	17200001	103	0.317901
9	17300001	103	0.317901
9	17400001	103	0.317901
9	17500001	103	0.317901
9	17600001	94	0.290123
9	17700001	100	0.308642
9	17800001	100	0.308642
9	17900001	100	0.308642
9	18000001	100	0.308642
9	18100001	100	0.308642
9	18200001	100	0.308642
9	18300001	100	0.308642
9	18400001	117	0.361111
9	18500001	117	0.361111
9	18600001	118	0.364198
9	18700001	118	0.364198
9	18800001	118	0.364198
9	18900001	118	0.364198
9	19000001	118	0.364198
9	19100001	118	0.364198
9	19200001	119	0.367284
9	19300001	120	0.37037
9	19400001	121	0.373457
9	19500001	121	0.373457
9	19600001	121	0.373457
9	19700001	121	0.373457
9	19800001	121	0.373457
9	19900001	121	0.373457
9	20000001	121	0.373457
9	20100001	121	0.373457
9	20200001	121	0.373457
9	20300001	107	0.330247
9	20400001	108	0.333333
9	20500001	108	0.333333
9	20600001	106	0.32716
9	20700001	106	0.32716
9	20800001	104	0.320988
9	20900001	97	0.299383
9	21000001	97	0.299383
9	21100001	98	0.302469
9	21200001	99	0.305556
9	21300001	99	0.305556
9	21400001	99	0.305556
9	21500001	99	0.305556
9	21600001	99	0.305556
9	21700001	99	0.305556
9	21800001	99	0.305556
9	21900001	99	0.305556
9	22000001	100	0.308642
9	22100001	101	0.311728
9	22200001	94	0.290123
9	22300001	98	0.302469
9	22400001	103	0.317901
9	22500001	103	0.317901
9	22600001	105	0.324074
9	22700001	104	0.320988
9	22800001	104	0.320988
9	22900001	105	0.324074
9	23000001	105	0.324074
9	23100001	105	0.324074
9	23200001	101	0.311728
9	23300001	103	0.317901
9	23400001	84	0.259259
9	23500001	84	0.259259
9	23600001	85	0.262346
9	23700001	85	0.262346
9	23800001	85	0.262346
9	23900001	86	0.265432
9	24000001	86	0.265432
9	24100001	84	0.259259
9	24200001	84	0.259259
9	24300001	84	0.259259
9	24400001	84	0.259259
9	24500001	82	0.253086
9	24600001	82	0.253086
9	24700001	81	0.25
9	24800001	82	0.253086
9	24900001	82	0.253086
9	25000001	81	0.25
9	25100001	81	0.25
9	25200001	81	0.25
9	25300001	89	0.274691
9	25400001	90	0.277778
9	25500001	90	0.277778
9	25600001	90	0.277778
9	25700001	90	0.277778
9	25800001	90	0.277778
9	25900001	90	0.277778
9	26000001	90	0.277778
9	26100001	88	0.271605
9	26200001	87	0.268519
9	26300001	87	0.268519
9	26400001	83	0.256173
9	26500001	86	0.265432
9	26600001	98	0.302469
9	26700001	92	0.283951
9	26800001	93	0.287037
9	26900001	112	0.345679
9	27000001	113	0.348765
9	27100001	113	0.348765
9	27200001	112	0.345679
9	27300001	112	0.345679
9	27400001	112	0.345679
9	27500001	112	0.345679
9	27600001	112	0.345679
9	27700001	96	0.296296
9	27800001	95	0.29321
9	27900001	94	0.290123
9	28000001	94	0.290123
9	28100001	94	0.290123
9	28200001	93	0.287037
9	28300001	88	0.271605
9	28400001	93	0.287037
9	28500001	94	0.290123
9	28600001	93	0.287037
9	28700001	86	0.265432
9	28800001	86	0.265432
9	28900001	84	0.259259
9	29000001	84	0.259259
9	29100001	84	0.259259
9	29200001	81	0.25
9	29300001	83	0.256173
9	29400001	83	0.256173
9	29500001	83	0.256173
9	29600001	83	0.256173
9	29700001	84	0.259259
9	29800001	84	0.259259
9	29900001	84	0.259259
9	30000001	85	0.262346
9	30100001	84	0.259259
9	30200001	84	0.259259
9	30300001	83	0.256173
9	30400001	81	0.25
9	30500001	81	0.25
9	30600001	81	0.25
9	30700001	81	0.25
9	30800001	81	0.25
9	30900001	75	0.231481
9	31000001	84	0.259259
9	31100001	87	0.268519
9	31200001	86	0.265432
9	31300001	86	0.265432
9	31400001	83	0.256173
9	31500001	85	0.262346
9	31600001	88	0.271605
9	31700001	88	0.271605
9	31800001	90	0.277778
9	31900001	90	0.277778
9	32000001	90	0.277778
9	32100001	90	0.277778
9	32200001	91	0.280864
9	32300001	91	0.280864
9	32400001	90	0.277778
9	32500001	90	0.277778
9	32600001	91	0.280864
9	32700001	90	0.277778
9	32800001	89	0.274691
9	32900001	89	0.274691
9	33000001	89	0.274691
9	33100001	89	0.274691
9	33200001	89	0.274691
9	33300001	87	0.268519
9	33400001	87	0.268519
9	33500001	87	0.268519
9	33600001	87	0.268519
9	33700001	87	0.268519
9	33800001	87	0.268519
9	33900001	84	0.259259
9	34000001	81	0.25
9	34100001	81	0.25
9	34200001	81	0.25
9	34300001	81	0.25
9	34400001	78	0.240741
9	34500001	78	0.240741
9	34600001	78	0.240741
9	34700001	78	0.240741
9	34800001	78	0.240741
9	34900001	78	0.240741
9	35000001	78	0.240741
9	35100001	72	0.222222
9	35200001	73	0.225309
9	35300001	73	0.225309
9	35400001	76	0.234568
9	35500001	76	0.234568
9	35600001	76	0.234568
9	35700001	76	0.234568
9	35800001	76	0.234568
9	35900001	76	0.234568
9	36000001	76	0.234568
9	36100001	76	0.234568
9	36200001	76	0.234568
9	36300001	76	0.234568
9	36400001	76	0.234568
9	36500001	72	0.222222
9	36600001	81	0.25
9	36700001	82	0.253086
9	36800001	82	0.253086
9	36900001	82	0.253086
9	37000001	86	0.265432
9	37100001	86	0.265432
9	37200001	86	0.265432
9	37300001	83	0.256173
9	37400001	74	0.228395
9	37500001	76	0.234568
9	37600001	76	0.234568
9	37700001	76	0.234568
9	37800001	76	0.234568
9	37900001	76	0.234568
9	38000001	76	0.234568
9	38100001	75	0.231481
9	38200001	79	0.243827
9	38300001	79	0.243827
9	38400001	79	0.243827
9	38500001	79	0.243827
9	38600001	110	0.339506
9	38700001	110	0.339506
9	38800001	110	0.339506
9	38900001	108	0.333333
9	39000001	108	0.333333
9	39100001	107	0.330247
9	39200001	109	0.33642
9	39300001	109	0.33642
9	39400001	110	0.339506
9	39500001	110	0.339506
9	39600001	110	0.339506
9	39700001	111	0.342593
9	39800001	111	0.342593
9	39900001	111	0.342593
9	40000001	111	0.342593
9	40100001	111	0.342593
9	40200001	109	0.33642
9	40300001	111	0.342593
9	40400001	111	0.342593
9	40500001	111	0.342593
9	40600001	111	0.342593
9	40700001	111	0.342593
9	40800001	111	0.342593
9	40900001	113	0.348765
9	41000001	115	0.354938
9	41100001	115	0.354938
9	41200001	114	0.351852
9	41300001	114	0.351852
9	41400001	114	0.351852
9	41500001	114	0.351852
9	41600001	113	0.348765
9	41700001	108	0.333333
9	41800001	108	0.333333
9	41900001	109	0.33642
9	42000001	108	0.333333
9	42100001	109	0.33642
9	42200001	99	0.305556
9	42300001	100	0.308642
9	42400001	102	0.314815
9	42500001	102	0.314815
9	42600001	103	0.317901
9	42700001	103	0.317901
9	42800001	103	0.317901
9	42900001	103	0.317901
9	43000001	103	0.317901
9	43100001	103	0.317901
9	43200001	103	0.317901
9	43300001	103	0.317901
9	43400001	103	0.317901
9	43500001	103	0.317901
9	43600001	103	0.317901
9	43700001	104	0.320988
9	43800001	104	0.320988
9	43900001	104	0.320988
9	44000001	104	0.320988
9	44100001	93	0.287037
9	44200001	92	0.283951
9	44300001	92	0.283951
9	44400001	89	0.274691
9	44500001	91	0.280864
9	44600001	89	0.274691
9	44700001	91	0.280864
9	44800001	91	0.280864
9	44900001	90	0.277778
9	45000001	90	0.277778
9	45100001	91	0.280864
9	45200001	90	0.277778
9	45300001	90	0.277778
9	45400001	90	0.277778
9	45500001	90	0.277778
9	45600001	90	0.277778
9	45700001	86	0.265432
9	45800001	82	0.253086
9	45900001	82	0.253086
9	46000001	66	0.203704
9	46100001	69	0.212963
9	46200001	71	0.219136
9	46300001	67	0.20679
9	46400001	67	0.20679
9	46500001	67	0.20679
9	46600001	67	0.20679
9	46700001	66	0.203704
9	46800001	65	0.200617
9	46900001	66	0.203704
9	47000001	65	0.200617
9	47100001	65	0.200617
9	47200001	66	0.203704
9	47300001	66	0.203704
9	47400001	67	0.20679
9	47500001	67	0.20679
9	47600001	66	0.203704
9	47700001	65	0.200617
9	47800001	64	0.197531
9	47900001	62	0.191358
9	48000001	62	0.191358
9	48100001	63	0.194444
9	48200001	63	0.194444
9	48300001	60	0.185185
9	48400001	61	0.188272
9	48500001	61	0.188272
9	48600001	61	0.188272
9	48700001	61	0.188272
9	48800001	61	0.188272
9	48900001	62	0.191358
9	49000001	63	0.194444
9	49100001	62	0.191358
9	49200001	62	0.191358
9	49300001	62	0.191358
9	49400001	62	0.191358
9	49500001	62	0.191358
9	49600001	65	0.200617
9	49700001	66	0.203704
9	49800001	63	0.194444
9	49900001	65	0.200617
9	50000001	61	0.188272
9	50100001	62	0.191358
9	50200001	64	0.197531
9	50300001	62	0.191358
9	50400001	61	0.188272
9	50500001	64	0.197531
9	50600001	68	0.209877
9	50700001	68	0.209877
9	50800001	62	0.191358
9	50900001	57	0.175926
9	51000001	61	0.188272
9	51100001	63	0.194444
9	51200001	59	0.182099
9	51300001	58	0.179012
9	51400001	63	0.194444
9	51500001	62	0.191358
9	51600001	65	0.200617
9	51700001	66	0.203704
9	51800001	68	0.209877
9	51900001	71	0.219136
9	52000001	70	0.216049
9	52100001	71	0.219136
9	52200001	71	0.219136
9	52300001	71	0.219136
9	52400001	71	0.219136
9	52500001	71	0.219136
9	52600001	72	0.222222
9	52700001	72	0.222222
9	52800001	80	0.246914
9	52900001	77	0.237654
9	53000001	75	0.231481
9	53100001	76	0.234568
9	53200001	75	0.231481
9	53300001	75	0.231481
9	53400001	66	0.203704
9	53500001	68	0.209877
9	53600001	66	0.203704
9	53700001	66	0.203704
9	53800001	66	0.203704
9	53900001	62	0.191358
9	54000001	61	0.188272
9	54100001	59	0.182099
9	54200001	56	0.17284
9	54300001	53	0.16358
9	54400001	53	0.16358
9	54500001	54	0.166667
9	54600001	50	0.154321
9	54700001	41	0.126543
9	54800001	44	0.135802
9	54900001	45	0.138889
9	55000001	47	0.145062
9	55100001	46	0.141975
9	55200001	46	0.141975
9	55300001	46	0.141975
9	55400001	45	0.138889
9	55500001	44	0.135802
9	55600001	46	0.141975
9	55700001	46	0.141975
9	55800001	46	0.141975
9	55900001	46	0.141975
9	56000001	45	0.138889
9	56100001	45	0.138889
9	56200001	46	0.141975
9	56300001	46	0.141975
9	56400001	43	0.132716
9	56500001	43	0.132716
9	56600001	43	0.132716
9	56700001	43	0.132716
9	56800001	43	0.132716
9	56900001	43	0.132716
9	57000001	44	0.135802
9	57100001	41	0.126543
9	57200001	41	0.126543
9	57300001	41	0.126543
9	57400001	38	0.117284
9	57500001	38	0.117284
9	57600001	38	0.117284
9	57700001	35	0.108025
9	57800001	38	0.117284
9	57900001	41	0.126543
9	58000001	41	0.126543
9	58100001	37	0.114198
9	58200001	37	0.114198
9	58300001	37	0.114198
9	58400001	37	0.114198
9	58500001	38	0.117284
9	58600001	37	0.114198
9	58700001	40	0.123457
