CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	6100001	23	0.46	1300	[6100001,7400000]
3	7400001	20	0.4	500	[7400001,7900000]
3	7900001	21	0.42	800	[7900001,8700000]
3	8700001	20	0.4	900	[8700001,9600000]
3	11800001	20	0.4	1000	[11800001,12800000]
3	12800001	26	0.52	600	[12800001,13400000]
3	13400001	27	0.54	500	[13400001,13900000]
3	13900001	26	0.52	1400	[13900001,15300000]
3	15300001	27	0.54	1400	[15300001,16700000]
3	16700001	26	0.52	400	[16700001,17100000]
3	17100001	25	0.5	500	[17100001,17600000]
3	17600001	26	0.52	200	[17600001,17800000]
3	21800001	21	0.42	500	[21800001,22300000]
3	22400001	20	0.4	1300	[22400001,23700000]
3	24400001	23	0.46	800	[24400001,25200000]
3	61300001	21	0.42	200	[61300001,61500000]
3	63200001	21	0.42	100	[63200001,63300000]
3	63300001	27	0.54	700	[63300001,64000000]
3	64000001	25	0.5	1000	[64000001,65000000]
3	65000001	26	0.52	200	[65000001,65200000]
3	65200001	27	0.54	800	[65200001,66000000]
3	66000001	24	0.48	400	[66000001,66400000]
3	66400001	23	0.46	300	[66400001,66700000]
3	66700001	22	0.44	200	[66700001,66900000]
3	67200001	20	0.4	300	[67200001,67500000]
3	69600001	21	0.42	200	[69600001,69800000]
3	70600001	20	0.4	400	[70600001,71000000]
3	71000001	21	0.42	900	[71000001,71900000]
3	71900001	27	0.54	1600	[71900001,73500000]
3	73500001	28	0.56	200	[73500001,73700000]
3	73700001	30	0.6	900	[73700001,74600000]
3	74600001	26	0.52	300	[74600001,74900000]
3	74900001	22	0.44	100	[74900001,75000000]
3	75000001	21	0.42	200	[75000001,75200000]
3	85200001	20	0.4	800	[85200001,86000000]
3	87100001	20	0.4	1000	[87100001,88100000]
3	7400000	23	0.46	1300	[6100001,7400000]
3	7900000	20	0.4	500	[7400001,7900000]
3	8700000	21	0.42	800	[7900001,8700000]
3	9600000	20	0.4	900	[8700001,9600000]
3	12800000	20	0.4	1000	[11800001,12800000]
3	13400000	26	0.52	600	[12800001,13400000]
3	13900000	27	0.54	500	[13400001,13900000]
3	15300000	26	0.52	1400	[13900001,15300000]
3	16700000	27	0.54	1400	[15300001,16700000]
3	17100000	26	0.52	400	[16700001,17100000]
3	17600000	25	0.5	500	[17100001,17600000]
3	17800000	26	0.52	200	[17600001,17800000]
3	22300000	21	0.42	500	[21800001,22300000]
3	23700000	20	0.4	1300	[22400001,23700000]
3	25200000	23	0.46	800	[24400001,25200000]
3	61500000	21	0.42	200	[61300001,61500000]
3	63300000	21	0.42	100	[63200001,63300000]
3	64000000	27	0.54	700	[63300001,64000000]
3	65000000	25	0.5	1000	[64000001,65000000]
3	65200000	26	0.52	200	[65000001,65200000]
3	66000000	27	0.54	800	[65200001,66000000]
3	66400000	24	0.48	400	[66000001,66400000]
3	66700000	23	0.46	300	[66400001,66700000]
3	66900000	22	0.44	200	[66700001,66900000]
3	67500000	20	0.4	300	[67200001,67500000]
3	69800000	21	0.42	200	[69600001,69800000]
3	71000000	20	0.4	400	[70600001,71000000]
3	71900000	21	0.42	900	[71000001,71900000]
3	73500000	27	0.54	1600	[71900001,73500000]
3	73700000	28	0.56	200	[73500001,73700000]
3	74600000	30	0.6	900	[73700001,74600000]
3	74900000	26	0.52	300	[74600001,74900000]
3	75000000	22	0.44	100	[74900001,75000000]
3	75200000	21	0.42	200	[75000001,75200000]
3	86000000	20	0.4	800	[85200001,86000000]
3	88100000	20	0.4	1000	[87100001,88100000]
