CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	9300001	17	0.34	700	[9300001,10000000]
3	10500001	17	0.34	1100	[10500001,11600000]
3	11600001	18	0.36	600	[11600001,12200000]
3	12200001	19	0.38	300	[12200001,12500000]
3	12800001	19	0.38	100	[12800001,12900000]
3	12900001	18	0.36	200	[12900001,13100000]
3	13100001	19	0.38	100	[13100001,13200000]
3	13200001	18	0.36	400	[13200001,13600000]
3	13600001	20	0.4	1000	[13600001,14600000]
3	14600001	21	0.42	300	[14600001,14900000]
3	19100001	18	0.36	1000	[19100001,20100000]
3	20100001	19	0.38	600	[20100001,20700000]
3	20700001	17	0.34	2000	[20700001,22700000]
3	31100001	17	0.34	900	[31100001,32000000]
3	32600001	19	0.38	2100	[32600001,34700000]
3	34700001	20	0.4	100	[34700001,34800000]
3	34800001	19	0.38	100	[34800001,34900000]
3	34900001	18	0.36	100	[34900001,35000000]
3	35000001	19	0.38	1100	[35000001,36100000]
3	36200001	17	0.34	100	[36200001,36300000]
3	37400001	17	0.34	600	[37400001,38000000]
3	39600001	19	0.38	200	[39600001,39800000]
3	39800001	22	0.44	100	[39800001,39900000]
3	39900001	23	0.46	500	[39900001,40400000]
3	40400001	25	0.5	200	[40400001,40600000]
3	40600001	29	0.58	1400	[40600001,42000000]
3	42000001	30	0.6	100	[42000001,42100000]
3	42100001	29	0.58	300	[42100001,42400000]
3	42400001	28	0.56	500	[42400001,42900000]
3	42900001	24	0.48	600	[42900001,43500000]
3	43500001	25	0.5	300	[43500001,43800000]
3	43800001	24	0.48	600	[43800001,44400000]
3	44400001	29	0.58	1200	[44400001,45600000]
3	45600001	27	0.54	600	[45600001,46200000]
3	46200001	19	0.38	500	[46200001,46700000]
3	46700001	18	0.36	700	[46700001,47400000]
3	47400001	17	0.34	2200	[47400001,49600000]
3	74100001	18	0.36	1200	[74100001,75300000]
3	10000000	17	0.34	700	[9300001,10000000]
3	11600000	17	0.34	1100	[10500001,11600000]
3	12200000	18	0.36	600	[11600001,12200000]
3	12500000	19	0.38	300	[12200001,12500000]
3	12900000	19	0.38	100	[12800001,12900000]
3	13100000	18	0.36	200	[12900001,13100000]
3	13200000	19	0.38	100	[13100001,13200000]
3	13600000	18	0.36	400	[13200001,13600000]
3	14600000	20	0.4	1000	[13600001,14600000]
3	14900000	21	0.42	300	[14600001,14900000]
3	20100000	18	0.36	1000	[19100001,20100000]
3	20700000	19	0.38	600	[20100001,20700000]
3	22700000	17	0.34	2000	[20700001,22700000]
3	32000000	17	0.34	900	[31100001,32000000]
3	34700000	19	0.38	2100	[32600001,34700000]
3	34800000	20	0.4	100	[34700001,34800000]
3	34900000	19	0.38	100	[34800001,34900000]
3	35000000	18	0.36	100	[34900001,35000000]
3	36100000	19	0.38	1100	[35000001,36100000]
3	36300000	17	0.34	100	[36200001,36300000]
3	38000000	17	0.34	600	[37400001,38000000]
3	39800000	19	0.38	200	[39600001,39800000]
3	39900000	22	0.44	100	[39800001,39900000]
3	40400000	23	0.46	500	[39900001,40400000]
3	40600000	25	0.5	200	[40400001,40600000]
3	42000000	29	0.58	1400	[40600001,42000000]
3	42100000	30	0.6	100	[42000001,42100000]
3	42400000	29	0.58	300	[42100001,42400000]
3	42900000	28	0.56	500	[42400001,42900000]
3	43500000	24	0.48	600	[42900001,43500000]
3	43800000	25	0.5	300	[43500001,43800000]
3	44400000	24	0.48	600	[43800001,44400000]
3	45600000	29	0.58	1200	[44400001,45600000]
3	46200000	27	0.54	600	[45600001,46200000]
3	46700000	19	0.38	500	[46200001,46700000]
3	47400000	18	0.36	700	[46700001,47400000]
3	49600000	17	0.34	2200	[47400001,49600000]
3	75300000	18	0.36	1200	[74100001,75300000]
