Chr	NeBurnIn	nBottleneck	nGenBottleneck	nGenBreed	nBreed	SNPchipRefPop	Chr_specific_recomb_rate	Mutations	Sim_F_ROH	F_ROH_CI	Sim_ROH_hotspot_thr	ROH_hotspot_thr_CI	H_e_No_MAF	H_e_No_MAF_ci	H_e_5th_perc_No_MAF	H_e_MAF_0_05	H_e_MAF_0_05_ci	H_e_5th_perc_MAF_0_05	Sim_Cost_Result
chr1	270	86	5	118	525	last_breed_formation_generation	False	TRUE	0.156	(0.15, 0.162)	0.436	(0.375, 0.496)	0.145	(0.14245, 0.14754)	0.00148	0.32291	(0.32047, 0.32534)	0.14959	4.03246
chr9	3835	100	7	72	400	last_breed_formation_generation	True	TRUE	0.117	(0.113, 0.121)	0.208	(0.192, 0.225)	0.14831	(0.1467, 0.14991)	0.04501	0.32385	(0.32216, 0.32554)	0.18862	5.11973
chr28	3535	74	2	44	450	last_breed_formation_generation	True	TRUE	0.069	(0.067, 0.071)	0.118	(0.111, 0.125)	0.16609	(0.16491, 0.16727)	0.06358	0.30939	(0.30761, 0.31117)	0.18475	5.66624
chr3	3050	28	8	68	260	last_breed_formation_generation	False	TRUE	0.238	(0.228, 0.248)	0.492	(0.449, 0.534)	0.16017	(0.15776, 0.16259)	0.03045	0.34445	(0.34203, 0.34687)	0.18378	2.42553
chr38	6025	26	3	101	150	last_breed_formation_generation	False	TRUE	0.312	(0.29, 0.334)	0.601	(0.53, 0.671)	0.14445	(0.13944, 0.14945)	0.02794	0.35252	(0.34877, 0.35626)	0.19911	3.87158
chr3	2725	87	9	89	310	last_breed_formation_generation	True	TRUE	0.19	(0.186, 0.194)	0.353	(0.334, 0.373)	0.14112	(0.13962, 0.14263)	0.0216	0.33409	(0.33258, 0.3356)	0.17602	3.68545
chr20	3625	21	13	128	540	last_breed_formation_generation	True	TRUE	0.301	(0.276, 0.325)	0.644	(0.589, 0.699)	0.14602	(0.14036, 0.15169)	0.01973	0.35585	(0.35082, 0.36088)	0.19064	3.84031
chr28	1100	70	8	77	535	last_breed_formation_generation	False	TRUE	0.146	(0.138, 0.154)	0.292	(0.259, 0.325)	0.15743	(0.15461, 0.16024)	0.03977	0.32261	(0.31993, 0.3253)	0.17821	4.42774
chr38	1085	15	11	114	410	last_breed_formation_generation	True	TRUE	0.254	(0.22, 0.289)	0.599	(0.509, 0.689)	0.14492	(0.13739, 0.15246)	0.00969	0.35717	(0.34778, 0.36655)	0.18138	3.47002
chr1	265	80	9	105	125	last_breed_formation_generation	False	TRUE	0.396	(0.382, 0.409)	0.854	(0.808, 0.899)	0.107	(0.10426, 0.10975)	0	0.35712	(0.35364, 0.3606)	0.15533	6.34658
chr21	5655	43	15	52	265	last_breed_formation_generation	False	TRUE	0.235	(0.217, 0.253)	0.432	(0.386, 0.479)	0.14827	(0.1446, 0.15195)	0.03199	0.34513	(0.34193, 0.34833)	0.19462	3.04189
chr21	6485	42	14	52	260	last_breed_formation_generation	False	TRUE	0.222	(0.213, 0.231)	0.397	(0.366, 0.428)	0.15291	(0.15038, 0.15544)	0.03685	0.3443	(0.34118, 0.34743)	0.1996	2.98294
chr3	6800	41	11	63	240	last_breed_formation_generation	False	TRUE	0.225	(0.217, 0.233)	0.488	(0.451, 0.525)	0.15146	(0.14897, 0.15394)	0.03365	0.34174	(0.33921, 0.34428)	0.19039	2.6308
chr3	5105	57	11	63	200	last_breed_formation_generation	False	TRUE	0.213	(0.206, 0.22)	0.427	(0.399, 0.455)	0.14567	(0.14444, 0.1469)	0.02691	0.34316	(0.34084, 0.34548)	0.18603	3.05085
chr3	4860	5	6	65	325	last_breed_formation_generation	False	TRUE	0.482	(0.444, 0.52)	0.874	(0.808, 0.941)	0.16941	(0.15711, 0.18171)	0.01158	0.36985	(0.35788, 0.38182)	0.18066	6.72333
chr2	2490	36	11	87	215	last_breed_formation_generation	False	TRUE	0.303	(0.29, 0.316)	0.679	(0.628, 0.73)	0.13766	(0.13541, 0.1399)	0.00532	0.35169	(0.3491, 0.35427)	0.17499	3.91624
chr3	6940	54	4	60	630	last_breed_formation_generation	False	TRUE	0.085	(0.082, 0.088)	0.147	(0.135, 0.158)	0.17133	(0.1699, 0.17277)	0.06109	0.31618	(0.3146, 0.31777)	0.1884	5.29167
chr3	2215	31	12	79	100	last_breed_formation_generation	False	TRUE	0.441	(0.42, 0.461)	0.931	(0.896, 0.966)	0.115	(0.11075, 0.11924)	0	0.35932	(0.35341, 0.36523)	0.16657	7.11542
chr20	4505	60	9	42	345	last_breed_formation_generation	False	TRUE	0.137	(0.13, 0.144)	0.237	(0.22, 0.254)	0.16099	(0.15927, 0.16271)	0.05326	0.32554	(0.32392, 0.32716)	0.19439	4.52816
chr9	3000	43	1	68	200	last_breed_formation_generation	False	TRUE	0.182	(0.175, 0.189)	0.338	(0.316, 0.359)	0.16206	(0.16009, 0.16403)	0.0489	0.33285	(0.33132, 0.33439)	0.19559	3.49454
chr2	1745	13	7	96	265	last_breed_formation_generation	False	TRUE	0.355	(0.33, 0.379)	0.78	(0.719, 0.841)	0.15733	(0.15083, 0.16383)	0.0064	0.35822	(0.35396, 0.36247)	0.17498	4.76082
chr21	6840	41	15	54	260	last_breed_formation_generation	False	TRUE	0.235	(0.223, 0.248)	0.435	(0.389, 0.482)	0.14973	(0.14729, 0.15217)	0.0325	0.34804	(0.34438, 0.3517)	0.19988	2.88012
chr21	6750	34	15	55	170	last_breed_formation_generation	False	TRUE	0.304	(0.282, 0.327)	0.609	(0.536, 0.682)	0.14126	(0.13612, 0.14641)	0.02028	0.35639	(0.35293, 0.35985)	0.19611	3.88189
chr21	6035	43	13	74	290	last_breed_formation_generation	False	TRUE	0.222	(0.213, 0.23)	0.446	(0.393, 0.499)	0.14861	(0.14605, 0.15118)	0.03176	0.346	(0.34299, 0.34902)	0.1924	2.96711
chr3	5475	50	10	58	235	last_breed_formation_generation	False	TRUE	0.2	(0.192, 0.208)	0.415	(0.39, 0.441)	0.15216	(0.15008, 0.15423)	0.03506	0.34088	(0.33861, 0.34314)	0.19481	3.1743
chr3	4355	25	13	81	345	last_breed_formation_generation	False	TRUE	0.289	(0.272, 0.307)	0.658	(0.598, 0.718)	0.14861	(0.14471, 0.15251)	0.01603	0.35713	(0.35307, 0.36119)	0.18904	3.5705
chr21	6045	48	7	48	180	last_breed_formation_generation	False	TRUE	0.182	(0.172, 0.192)	0.334	(0.311, 0.356)	0.15686	(0.15473, 0.159)	0.04271	0.33631	(0.3334, 0.33922)	0.19608	3.67382
chr3	3230	64	10	66	240	last_breed_formation_generation	True	TRUE	0.217	(0.209, 0.224)	0.431	(0.385, 0.477)	0.14559	(0.14397, 0.1472)	0.02412	0.33658	(0.33455, 0.33861)	0.18119	3.10499
chr38	4165	37	14	71	360	last_breed_formation_generation	False	TRUE	0.244	(0.221, 0.267)	0.436	(0.385, 0.487)	0.14866	(0.1432, 0.15411)	0.0331	0.35051	(0.34463, 0.3564)	0.20176	3.25894
chr1	6440	29	5	49	290	last_breed_formation_generation	False	TRUE	0.164	(0.157, 0.17)	0.321	(0.288, 0.353)	0.17887	(0.17705, 0.1807)	0.0634	0.33366	(0.3323, 0.33501)	0.20605	3.51023
