CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
X,126982349,126851298,Haemophilia A,Haematopoietic system phene,yes,yes,F8,coagulation factor VIII,https://www.omia.org/OMIA000437/9685/,https://www.omia.org/gene398298973/,VBO_0100094
,,,"Dermatitis, atopic",Integument (skin) phene,no,yes,,,https://www.omia.org/OMIA000269/9685/,,
,,,Sjogren syndrome,Endocrine / exocrine gland phene (incl mammary gland),unknown,yes,,,https://www.omia.org/OMIA002910/9685/,,
X,107727779,107765740,"Coat colour, orange",Pigmentation phene,yes,no,ARHGAP36,Rho GTPase activating protein 36,https://www.omia.org/OMIA001201/9685/,https://www.omia.org/gene398298963/,
E3,39397051,39441168,Polycystic kidney disease,Renal / urinary system phene,yes,yes,PKD1,polycystic kidney disease 1 (autosomal dominant),https://www.omia.org/OMIA000807/9685/,https://www.omia.org/gene4215839/,"VBO_0100018, VBO_0100056, VBO_0100067, VBO_0100096, VBO_0100117, VBO_0100154, VBO_0100184, VBO_0100188, VBO_0100196, VBO_0100209, VBO_0100213, VBO_0100215, VBO_0100221, VBO_0100223, VBO_0100230"
,,,Tail abnormalities,Limbs / fins / digit / tail phene,unknown,unknown,,,https://www.omia.org/OMIA000970/9685/,,
,,,Motor neuron disease,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA001165/9685/,,VBO_0100040
A3,89752534,89976063,"Cardiomyopathy, hypertrophic, ALMS1-related",Cardiovascular system phene,yes,yes,ALMS1,Alstrom syndrome 1,https://www.omia.org/OMIA002316/9685/,https://www.omia.org/gene389726702/,"VBO_0100018, VBO_0100096, VBO_0100169, VBO_0100209, VBO_0100230"
,,,"Drug metabolism, altered",Homeostasis / metabolism phene,unknown,unknown,,,https://www.omia.org/OMIA002421/9685/,,
C1,205862614,205765203,"Auditory-pigmentary syndrome, PAX3-related",Pigmentation phene,yes,yes,PAX3,paired box 3,https://www.omia.org/OMIA001688/9685/,https://www.omia.org/gene398298864/,"VBO_0100259, VBO_0100051, VBO_0100052, VBO_0100072, VBO_0100154, VBO_0100188, VBO_0100196, VBO_0100223, VBO_0100230"
X,29120869,26741260,"Muscular dystrophy, Becker type",Muscle phene,yes,yes,DMD,dystrophin,https://www.omia.org/OMIA001888/9685/,https://www.omia.org/gene83148765/,"VBO_0100142, VBO_0100154"
,,,"Xanthinuria, generic",Renal / urinary system phene,unknown,yes,,,https://www.omia.org/OMIA001283/9685/,,"VBO_0100094, VBO_0100169"
,,,Arnold-Chiari malformation,Nervous system phene,unknown,yes,,,https://www.omia.org/OMIA000061/9685/,,VBO_0100188
,,,Pulmonary hypertension,Cardiovascular system phene,unknown,yes,,,https://www.omia.org/OMIA000841/9685/,,
,,,Mast cell tumour,Neoplasm,unknown,yes,,,https://www.omia.org/OMIA001797/9685/,,
,,,Myelodysplastic syndrome,Haematopoietic system phene,unknown,yes,,,https://www.omia.org/OMIA002870/9685/,,
B2,4553778,4697966,Blood group system AB,Haematopoietic system phene,yes,no,CMAH,cytidine monophospho-N-acetylneuraminic acid hydroxylase,https://www.omia.org/OMIA000119/9685/,https://www.omia.org/gene83148753/,
