CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
1	4000001	20	0.4	500	[4000001,4500000]
1	15000001	20	0.4	100	[15000001,15100000]
1	15100001	21	0.42	1000	[15100001,16100000]
1	18300001	20	0.4	600	[18300001,18900000]
1	20800001	21	0.42	400	[20800001,21200000]
1	21200001	20	0.4	100	[21200001,21300000]
1	28000001	21	0.42	2200	[28000001,30200000]
1	30200001	20	0.4	100	[30200001,30300000]
1	31100001	20	0.4	300	[31100001,31400000]
1	31400001	24	0.48	100	[31400001,31500000]
1	31500001	25	0.5	100	[31500001,31600000]
1	31600001	23	0.46	600	[31600001,32200000]
1	32300001	20	0.4	1000	[32300001,33300000]
1	33300001	21	0.42	400	[33300001,33700000]
1	33700001	23	0.46	400	[33700001,34100000]
1	34100001	22	0.44	700	[34100001,34800000]
1	38100001	20	0.4	700	[38100001,38800000]
1	39300001	21	0.42	300	[39300001,39600000]
1	39600001	22	0.44	300	[39600001,39900000]
1	39900001	20	0.4	100	[39900001,40000000]
1	40100001	23	0.46	300	[40100001,40400000]
1	40400001	24	0.48	500	[40400001,40900000]
1	40900001	32	0.64	100	[40900001,41000000]
1	41000001	29	0.58	300	[41000001,41300000]
1	41300001	30	0.6	800	[41300001,42100000]
1	42100001	31	0.62	400	[42100001,42500000]
1	42500001	46	0.92	200	[42500001,42700000]
1	42700001	40	0.8	2500	[42700001,45200000]
1	45200001	38	0.76	100	[45200001,45300000]
1	45300001	25	0.5	300	[45300001,45600000]
1	45600001	27	0.54	300	[45600001,45900000]
1	54800001	20	0.4	1100	[54800001,55900000]
1	56600001	22	0.44	1200	[56600001,57800000]
1	57800001	23	0.46	300	[57800001,58100000]
1	58100001	21	0.42	100	[58100001,58200000]
1	58200001	22	0.44	500	[58200001,58700000]
1	58700001	25	0.5	100	[58700001,58800000]
1	58800001	22	0.44	1300	[58800001,60100000]
1	60200001	21	0.42	200	[60200001,60400000]
1	60400001	20	0.4	300	[60400001,60700000]
1	61100001	20	0.4	300	[61100001,61400000]
1	64900001	21	0.42	100	[64900001,65000000]
1	65000001	22	0.44	100	[65000001,65100000]
1	65100001	23	0.46	600	[65100001,65700000]
1	65700001	24	0.48	200	[65700001,65900000]
1	65900001	23	0.46	1200	[65900001,67100000]
1	67100001	21	0.42	500	[67100001,67600000]
1	83300001	20	0.4	2200	[83300001,85500000]
1	85500001	26	0.52	900	[85500001,86400000]
1	86400001	20	0.4	2600	[86400001,89000000]
1	89400001	20	0.4	100	[89400001,89500000]
1	4500000	20	0.4	500	[4000001,4500000]
1	15100000	20	0.4	100	[15000001,15100000]
1	16100000	21	0.42	1000	[15100001,16100000]
1	18900000	20	0.4	600	[18300001,18900000]
1	21200000	21	0.42	400	[20800001,21200000]
1	21300000	20	0.4	100	[21200001,21300000]
1	30200000	21	0.42	2200	[28000001,30200000]
1	30300000	20	0.4	100	[30200001,30300000]
1	31400000	20	0.4	300	[31100001,31400000]
1	31500000	24	0.48	100	[31400001,31500000]
1	31600000	25	0.5	100	[31500001,31600000]
1	32200000	23	0.46	600	[31600001,32200000]
1	33300000	20	0.4	1000	[32300001,33300000]
1	33700000	21	0.42	400	[33300001,33700000]
1	34100000	23	0.46	400	[33700001,34100000]
1	34800000	22	0.44	700	[34100001,34800000]
1	38800000	20	0.4	700	[38100001,38800000]
1	39600000	21	0.42	300	[39300001,39600000]
1	39900000	22	0.44	300	[39600001,39900000]
1	40000000	20	0.4	100	[39900001,40000000]
1	40400000	23	0.46	300	[40100001,40400000]
1	40900000	24	0.48	500	[40400001,40900000]
1	41000000	32	0.64	100	[40900001,41000000]
1	41300000	29	0.58	300	[41000001,41300000]
1	42100000	30	0.6	800	[41300001,42100000]
1	42500000	31	0.62	400	[42100001,42500000]
1	42700000	46	0.92	200	[42500001,42700000]
1	45200000	40	0.8	2500	[42700001,45200000]
1	45300000	38	0.76	100	[45200001,45300000]
1	45600000	25	0.5	300	[45300001,45600000]
1	45900000	27	0.54	300	[45600001,45900000]
1	55900000	20	0.4	1100	[54800001,55900000]
1	57800000	22	0.44	1200	[56600001,57800000]
1	58100000	23	0.46	300	[57800001,58100000]
1	58200000	21	0.42	100	[58100001,58200000]
1	58700000	22	0.44	500	[58200001,58700000]
1	58800000	25	0.5	100	[58700001,58800000]
1	60100000	22	0.44	1300	[58800001,60100000]
1	60400000	21	0.42	200	[60200001,60400000]
1	60700000	20	0.4	300	[60400001,60700000]
1	61400000	20	0.4	300	[61100001,61400000]
1	65000000	21	0.42	100	[64900001,65000000]
1	65100000	22	0.44	100	[65000001,65100000]
1	65700000	23	0.46	600	[65100001,65700000]
1	65900000	24	0.48	200	[65700001,65900000]
1	67100000	23	0.46	1200	[65900001,67100000]
1	67600000	21	0.42	500	[67100001,67600000]
1	85500000	20	0.4	2200	[83300001,85500000]
1	86400000	26	0.52	900	[85500001,86400000]
1	89000000	20	0.4	2600	[86400001,89000000]
1	89500000	20	0.4	100	[89400001,89500000]
