CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	52100001	245	0.756173	100	[52100001,52200000]
3	53300001	245	0.756173	400	[53300001,53700000]
3	53700001	246	0.759259	200	[53700001,53900000]
3	53900001	245	0.756173	300	[53900001,54200000]
3	55000001	262	0.808642	100	[55000001,55100000]
3	55100001	253	0.780864	600	[55100001,55700000]
3	55700001	251	0.774691	200	[55700001,55900000]
3	55900001	253	0.780864	100	[55900001,56000000]
3	56000001	254	0.783951	100	[56000001,56100000]
3	56100001	273	0.842593	200	[56100001,56300000]
3	56300001	272	0.839506	300	[56300001,56600000]
3	56600001	273	0.842593	200	[56600001,56800000]
3	56800001	272	0.839506	600	[56800001,57400000]
3	57400001	271	0.83642	100	[57400001,57500000]
3	57500001	270	0.833333	200	[57500001,57700000]
3	57700001	272	0.839506	200	[57700001,57900000]
3	57900001	271	0.83642	300	[57900001,58200000]
3	58200001	270	0.833333	600	[58200001,58800000]
3	58800001	277	0.854938	400	[58800001,59200000]
3	59200001	276	0.851852	400	[59200001,59600000]
3	59600001	274	0.845679	200	[59600001,59800000]
3	59800001	277	0.854938	100	[59800001,59900000]
3	59900001	276	0.851852	300	[59900001,60200000]
3	60200001	272	0.839506	200	[60200001,60400000]
3	60400001	271	0.83642	1000	[60400001,61400000]
3	61400001	270	0.833333	2100	[61400001,63500000]
3	63500001	266	0.820988	300	[63500001,63800000]
3	69700001	247	0.762346	700	[69700001,70400000]
3	70400001	248	0.765432	1100	[70400001,71500000]
3	71500001	249	0.768519	400	[71500001,71900000]
3	71900001	248	0.765432	100	[71900001,72000000]
3	72000001	249	0.768519	300	[72000001,72300000]
3	72300001	247	0.762346	200	[72300001,72500000]
3	73000001	247	0.762346	100	[73000001,73100000]
3	77000001	247	0.762346	200	[77000001,77200000]
3	77200001	246	0.759259	400	[77200001,77600000]
3	77600001	248	0.765432	300	[77600001,77900000]
3	77900001	247	0.762346	100	[77900001,78000000]
3	78000001	255	0.787037	100	[78000001,78100000]
3	78100001	254	0.783951	100	[78100001,78200000]
3	78200001	253	0.780864	200	[78200001,78400000]
3	78400001	252	0.777778	200	[78400001,78600000]
3	78600001	255	0.787037	200	[78600001,78800000]
3	78800001	256	0.790123	300	[78800001,79100000]
3	79100001	257	0.79321	500	[79100001,79600000]
3	79600001	255	0.787037	200	[79600001,79800000]
3	79800001	256	0.790123	100	[79800001,79900000]
3	52200000	245	0.756173	100	[52100001,52200000]
3	53700000	245	0.756173	400	[53300001,53700000]
3	53900000	246	0.759259	200	[53700001,53900000]
3	54200000	245	0.756173	300	[53900001,54200000]
3	55100000	262	0.808642	100	[55000001,55100000]
3	55700000	253	0.780864	600	[55100001,55700000]
3	55900000	251	0.774691	200	[55700001,55900000]
3	56000000	253	0.780864	100	[55900001,56000000]
3	56100000	254	0.783951	100	[56000001,56100000]
3	56300000	273	0.842593	200	[56100001,56300000]
3	56600000	272	0.839506	300	[56300001,56600000]
3	56800000	273	0.842593	200	[56600001,56800000]
3	57400000	272	0.839506	600	[56800001,57400000]
3	57500000	271	0.83642	100	[57400001,57500000]
3	57700000	270	0.833333	200	[57500001,57700000]
3	57900000	272	0.839506	200	[57700001,57900000]
3	58200000	271	0.83642	300	[57900001,58200000]
3	58800000	270	0.833333	600	[58200001,58800000]
3	59200000	277	0.854938	400	[58800001,59200000]
3	59600000	276	0.851852	400	[59200001,59600000]
3	59800000	274	0.845679	200	[59600001,59800000]
3	59900000	277	0.854938	100	[59800001,59900000]
3	60200000	276	0.851852	300	[59900001,60200000]
3	60400000	272	0.839506	200	[60200001,60400000]
3	61400000	271	0.83642	1000	[60400001,61400000]
3	63500000	270	0.833333	2100	[61400001,63500000]
3	63800000	266	0.820988	300	[63500001,63800000]
3	70400000	247	0.762346	700	[69700001,70400000]
3	71500000	248	0.765432	1100	[70400001,71500000]
3	71900000	249	0.768519	400	[71500001,71900000]
3	72000000	248	0.765432	100	[71900001,72000000]
3	72300000	249	0.768519	300	[72000001,72300000]
3	72500000	247	0.762346	200	[72300001,72500000]
3	73100000	247	0.762346	100	[73000001,73100000]
3	77200000	247	0.762346	200	[77000001,77200000]
3	77600000	246	0.759259	400	[77200001,77600000]
3	77900000	248	0.765432	300	[77600001,77900000]
3	78000000	247	0.762346	100	[77900001,78000000]
3	78100000	255	0.787037	100	[78000001,78100000]
3	78200000	254	0.783951	100	[78100001,78200000]
3	78400000	253	0.780864	200	[78200001,78400000]
3	78600000	252	0.777778	200	[78400001,78600000]
3	78800000	255	0.787037	200	[78600001,78800000]
3	79100000	256	0.790123	300	[78800001,79100000]
3	79600000	257	0.79321	500	[79100001,79600000]
3	79800000	255	0.787037	200	[79600001,79800000]
3	79900000	256	0.790123	100	[79800001,79900000]
