CHR	POS	COUNT	FREQUENCY
2	1	0	0
2	100001	36	0.162162
2	200001	36	0.162162
2	300001	36	0.162162
2	400001	37	0.166667
2	500001	37	0.166667
2	600001	37	0.166667
2	700001	37	0.166667
2	800001	37	0.166667
2	900001	37	0.166667
2	1000001	39	0.175676
2	1100001	39	0.175676
2	1200001	39	0.175676
2	1300001	39	0.175676
2	1400001	40	0.18018
2	1500001	40	0.18018
2	1600001	40	0.18018
2	1700001	40	0.18018
2	1800001	40	0.18018
2	1900001	35	0.157658
2	2000001	35	0.157658
2	2100001	35	0.157658
2	2200001	35	0.157658
2	2300001	35	0.157658
2	2400001	35	0.157658
2	2500001	35	0.157658
2	2600001	35	0.157658
2	2700001	33	0.148649
2	2800001	34	0.153153
2	2900001	34	0.153153
2	3000001	34	0.153153
2	3100001	34	0.153153
2	3200001	34	0.153153
2	3300001	34	0.153153
2	3400001	34	0.153153
2	3500001	33	0.148649
2	3600001	33	0.148649
2	3700001	30	0.135135
2	3800001	30	0.135135
2	3900001	30	0.135135
2	4000001	30	0.135135
2	4100001	29	0.130631
2	4200001	0	0
2	4300001	0	0
2	4400001	0	0
2	4500001	0	0
2	4600001	0	0
2	4700001	0	0
2	4800001	0	0
2	4900001	0	0
2	5000001	0	0
2	5100001	0	0
2	5200001	0	0
2	5300001	0	0
2	5400001	0	0
2	5500001	0	0
2	5600001	0	0
2	5700001	0	0
2	5800001	0	0
2	5900001	15	0.0675676
2	6000001	16	0.0720721
2	6100001	18	0.0810811
2	6200001	32	0.144144
2	6300001	41	0.184685
2	6400001	41	0.184685
2	6500001	41	0.184685
2	6600001	41	0.184685
2	6700001	41	0.184685
2	6800001	46	0.207207
2	6900001	46	0.207207
2	7000001	46	0.207207
2	7100001	46	0.207207
2	7200001	46	0.207207
2	7300001	48	0.216216
2	7400001	48	0.216216
2	7500001	48	0.216216
2	7600001	48	0.216216
2	7700001	62	0.279279
2	7800001	61	0.274775
2	7900001	59	0.265766
2	8000001	69	0.310811
2	8100001	69	0.310811
2	8200001	69	0.310811
2	8300001	69	0.310811
2	8400001	69	0.310811
2	8500001	70	0.315315
2	8600001	69	0.310811
2	8700001	54	0.243243
2	8800001	54	0.243243
2	8900001	38	0.171171
2	9000001	37	0.166667
2	9100001	37	0.166667
2	9200001	39	0.175676
2	9300001	39	0.175676
2	9400001	39	0.175676
2	9500001	39	0.175676
2	9600001	38	0.171171
2	9700001	38	0.171171
2	9800001	39	0.175676
2	9900001	42	0.189189
2	10000001	41	0.184685
2	10100001	32	0.144144
2	10200001	32	0.144144
2	10300001	30	0.135135
2	10400001	31	0.13964
2	10500001	30	0.135135
2	10600001	30	0.135135
2	10700001	31	0.13964
2	10800001	31	0.13964
2	10900001	33	0.148649
2	11000001	33	0.148649
2	11100001	33	0.148649
2	11200001	33	0.148649
2	11300001	35	0.157658
2	11400001	35	0.157658
2	11500001	35	0.157658
2	11600001	35	0.157658
2	11700001	32	0.144144
2	11800001	37	0.166667
2	11900001	47	0.211712
2	12000001	49	0.220721
2	12100001	49	0.220721
2	12200001	49	0.220721
2	12300001	51	0.22973
2	12400001	51	0.22973
